modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
VAR(1) constante SSM,197,8,-184.44648780437646,384.8929756087529,385.6589330555614,411.1586054386568,91.3345103337254,1.4688013984952648e-20,71.63528796129748,2.783523321971347e-16
TVP-VAR(1),197,14,-132.77923263751376,293.5584652750275,295.86615758271984,339.52331747735934,0,1,0,0.9999999999999998
