modelo,H_inflacion,H_expectativa,Q_a0,Q_a,Q_b,Q_c0,Q_c,Q_d,convergencia,log_verosimilitud
VAR(1) constante SSM,0.33542834994001425,0.05805148649853722,0,0,0,0,0,0,0,-184.44648780437646
TVP-VAR(1),1.000000000000001e-12,0.028711932499491548,0.2827337559947699,9.587146070318282e-4,1.584770159141752e-8,0.002923738136840174,2.516527178745955e-5,1.000000000000001e-12,0,-132.77923263751376
