fecha,inflacion,expectativa,meta_inflacion,a0_t,a_t,b_t,c0_t,c_t,d_t,lambda_t,lambda_se,pi_estrella_t,pi_estrella_se,lambda_li_95,lambda_ls_95,pi_estrella_li_95,pi_estrella_ls_95,lambda_fuera_0_1,lambda_significativamente_menor_1,lambda_no_distinta_de_1,brecha_ancla_meta,ancla_dentro_banda_meta
2010-02-01,2.48,4.25,5,2.413198359443836,0.3459516650212181,-0.11350377730084317,3.6022622652051153,0.18444988123200623,0.25198331227301096,0.7534147509562958,0.0464060485160766,6.39189928095452,0.27628082526986486,0.6624605671999673,0.8443689347126244,5.8503988138065814,6.933399748102458,FALSE,TRUE,FALSE,1.3918992809545196,FALSE
2010-03-01,3.93,6.26,5,3.5408692224186114,0.3514196848197835,-0.11350353900639742,3.6598983587981335,0.18515928538715806,0.25198331234732985,0.7524663708129278,0.04584047124332873,6.5023544934595705,0.2604830986004403,0.6626206981416595,0.8423120434841961,5.991817001621312,7.012891985297829,FALSE,TRUE,FALSE,1.5023544934595705,FALSE
2010-04-01,3.75,5.81,5,3.1094890983825088,0.34377707099821514,-0.11350367210937984,3.608578563493041,0.18354292609052003,0.251983312263266,0.7546272307829603,0.045268654253550714,6.39281895578121,0.23154174690848922,0.665902298817405,0.8433521627485157,5.939005470923083,6.846632440639337,FALSE,TRUE,FALSE,1.3928189557812098,FALSE
2010-05-01,3.51,5.7,5,2.897965550993092,0.33906429575645775,-0.11350372806831421,3.5671686464873926,0.18226178224157655,0.25198331220041936,0.7563399517492975,0.04475726972335696,6.305148415759813,0.2130299724273513,0.6686173150451729,0.8440625884534221,5.887617342174644,6.722679489344983,FALSE,TRUE,FALSE,1.3051484157598132,FALSE
2010-06-01,4.07,5.45,5,3.5067824604975613,0.34478278794502576,-0.11350351687496651,3.527252920181407,0.18102886652555109,0.2519833121405455,0.7579881980392866,0.04426467528227602,6.221038243613668,0.1987233092599599,0.6712310286986654,0.8447453673799079,5.831547714575532,6.610528772651804,FALSE,TRUE,FALSE,1.221038243613668,FALSE
2010-07-01,4.12,5.11,5,3.349180257744759,0.34137938396662004,-0.11350355054836347,3.5025067300937596,0.1802542431218629,0.2519833121102417,0.7590237677311973,0.04372744001682235,6.168965140914885,0.18642293897053816,0.6733195601620899,0.8447279753003046,5.803582894640522,6.534347387189248,FALSE,TRUE,FALSE,1.1689651409148851,FALSE
2010-08-01,4.1,5.57,5,3.2823792238041594,0.3392291140356085,-0.11350355648367005,3.528619625241224,0.18126128495513993,0.25198331217474745,0.7576774851345494,0.04319650222300704,6.226000859227632,0.18127846140040013,0.6730138965193512,0.8423410737497475,5.870701603710014,6.58130011474525,FALSE,TRUE,FALSE,1.2260008592276321,FALSE
2010-09-01,3.76,5.68,5,3.021318806506794,0.3343649624606659,-0.11350361805954035,3.554024887384749,0.18224323287190933,0.2519833122380133,0.7563647498063603,0.04269801364378099,6.281710208682822,0.17708507258893513,0.6726781808531497,0.8400513187595708,5.934629844208848,6.628790573156795,FALSE,TRUE,FALSE,1.2817102086828216,FALSE
2010-10-01,4.51,5.89,5,3.858373353075988,0.34476744678724836,-0.11350333679530067,3.5819523980497787,0.1833141899861549,0.25198331230608506,0.7549330208777826,0.04218519256888791,6.343078723026084,0.17305703767904196,0.6722515627618756,0.8376144789936896,6.003893161903971,6.6822642841481965,FALSE,TRUE,FALSE,1.3430787230260837,FALSE
2010-11-01,5.25,6.22,5,4.337309478453987,0.350604033297757,-0.11350316954648698,3.5907846284612437,0.18376716338058544,0.25198331233705995,0.754327454973315,0.04159185427397168,6.363823935923052,0.16471588360414094,0.6728089185460921,0.8358459914005378,6.040986736377244,6.68666113546886,FALSE,TRUE,FALSE,1.363823935923052,FALSE
2010-12-01,5.39,6.2,5,4.2686422109035265,0.3480662072169601,-0.11350318308585966,3.5674137347142625,0.18297005708046254,0.2519833123031605,0.7553930813444396,0.04100094712834741,6.313485545118242,0.15415624878436684,0.6750327016408477,0.8357534610480315,6.011344849509086,6.615626240727398,FALSE,TRUE,FALSE,1.3134855451182421,FALSE
2011-01-01,4.9,5.85,5,3.781478818330096,0.33807827557721126,-0.11350334253032446,3.533385584393133,0.18169137140673117,0.2519833122465889,0.7571025160515844,0.040489369856300514,6.2391446795752055,0.14604019448311878,0.6777448093765137,0.8364602227266551,5.952911158093068,6.525378201057343,FALSE,TRUE,FALSE,1.2391446795752055,FALSE
2011-02-01,5.24,5.81,5,4.213988353994168,0.3448990332379023,-0.11350318236967927,3.5222690588206813,0.18147562341993656,0.2519833122386027,0.7573909427568497,0.04002770547558323,6.217146965180567,0.14187301198578847,0.6789380816409298,0.8358438038727696,5.939080971310203,6.4952129590509315,FALSE,TRUE,FALSE,1.217146965180567,FALSE
2011-03-01,4.99,6.13,5,3.8737232455785193,0.3388799209318102,-0.11350327560363194,3.5188510893066645,0.1815845651310284,0.2519833122460202,0.7572453020048786,0.03951790298687996,6.212308498698981,0.1379076716506833,0.679791635406046,0.8346989686037112,5.942014429071866,6.4826025683260955,FALSE,TRUE,FALSE,1.212308498698981,FALSE
2011-04-01,5.76114812916453,6.19,5,4.693126128339218,0.3534659993498679,-0.11350299117981377,3.495512841673003,0.18079506527417483,0.2519833122138525,0.7583007595602429,0.039011130859990105,6.162516912160241,0.13346882093577214,0.6818403480784833,0.8347611710420025,5.900922830067102,6.42411099425338,FALSE,TRUE,FALSE,1.1625169121602408,FALSE
2011-05-01,6.3930220625962,5.74,5,5.022929146050047,0.359767821657588,-0.11350287498093747,3.4469551468750623,0.1789223888397867,0.2519833121288093,0.7608042818550095,0.03841403324899161,6.056913858989214,0.12813452232255115,0.6855141601860618,0.8360944035239571,5.80577481006077,6.3080529079176575,FALSE,TRUE,FALSE,1.0569138589892138,FALSE
2011-06-01,6.42229936695938,6.16,5,4.802262969104614,0.3553160472953112,-0.1135029497727924,3.4286949771224764,0.17855209086244755,0.25198331210791003,0.7612993215891919,0.03778616692930571,6.020909807223719,0.12588760137782,0.6872397952939343,0.8353588478844495,5.7741746424230564,6.267644972024381,FALSE,TRUE,FALSE,1.0209098072237186,FALSE
2011-07-01,7.03967446592064,5.88,5,5.375032304807926,0.3680643154199562,-0.11350276928737613,3.3958289785696802,0.17737808993669543,0.25198331205833624,0.7628688065438872,0.037267715706822385,5.950927593124562,0.12512302688052293,0.6898254259724377,0.8359121871153368,5.7056909668021,6.196164219447024,FALSE,TRUE,FALSE,0.950927593124562,TRUE
2011-08-01,7.6258261311642,5.95,5,5.657005647220047,0.37447985830078356,-0.11350268920751722,3.384064347488741,0.17737053409975398,0.25198331205322066,0.7628789077064364,0.0367672322865656,5.930232464855824,0.12561768844849544,0.6908164566135496,0.8349413587993232,5.6840263196756,6.176438610036048,FALSE,TRUE,FALSE,0.9302324648558242,TRUE
2011-09-01,7.24931562404949,6.43,5,5.161536156550004,0.36233733484975417,-0.11350286536027587,3.3890362057594943,0.1783770766562371,0.25198331208176433,0.7615332925891418,0.03641260516829659,5.949439151977705,0.1261646736272941,0.6901658978760035,0.8329006873022802,5.702160935546958,6.196717368408452,FALSE,TRUE,FALSE,0.949439151977705,TRUE
2011-10-01,6.65,6.51,5,4.813512210113323,0.3540074903225094,-0.11350299233884142,3.3755370549352857,0.17817123387964753,0.2519833120727181,0.7618084773304303,0.03636729417328654,5.923600918387109,0.12567432246839955,0.6905298905356154,0.8330870641252452,5.677283772567573,6.169918064206645,FALSE,TRUE,FALSE,0.923600918387109,TRUE
2011-11-01,6.05484387510006,6.06,5,4.49084739446511,0.3463010117133276,-0.11350311017766468,3.339371473271172,0.1765510853736779,0.2519833120138231,0.7639744029655385,0.03651788002107615,5.843521391322554,0.12529330312202683,0.6924006733324745,0.8355481325986026,5.597951029699321,6.089091752945786,FALSE,TRUE,FALSE,0.8435213913225539,TRUE
2011-12-01,6.2,5.62,5,4.757262611405184,0.3518778835101654,-0.11350301306328842,3.312762394551199,0.17547793242092244,0.2519833119762066,0.765409067430671,0.036726149394595814,5.786092840235648,0.12502171415296828,0.6934271373264258,0.8373909975349163,5.5410547832103685,6.031130897260928,FALSE,TRUE,FALSE,0.7860928402356482,TRUE
2012-01-01,5.44,5.95,4.5,3.992882451761522,0.3362912747781612,-0.11350326608244732,3.3148971700669048,0.17590277702014798,0.25198331199816726,0.7648411060319593,0.03692031743567385,5.794120902214918,0.12534523822455163,0.6924786135602524,0.8372035985036662,5.548448749661204,6.039793054768633,FALSE,TRUE,FALSE,1.2941209022149183,FALSE
