definicion_sorpresa,pulso,modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,H,Q_beta,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Sorpresa exacta,FALSE,Beta constante,185,6,50.94623093602481,-89.89246187204962,-89.42055175969007,-70.57032692157968,0.029861341119975092,0,0,0.7310069263232054,0,0.9314969864100898
Sorpresa exacta,FALSE,Beta TVP,185,7,50.94649363204252,-87.89298726408504,-87.26021890250311,-65.35049648853676,0.029851089268287535,9.986946428494969e-8,1.9994746079645864,0.2689930736767947,5.219830433042915,0.0685030135899103
Sorpresa exacta,TRUE,Beta constante,185,7,56.89666182335335,-99.7933236467067,-99.16055528512477,-77.25083287115842,0.02784075544503623,0,0,0.6248306790262472,0,0.8928588293077395
Sorpresa exacta,TRUE,Beta TVP,185,8,57.38655857054009,-98.77311714108018,-97.95493532289836,-73.01027054045358,0.027365787111481493,4.931223368495076e-6,1.0202065056265184,0.37516932097375266,4.240562330704847,0.10714117069226038
Sorpresa disponible,FALSE,Beta constante,185,6,50.36071240103952,-88.72142480207904,-88.24951468971949,-69.3992898516091,0.030085590479247012,0,0,0.5051123029128359,0,0.8362556279772673
Sorpresa disponible,FALSE,Beta TVP,185,7,51.340262476739134,-88.68052495347827,-88.04775659189634,-66.13803417793,0.027477776578491982,9.77728316580818e-5,0.040899848600773225,0.4948876970871641,3.261255673679102,0.16374437202273276
Sorpresa disponible,TRUE,Beta constante,185,7,56.58115915985351,-99.16231831970703,-98.5295499581251,-76.61982754415875,0.027967232947396656,0,0,0.5007149237378559,0,0.833832691532121
Sorpresa disponible,TRUE,Beta TVP,185,8,57.57829946295324,-99.15659892590648,-98.33841710772467,-73.39375232527988,0.02607490042417283,5.550554518254072e-5,0.005719393800546868,0.49928507626214413,3.2260752188788757,0.1661673084678789
