definicion_sorpresa,pulso,modelo,parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor,significativo_5pct
Sorpresa exacta,FALSE,Beta constante,alpha,0.03840179645399623,0.01652081999970381,0.006021584259507745,0.07078200864848472,2.3244485718435715,0.020101464876605177,TRUE
Sorpresa exacta,FALSE,Beta constante,lambda_meta,0.026567117656424583,0.07116989639315612,-0.11292331605760847,0.16605755137045763,0.3732915038917964,0.7089314991205886,FALSE
Sorpresa exacta,FALSE,Beta constante,gamma_expectativa_corta,-0.08786015460354049,0.05885202589712824,-0.2032080057791304,0.0274876965720494,-1.4928994076961375,0.13546352021944547,FALSE
Sorpresa exacta,FALSE,Beta constante,beta_sorpresa,0.03894135547883564,0.009413387222646398,0.02049145554991918,0.057391255407752105,4.136805865709198,3.5217381843380935e-5,TRUE
Sorpresa exacta,FALSE,Beta constante,rho_revision,-0.27106087804886503,0.07020721933136141,-0.4086644993930376,-0.13345725670469244,-3.860869019317259,1.1298446174239768e-4,TRUE
Sorpresa exacta,FALSE,Beta TVP,alpha,0.03847045777116043,0.016535992548022675,0.00606050792841327,0.07088040761390758,2.326468015720085,0.019993596828633022,TRUE
Sorpresa exacta,FALSE,Beta TVP,lambda_meta,0.02686256810953981,0.07119851312670016,-0.11268395337159474,0.16640908959067435,0.3772911389559072,0.7059572565462944,FALSE
Sorpresa exacta,FALSE,Beta TVP,gamma_expectativa_corta,-0.08745830059743885,0.05887799911040827,-0.2028570583356204,0.027940457140742683,-1.4854156377399421,0.13743375575117217,FALSE
Sorpresa exacta,FALSE,Beta TVP,rho_revision,-0.2713116557929045,0.07021451871660742,-0.40892958366926857,-0.13369372791654047,-3.8640392436206046,1.1152729182824824e-4,TRUE
Sorpresa exacta,TRUE,Beta constante,alpha,0.037057690434091434,0.015956110809914794,0.005784287913328211,0.06833109295485465,2.322476377580968,0.02020729894395753,TRUE
Sorpresa exacta,TRUE,Beta constante,lambda_meta,0.019118935442800918,0.06874854176668747,-0.11562573040955418,0.153863601295156,0.2780995051165596,0.7809359756213852,FALSE
Sorpresa exacta,TRUE,Beta constante,gamma_expectativa_corta,-0.09569349690286089,0.05686440077170989,-0.2071456744178639,0.01575868061214214,-1.6828366360007176,0.09240672067760251,FALSE
Sorpresa exacta,TRUE,Beta constante,beta_sorpresa,0.04214518028789667,0.009129388617090926,0.024251907397528527,0.06003845317826481,4.616429648859247,3.903982812733194e-6,TRUE
Sorpresa exacta,TRUE,Beta constante,rho_revision,-0.24515395927675224,0.06814139273088556,-0.37870863488568735,-0.11159928366781713,-3.597724517386251,3.210133594598869e-4,TRUE
Sorpresa exacta,TRUE,Beta constante,delta_sep2012,0.6360678255587676,0.16961029355175705,0.3036377587900577,0.9684978923274775,3.750172305224327,1.7671310149337978e-4,TRUE
