fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,shock_inf,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,-3.4100000000000006,-0.005017087185335084,0.6250170871853352,4.05907387948556
2012-03-01,5.59,5.47,4.55,-0.6400000000000006,0.16000000000000014,-1.6900000000000004,-0.0997263318908811,-0.5402736681091195,-3.20976772175324
2011-09-01,6.69,6.43,7.24931562404949,0.47999999999999954,0.07000000000000028,1.35931562404949,0.012822706074332071,0.4671772939256675,2.9966266787465226
2011-11-01,6.85,6.06,6.05484387510006,-0.4500000000000002,0.08000000000000007,0.10484387510005977,-0.02540938854673855,-0.4245906114532616,-2.928085027278829
2013-12-01,5.09,5.19,4.39,0.4900000000000002,-0.009999999999999787,-0.2600000000000007,-0.010666839496081295,0.5006668394960815,2.9068150308062655
2011-12-01,5.94,5.62,6.2,-0.4399999999999995,-0.4500000000000002,0.4900000000000002,0.1345234423523214,-0.5745234423523209,-2.7824684089975307
2011-06-01,6.38,6.16,6.42229936695938,0.41999999999999993,-0.4500000000000002,1.6122993669593804,0.16542978322951335,0.2545702167704866,2.546084894476151
2025-12-01,3.48,3.72,1.65,0.4200000000000004,-0.07000000000000028,-2.24,-0.011976542275519801,0.4319765422755202,2.4233425301524796
2013-06-01,4.87,5.21,4.79,0.3799999999999999,-0.09999999999999964,-0.09999999999999964,0.019322501156578287,0.3606774988434216,2.160010661910575
2015-12-01,3.17,3.65,3.07,0.2799999999999998,0.0900000000000003,-1.1300000000000003,-0.06397335117038484,0.34397335117038463,2.036766081838036
