fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,ajustado_tvp,residuo_tvp,residuo_estandarizado
2011-01-01,5.99,5.85,4.9,-0.35000000000000053,-0.019999999999999574,5.71,1.5600000000000005,-0.005908767425491394,0.014139881212415587,-0.03362242534750049,0.021804890496517702,-0.2810182518376974,0.07125982497536701,-0.4206849423340445,-0.14135156134135027,0.027340390007481487,0.014538397808288101,-0.0011543460896792437,0.05583512610464222,-0.027340390007481487,0.04236260602293357,-0.3923626060229341,NA
2011-02-01,5.5,5.81,5.24,-0.040000000000000036,-0.35000000000000053,5.99,1.27,-0.005908767425491398,0.014139881212415585,-0.03362242534750049,0.021804890496517695,-0.2810182518376974,0.07125982497536701,-0.4206849423340445,-0.14135156134135027,0.027406717785568954,0.014419304099555483,-8.545989316905388e-4,0.05566803450282845,-0.027406717785568954,0.1272541523053754,-0.16725415230537544,NA
2011-03-01,6.24,6.13,4.99,0.3200000000000003,-0.040000000000000036,5.5,-0.39999999999999947,-0.005908767425490681,0.01413988121241482,-0.03362242534749828,0.02180489049651691,-0.2810182518376985,0.07125982497536687,-0.4206849423340454,-0.14135156134135163,0.027496063366710618,0.014302463776323965,-5.362505250730808e-4,0.05552837725849431,-0.027496063366710618,-0.005666462698666963,0.3256664626986672,NA
2011-04-01,6.07,6.19,5.76114812916453,0.0600000000000005,0.3200000000000003,6.24,0.7211481291645301,-0.005908767425490818,0.014139881212414832,-0.03362242534749844,0.0218048904965168,-0.281018251837699,0.07125982497536583,-0.42068494233404385,-0.14135156134135418,0.027599525097987174,0.014184674293862463,-2.019256504143703e-4,0.055400975846388714,-0.027599525097987174,-0.07593126212331164,0.13593126212331214,0.8868107193083989
2011-05-01,5.96,5.74,6.3930220625962,-0.4500000000000002,0.0600000000000005,6.07,1.0330220625962,-0.00590876742549083,0.014139881212414739,-0.033622425347498264,0.021804890496516606,-0.28101825183769924,0.07125982497536616,-0.42068494233404474,-0.14135156134135374,0.027692364321163926,0.014066570164397173,1.2239341293980577e-4,0.055262335229388046,-0.027692364321163926,0.0058369607734612555,-0.4558369607734614,-1.744570517293678
2011-06-01,6.38,6.16,6.42229936695938,0.41999999999999993,-0.4500000000000002,5.96,1.6122993669593804,-0.005908767425490946,0.014139881212414593,-0.0336224253474981,0.021804890496516204,-0.28101825183769913,0.07125982497536618,-0.42068494233404463,-0.1413515613413536,0.027836230819019064,0.013949210077236117,4.962814548530974e-4,0.05517618018318503,-0.027836230819019064,0.16542978322951335,0.2545702167704866,2.546084894476151
2011-07-01,5.96,5.88,7.03967446592064,-0.28000000000000025,0.41999999999999993,6.38,2.14967446592064,-0.005908767425490885,0.014139881212414366,-0.03362242534749759,0.02180489049651582,-0.28101825183769924,0.07125982497536629,-0.42068494233404496,-0.14135156134135352,0.027935620211383308,0.013835840418344436,8.17871295584624e-4,0.05505336912718199,-0.027935620211383308,-0.06388394373925729,-0.21611605626074296,1.391043799013874
2011-08-01,6.33,5.95,7.6258261311642,0.07000000000000028,-0.28000000000000025,5.96,2.2758261311642007,-0.005908767425490858,0.014139881212414655,-0.03362242534749813,0.02180489049651641,-0.28101825183769913,0.07125982497536647,-0.4206849423340452,-0.14135156134135304,0.02808535305351159,0.01372798053929964,0.0011790056160175533,0.05499170049100563,-0.02808535305351159,0.13669372347121894,-0.06669372347121866,0.7582595726324408
2011-09-01,6.69,6.43,7.24931562404949,0.47999999999999954,0.07000000000000028,6.33,1.35931562404949,-0.005908767425490878,0.014139881212414425,-0.0336224253474977,0.021804890496515943,-0.28101825183769913,0.07125982497536643,-0.42068494233404513,-0.14135156134135313,0.02825153367549596,0.01362799761714923,0.0015411491644857986,0.05496191818650612,-0.02825153367549596,0.012822706074332071,0.4671772939256675,2.9966266787465226
2011-10-01,6.69,6.51,6.65,0.08000000000000007,0.47999999999999954,6.69,0.6900000000000004,-0.005908767425490829,0.014139881212414227,-0.033622425347497265,0.021804890496515603,-0.28101825183769913,0.07125982497536641,-0.4206849423340451,-0.14135156134135315,0.028348898954964997,0.013529896601771669,0.0018307889009416649,0.05486700900898833,-0.028348898954964997,-0.1212367880286604,0.20123678802866046,0.9329568945644525
