parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor,interpretacion
alpha,-0.005908767425490759,0.014139881212413422,-0.03362242534749561,0.021804890496514094,-0.41787956608174637,0.6760351732295616,Intercepto constante de la ecuación de observación
rho,-0.28101825183769885,0.07125982497536652,-0.4206849423340451,-0.14135156134135266,-3.943572018803621,8.027686871436499e-5,Persistencia AR(1) de las revisiones de expectativas
