modelo,log_verosimilitud,parametros_aproximados,AIC_aproximado,BIC_aproximado,nota
AR(1) con beta constante,53.82344441347079,4,-99.64688882694158,-86.74390213208878,Modelo lineal de referencia
AR(1) con beta_t variante,44.95331425950607,5,-79.90662851901214,-63.777895150446135,Criterios calculados con conteo aproximado de hiperparámetros y estados iniciales
