parametro,estimacion,error_estandar_hac,estadistico_t,grados_libertad,p_valor,limite_inferior_95,limite_superior_95,lag_newey_west
(Intercept),0.07012267048437154,0.03093659042374637,2.2666580099449694,184,0.024574861510494924,0.00948806744936194,0.13075727351938116,4
x_lambda,0.6475629231295045,0.04711694469455763,13.743737573126277,184,4.922190020694068e-30,0.555215408466606,0.739910437792403,4
x_psi,0.6818391402779352,0.05091208529164691,13.392481104870475,184,5.398443390580031e-29,0.5820532867284759,0.7816249938273946,4
