fecha,exp_inf_12m,exp_inf_24m,infl_gt,meta_inflacion,d_exp24,x_lambda,x_psi,lambda_t,psi_t,parametro_anclaje,residuo_recursivo_estandarizado
2012-09-01,4.91,5.17,3.28,4.5,0.6200000000000001,-1.79,1.7300000000000004,0.16872542691549466,-0.02698108941054505,0.8312745730845054,3.868251952456034
2012-01-01,5.97,5.95,5.44,4.5,0.33000000000000007,1.7000000000000002,-0.2599999999999998,0.1803351291091699,-0.026981089398444024,0.8196648708908301,3.254111519440831
2012-02-01,6,6.11,5.17,4.5,0.16000000000000014,0.9400000000000004,0.5299999999999994,0.17990046488732211,-0.026981089385250654,0.8200995351126779,2.849075697777984
2011-06-01,6.38,6.16,6.42229936695938,5,0.41999999999999993,1.3930220625962004,-0.43302206259620046,0.17887129139884594,-0.026981089383599565,0.8211287086011541,2.7455385160376027
2012-03-01,5.59,5.47,4.55,4.5,-0.6400000000000006,0.6699999999999999,0.8300000000000001,0.177841858978958,-0.026981089408111305,0.822158141021042,-2.3783231375862917
2013-12-01,5.09,5.19,4.39,4,0.4900000000000002,0.6299999999999999,0.0600000000000005,0.15634054503762956,-0.026981089326475118,0.8436594549623704,2.3026912158509596
2013-07-01,4.88,4.81,4.74,4,-0.40000000000000036,0.79,0.08000000000000007,0.1594488326040704,-0.026981089360647994,0.8405511673959296,-2.2744295757041395
2012-10-01,4.7,4.76,3.35,4.5,-0.41000000000000014,-1.2200000000000002,1.6300000000000003,0.16900595032391974,-0.026981089407163625,0.8309940496760803,-2.262378270363447
2013-06-01,4.87,5.21,4.79,4,0.3799999999999999,0.2699999999999996,0.4400000000000004,0.16082484902528912,-0.026981089355124135,0.8391751509747108,2.241356634839363
2026-07-01,2.94,3.28,NA,4,-0.43000000000000016,-1.73,1.4100000000000001,0.125736106969152,-0.026981088813751736,0.874263893030848,-2.178241944965602
