fecha,exp_inf_12m,exp_inf_24m,infl_gt,meta_inflacion,exp24_lag1,exp12_lag1,infl_lag1,d_exp24,gap_meta_largo,y_reparam,x_lambda,x_psi,lambda_t,lambda_se,lambda_li_95,lambda_ls_95,psi_t,psi_se,psi_li_95,psi_ls_95,theta1_inflacion,theta1_se,theta1_li_95,theta1_ls_95,theta2_expectativa_corta,theta2_se,theta2_li_95,theta2_ls_95,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,peso_meta,peso_inflacion,peso_expectativa_12m,suma_pesos,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,lambda_significativamente_positivo,theta1_significativamente_positivo,theta2_significativamente_positivo,anclaje_fuera_0_1,algun_peso_fuera_0_1,residuo_estado_u,y_ajustada_estado,residuo_recursivo_estandarizado
2011-01-01,5.99,5.85,4.9,5,6.2,5.71,5.39,-0.35000000000000053,-1.2000000000000002,0.8499999999999996,0.3899999999999997,0.3200000000000003,0.17736053420392067,0.08130300019613085,0.018009581984451295,0.33671148642339005,-0.026981089383420365,0.060562973555041644,-0.1456823363479537,0.09172015758111295,0.20434162358734104,0.05786971121760407,0.09091907380510353,0.3177641733695785,-0.026981089383420365,0.060562973555041644,-0.1456823363479537,0.09172015758111295,0.8226394657960794,82.26394657960793,0.08130300019613085,0.66328851357661,0.9819904180155488,0.8226394657960794,0.20434162358734104,-0.026981089383420365,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.7894633402631648,0.8499999999999993,NA
2011-02-01,5.5,5.81,5.24,5,5.85,5.99,4.9,-0.040000000000000036,-0.8499999999999996,0.8099999999999996,-0.09999999999999964,1.0899999999999999,0.1774592944061564,0.0808694474240412,0.018958090005380235,0.3359604988069326,-0.026981089380867882,0.06056297354633542,-0.14568233632833733,0.09172015756660155,0.20444038378702428,0.05727743052729992,0.09217868282652142,0.31670208474752715,-0.026981089380867882,0.06056297354633542,-0.14568233632833733,0.09172015756660155,0.8225407055938436,82.25407055938436,0.0808694474240412,0.6640395011930674,0.9810419099946198,0.8225407055938436,0.20444038378702428,-0.026981089380867882,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.8571553168657604,0.8099999999999988,NA
2011-03-01,6.24,6.13,4.99,5,5.81,5.5,5.24,0.3200000000000003,-0.8099999999999996,1.13,0.2400000000000002,0.2599999999999998,0.17752836079008907,0.08043283641577291,0.019882898240772467,0.3351738233394057,-0.026981089374139997,0.060562973538958294,-0.14568233630715052,0.09172015755887053,0.20450945016422906,0.05668804720909035,0.09340291928050568,0.3156159810479524,-0.026981089374139997,0.060562973538958294,-0.14568233630715052,0.09172015755887053,0.822471639209911,82.2471639209911,0.08043283641577291,0.6648261766605943,0.9801171017592276,0.822471639209911,0.20450945016422906,-0.026981089374139997,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1.0944082766476568,1.130000000000002,NA
2011-04-01,6.07,6.19,5.76114812916453,5,6.13,6.24,4.99,0.0600000000000005,-1.13,1.1900000000000004,-0.009999999999999787,1.25,0.17754284062651715,0.07997966211806841,0.020785583379420602,0.3343000978736137,-0.026981089369014315,0.060562973521326974,-0.1456823362674681,0.09172015752943946,0.20452392999553146,0.05610910573283064,0.09455210355443354,0.31449575643662936,-0.026981089369014315,0.060562973521326974,-0.1456823362674681,0.09172015752943946,0.8224571593734828,82.24571593734828,0.07997966211806841,0.6656999021263863,0.9792144166205794,0.8224571593734828,0.20452392999553146,-0.026981089369014315,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1.22550179011753,1.189999999999997,1.9954503730583553
2011-05-01,5.96,5.74,6.3930220625962,5,6.19,6.07,5.76114812916453,-0.4500000000000002,-1.1900000000000004,0.7400000000000002,0.7611481291645301,0.30885187083547017,0.1775715724021291,0.07952325097555434,0.02170886455650292,0.33343428024775523,-0.02698108938898733,0.06056297351642914,-0.14568233627784155,0.09172015749986688,0.20455266179111642,0.055524417183137185,0.09572680384959065,0.3133785197326422,-0.02698108938898733,0.06056297351642914,-0.14568233627784155,0.09172015749986688,0.8224284275978709,82.2428427597871,0.07952325097555434,0.6665657197522448,0.9782911354434971,0.8224284275978709,0.20455266179111642,-0.02698108938898733,1.0000000000000002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.6131748898082834,0.74,-1.8956634848426028
2011-06-01,6.38,6.16,6.42229936695938,5,5.74,5.96,6.3930220625962,0.41999999999999993,-0.7400000000000002,1.1600000000000001,1.3930220625962004,-0.43302206259620046,0.17887129139884594,0.07906981961695154,0.023897292685542304,0.3338452901121496,-0.026981089383599565,0.06056297350994218,-0.14568233625973956,0.09172015749254042,0.2058523807824455,0.05494614268749417,0.0981599200255581,0.31354484153933293,-0.026981089383599565,0.06056297350994218,-0.14568233625973956,0.09172015749254042,0.8211287086011541,82.11287086011541,0.07906981961695154,0.6661547098878504,0.9761027073144577,0.8211287086011541,0.2058523807824455,-0.026981089383599565,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.8991449377403546,1.1599999999999997,2.7455385160376027
2011-07-01,5.96,5.88,7.03967446592064,5,6.16,6.38,6.42229936695938,-0.28000000000000025,-1.1600000000000001,0.8799999999999999,1.42229936695938,-0.04229936695938008,0.17867860937505897,0.07861298300806376,0.024599993961994804,0.33275722478812314,-0.026981089392812935,0.060562973502607524,-0.14568233625457727,0.09172015746895139,0.2056596987678719,0.054456760780107485,0.09892640892414792,0.3123929886115959,-0.026981089392812935,0.060562973502607524,-0.14568233625457727,0.09172015746895139,0.821321390624941,82.1321390624941,0.07861298300806376,0.6672427752118768,0.9754000060380053,0.821321390624941,0.2056596987678719,-0.026981089392812935,0.9999999999999999,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.6247242439954809,0.88,-1.11676008073981
2011-08-01,6.33,5.95,7.6258261311642,5,5.88,5.96,7.03967446592064,0.07000000000000028,-0.8799999999999999,0.9500000000000002,2.0396744659206396,-1.0796744659206396,0.17901507411463424,0.07820160378757306,0.025742747157720014,0.33228740107154847,-0.026981089394737433,0.06056297349726492,-0.14568233624603044,0.09172015745655558,0.20599616350937167,0.053870271941194266,0.10041237066725231,0.31157995635149105,-0.026981089394737433,0.06056297349726492,-0.14568233624603044,0.09172015745655558,0.8209849258853658,82.09849258853657,0.07820160378757306,0.6677125989284516,0.9742572528422799,0.8209849258853658,0.20599616350937167,-0.026981089394737433,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.5557367310312697,0.9500000000000002,0.3483065738361953
2011-09-01,6.69,6.43,7.24931562404949,5,5.95,6.33,7.6258261311642,0.47999999999999954,-0.9500000000000002,1.4299999999999997,2.6258261311642004,-1.2958261311642003,0.18098452824553737,0.07766869995156414,0.028756673614423856,0.3332123828766509,-0.026981089385750483,0.06056297349073436,-0.14568233622424384,0.09172015745274287,0.20796561763128785,0.05330536695516271,0.10348901821647744,0.31244221704609826,-0.026981089385750483,0.06056297349073436,-0.14568233622424384,0.09172015745274287,0.8190154717544627,81.90154717544627,0.07766869995156414,0.6667876171233491,0.9712433263855762,0.8190154717544627,0.20796561763128785,-0.026981089385750483,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.9198032957231104,1.4300000000000002,2.03426473206561
2011-10-01,6.69,6.51,6.65,5,6.43,6.69,7.24931562404949,0.08000000000000007,-1.4299999999999997,1.5099999999999998,2.2493156240494896,-0.5593156240494892,0.18192004959595315,0.0773034900951089,0.03040799313029094,0.33343210606161533,-0.02698108938419845,0.06056297348413835,-0.14568233620976384,0.09172015744136695,0.2089011389801516,0.052995135169624466,0.10503258269185571,0.3127696952684475,-0.02698108938419845,0.06056297348413835,-0.14568233620976384,0.09172015744136695,0.8180799504040468,81.80799504040468,0.0773034900951089,0.6665678939383846,0.969592006869709,0.8180799504040468,0.2089011389801516,-0.02698108938419845,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1.085713445269506,1.5099999999999996,0.8477298159723733
