codigo_modelo,descripcion,observaciones,fecha_inicial,fecha_final,c_inicial,c_final,lambda_inicial,lambda_final,pi_estrella_inicial,pi_estrella_final,MAE_ancla_meta,porcentaje_ancla_dentro_banda,correlacion_c_con_base,correlacion_lambda_con_base,correlacion_pi_estrella_con_base,max_diferencia_lambda_con_base,max_diferencia_pi_estrella_con_base,p_LB_inflacion_12,p_LB_expectativa_12,Q_c0,Q_c,log_verosimilitud,AIC,BIC
B0,Modelo base TVP-VAR,197,2010-02-01,2026-06-01,0.18438591434244292,0.08874326293762791,0.753486648172879,0.8813553666675368,6.391604626833373,3.85142924034034,0.45505535605977643,85.27918781725889,1,1,1,0,0,0,0.2000447765605774,0.0029241190146198554,2.5115325237782435e-5,-146.33274507349557,312.66549014699115,345.497527434371
R1,Inflación AR(2),196,2010-03-01,2026-06-01,0.11646794333679482,0.11646791424249209,0.9013027078401566,0.9013027324952486,6.283960339754659,3.806134236615121,0.43139743021418675,90.3061224489796,0.9865156206984839,0.9865156138726314,0.9786972806657016,0.1487626919847006,0.7541438937076581,1.7887539227601224e-9,0.010464476659998612,0.021545249833843906,1.7839883906921683e-11,-109.90099186961334,241.80198373922667,277.8612449907624
R2,Inflación AR(4),194,2010-05-01,2026-06-01,0.17752946335646214,0.08488002879606388,0.7527088629501595,0.8817656605446641,6.091738763439568,3.850230263532766,0.44220637596982704,86.08247422680412,0.9997156629289728,0.9997156629289721,0.9992994140837731,0.00953521833115567,0.21318675986066982,8.662971118233997e-8,0.09668386575559684,0.002826290496004671,2.7663707159487844e-5,-100.46640617834858,226.93281235669716,269.41496842452045
R3,Inflación AR(1) + rezago 12,186,2011-01-01,2026-06-01,0.2001644200487171,0.0914821711351641,0.7544960284650956,0.8877960611938007,6.078676961525276,3.835817453820312,0.41077005236526537,90.32258064516128,0.9968393866610885,0.9968393866610896,0.9985547268958342,0.012884584242847774,0.1603624157382466,0,0.3711418848106056,0.0036585521296953008,3.568322610744962e-5,-98.78742784111988,219.57485568223976,255.05806909308498
