codigo_modelo,descripcion,observaciones,fecha_inicial,fecha_final,H_inflacion,H_expectativa,Q_c0,Q_c,convergencia,intento_seleccionado,log_verosimilitud
B0,Modelo base TVP-VAR,197,2010-02-01,2026-06-01,0.3354281555658814,0.028711619968192416,0.0029241190146198554,2.5115325237782435e-5,0,3,-146.33274507349557
R1,Inflación AR(2),196,2010-03-01,2026-06-01,0.29474649027012473,0.005674902487810956,0.021545249833843906,1.7839883906921683e-11,0,2,-109.90099186961334
R2,Inflación AR(4),194,2010-05-01,2026-06-01,0.28645077771417216,0.01903451906935304,0.002826290496004671,2.7663707159487844e-5,0,3,-100.46640617834858
R3,Inflación AR(1) + rezago 12,186,2011-01-01,2026-06-01,0.32481634915596597,0.015738931006114638,0.0036585521296953008,3.568322610744962e-5,0,4,-98.78742784111988
