"fecha","anio","trimestre","pib","var_trimestral","var_interanual"
2001-01-01,2001,1,70060.6,NA,NA
2001-04-01,2001,2,66509.1,-5.06918296446219,NA
2001-07-01,2001,3,66314.4,-0.292741895469961,NA
2001-10-01,2001,4,71106.3,7.22603235496364,NA
2002-01-01,2002,1,72155.3,1.47525606029284,2.98984022403461
2002-04-01,2002,2,69896.2,-3.1308857422809,5.09268656469564
2002-07-01,2002,3,70306.1,0.586441036851792,6.01935627857602
2002-10-01,2002,4,73264.1,4.20731629261188,3.03461156043838
2003-01-01,2003,1,75441.3,2.97171465970372,4.5540660214842
2003-04-01,2003,2,71542.1,-5.1685217513484,2.35477751294062
2003-07-01,2003,3,71890.5,0.486985984476274,2.25357401420359
2003-10-01,2003,4,74221.7,3.24270939832105,1.30705215787812
2004-01-01,2004,1,76687.7,3.3224784665401,1.65214544288075
2004-04-01,2004,2,73508.5,-4.14564525993086,2.74859138884656
2004-07-01,2004,3,74000.4,0.669174313174659,2.934880130198
2004-10-01,2004,4,77600.2,4.86456829963082,4.55190328434945
2005-01-01,2005,1,79264,2.14406663900351,3.35946964115497
2005-04-01,2005,2,77149.5,-2.6676675413807,4.95316868117293
2005-07-01,2005,3,75770.3,-1.78769791119838,2.39174382841174
2005-10-01,2005,4,78863.6,4.08247030828703,1.62808858740056
2006-01-01,2006,1,83160,5.4478872382189,4.91522002422284
2006-04-01,2006,2,79399.4,-4.52212602212603,2.91628591241679
2006-07-01,2006,3,80781.3,1.74044136353677,6.61340921178879
2006-10-01,2006,4,85047.2,5.28080137358522,7.84087969608285
2007-01-01,2007,1,88341.8,3.87384887450735,6.23112073112073
2007-04-01,2007,2,85226.5,-3.52641671326598,7.33897233480354
2007-07-01,2007,3,85488.2,0.307064117381328,5.82671979777498
2007-10-01,2007,4,89195,4.33603702031391,4.87705650509365
2008-01-01,2008,1,90929.6,1.94472784348898,2.92930413462258
2008-04-01,2008,2,90145.1,-0.862755362390244,5.77120965896758
2008-07-01,2008,3,88192.3,-2.16628524456682,3.16312660694693
2008-10-01,2008,4,91738.9,4.02143951342691,2.85206569874992
2009-01-01,2009,1,90819.8,-1.00186507577482,-0.120752758177756
2009-04-01,2009,2,89285.9,-1.68894888559544,-0.953130009285041
2009-07-01,2009,3,89414.1,0.143583701345906,1.38538171699798
2009-10-01,2009,4,93767.9,4.86925440171069,2.21171171662184
2010-01-01,2010,1,93561.1,-0.22054455735917,3.01839466724216
2010-04-01,2010,2,92080.5,-1.58249528917468,3.12994548971339
2010-07-01,2010,3,91027.2,-1.14389040024762,1.8040778803343
2010-10-01,2010,4,96812,6.35502355339943,3.24642015017933
2011-01-01,2011,1,97288.7,0.492397636656605,3.98413443193806
2011-04-01,2011,2,96227,-1.0912880940952,4.50312498303116
2011-07-01,2011,3,96247.7,0.0215116339488786,5.73509895943192
2011-10-01,2011,4,100318.9,4.2299192604083,3.62238152295169
2012-01-01,2012,1,101001.4,0.680330426270626,3.8161677563787
2012-04-01,2012,2,98806.4,-2.17323720265263,2.68053664771841
2012-07-01,2012,3,98662.2,-0.145941963273633,2.50863137508741
2012-10-01,2012,4,103889.3,5.29797632730671,3.55905018894747
2013-01-01,2013,1,103960.102385718,0.0681517593419168,2.92936769759429
2013-04-01,2013,2,103201.229307188,-0.729965689831702,4.44791967644642
2013-07-01,2013,3,102372.508059716,-0.803014899178423,3.76061760199584
2013-10-01,2013,4,106849.380547256,4.37311986625146,2.84926411791748
2014-01-01,2014,1,108289.467026761,1.34777241770558,4.16444822743616
2014-04-01,2014,2,107649.752040424,-0.590745345693178,4.31053269723611
2014-07-01,2014,3,106782.87353636,-0.805276823804291,4.30815417169519
2014-10-01,2014,4,112165.105761306,5.04035155329794,4.97497054903324
2015-01-01,2015,1,113343.544635345,1.05062877268349,4.66719224625549
2015-04-01,2015,2,111016.022331894,-2.05351112931841,3.1270581006132
2015-07-01,2015,3,112035.394823854,0.91822105543633,4.91887988545776
2015-10-01,2015,4,116288.563144892,3.79627199754575,3.67623901889813
2016-01-01,2016,1,115243.113372457,-0.89901340610058,1.67593906051151
2016-04-01,2016,2,115126.259391895,-0.101397799089742,3.70238184873231
2016-07-01,2016,3,114354.243005929,-0.670582358920002,2.06974607062398
2016-10-01,2016,4,120081.880891577,5.00867981378847,3.26198694359925
2017-01-01,2017,1,120681.264907347,0.499146092082725,4.71885163091168
2017-04-01,2017,2,117992.109800346,-2.22831199943561,2.48931079980215
2017-07-01,2017,3,117906.127033183,-0.072871624474391,3.10603606292943
2017-10-01,2017,4,122541.312984795,3.93125113023853,2.04812922229178
2018-01-01,2018,1,123947.765806485,1.1477376791813,2.70671748563964
2018-04-01,2018,2,123023.061149602,-0.746043828113219,4.26380319647532
2018-07-01,2018,3,122027.617432831,-0.809152127632773,3.49556931718065
2018-10-01,2018,4,126445.410275705,3.62032213347632,3.18594374078112
2019-01-01,2019,1,128569.459863934,1.67981549001872,3.72874333585391
2019-04-01,2019,2,127741.558516938,-0.643933129899421,3.83545761521746
2019-07-01,2019,3,126951.06648708,-0.618821344466836,4.03470063402629
2019-10-01,2019,4,132088.198159506,4.04654471567474,4.46262768375458
2020-01-01,2020,1,129622.791144897,-1.86648546120031,0.819270207775458
2020-04-01,2020,2,115915.47999882,-10.5747693171907,-9.25781605878018
2020-07-01,2020,3,125160.693853302,7.97582329346838,-1.41028561895565
2020-10-01,2020,4,135449.471597391,8.22045438334493,2.54471897165705
2021-01-01,2021,1,135445.822585188,-0.00269400253782859,4.4922898117369
2021-04-01,2021,2,133933.033818597,-1.11689584641104,15.5436994437327
2021-07-01,2021,3,135354.076979155,1.06101020789429,8.1442366705001
2021-10-01,2021,4,142118.461890232,4.99754795869125,4.92360008067385
2022-01-01,2022,1,141620.158787229,-0.350625173095265,4.55852833568009
2022-04-01,2022,2,140336.371563102,-0.906500342268435,4.78099955025104
2022-07-01,2022,3,140750.824262507,0.295328071253831,3.98713315756487
2022-10-01,2022,4,147027.136083848,4.45916523347363,3.4539314092825
2023-01-01,2023,1,147376.146168524,0.237378006517641,4.06438421661601
2023-04-01,2023,2,146262.722406646,-0.755497949175798,4.22296143012342
2023-07-01,2023,3,146465.404958325,0.138574305430295,4.06006908006455
2023-10-01,2023,4,149759.834163619,2.2492882918195,1.85863518297189
2024-01-01,2024,1,151618.997310628,1.24142975811437,2.87892664614309
2024-04-01,2024,2,151723.473547106,0.0689070883798548,3.7335221515139
2024-07-01,2024,3,151612.385495595,-0.0732174454707191,3.51412713379988
2024-10-01,2024,4,156450.285372825,3.19096613473624,4.46745367112076
2025-01-01,2025,1,157608.741203747,0.740462587307267,3.95052335087458
2025-04-01,2025,2,157896.338894229,0.182475723291375,4.06849724884941
2025-07-01,2025,3,158057.410700988,0.102011109242217,4.25098858798676
