modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Coeficiente beta constante,186,4,42.94182034089956,-77.88364068179912,-77.662646206661,-64.98065398694632,0,0.7003368182705549,0,0.9214183248565104
Coeficiente beta_t variante,186,5,43.092918068979834,-76.18583613795967,-75.85250280462634,-60.05710276939366,1.6978045438394531,0.299663181729445,4.923551217552664,0.0785816751434895
