fecha,exp_inf_24m,exp_inf_12m,infl_gt,meta_inflacion,exp24_lag1,infl_lag1,exp12_pronostico_infl_lag1,d_exp24,gap_meta_largo,x_inflacion,sorpresa_inflacion,y_ajustada,lambda_desanclaje,lambda_se,lambda_li_95,lambda_ls_95,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,gamma_sorpresa,gamma_sorpresa_se,gamma_sorpresa_li_95,gamma_sorpresa_ls_95,gamma_sorpresa_p_valor,z_anclaje_igual_uno,p_anclaje_igual_uno,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,lambda_significativamente_positiva,fuera_rango_0_1,contribucion_meta,contribucion_inflacion,contribucion_sorpresa,ajuste_sin_error_estado,residuo_estado_u,ajuste_total_estado
2011-02-01,5.81,5.5,5.24,5,5.85,4.9,3.34,-0.040000000000000036,-0.8499999999999996,-0.09999999999999964,1.5600000000000005,0.8099999999999996,0.43742088243806054,0.08443602981710875,0.2719293049989773,0.6029124598771438,0.5625791175619395,56.25791175619395,0.08443602981710875,0.3970875401228562,0.7280706950010227,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.180500354949524,2.212915069239566e-7,TRUE,TRUE,TRUE,FALSE,-0.8499999999999996,-0.0437420882438059,-0.21714982772682148,-1.110891915970627,1.0708919159706274,-0.03999999999999959
2011-03-01,6.13,6.24,4.99,5,5.81,5.24,3.97,0.3200000000000003,-0.8099999999999996,0.2400000000000002,1.27,1.13,0.4372846826181501,0.08348203293572612,0.27366290470794036,0.6009064605283598,0.5627153173818499,56.27153173818499,0.08348203293572612,0.3990935394716401,0.7263370952920596,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.238069405363202,1.6226504404510165e-7,TRUE,TRUE,TRUE,FALSE,-0.8099999999999996,0.10494832382835612,-0.17678223154683537,-0.8818339077184788,1.2018339077184794,0.3200000000000006
2011-04-01,6.19,6.07,5.76114812916453,5,6.13,4.99,5.39,0.0600000000000005,-1.13,-0.009999999999999787,-0.39999999999999947,1.1900000000000004,0.43688165004609236,0.08252574037355846,0.27513417111641475,0.5986291289757699,0.5631183499539076,56.31183499539076,0.08252574037355846,0.40137087102423,0.7248658288835852,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.293883436471062,1.1974577610039463e-7,TRUE,TRUE,TRUE,FALSE,-1.13,-0.00436881650046083,0.05567944300687721,-1.0786893734935834,1.1386893734935841,0.06000000000000072
2011-05-01,5.74,5.96,6.3930220625962,5,6.19,5.76114812916453,5.04,-0.4500000000000002,-1.1900000000000004,0.7611481291645301,0.7211481291645301,0.7400000000000002,0.4365075514533129,0.08155659533450407,0.2766595618959775,0.5963555410106482,0.5634924485466871,56.34924485466871,0.08155659533450407,0.40364445898935175,0.7233404381040225,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.352204192229688,8.688926991608155e-8,TRUE,TRUE,TRUE,FALSE,-1.1900000000000004,0.33224690615487895,-0.10038281539333158,-0.958135909238453,0.5081359092384531,-0.44999999999999996
2011-06-01,6.16,6.38,6.42229936695938,5,5.74,6.3930220625962,5.36,0.41999999999999993,-0.7400000000000002,1.3930220625962004,1.0330220625962,1.1600000000000001,0.43906925597265706,0.08053689692419413,0.28121983857462196,0.5969186733706922,0.560930744027343,56.0930744027343,0.08053689692419413,0.40308132662930785,0.7187801614253782,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.451777666402192,4.9868780467239835e-8,TRUE,TRUE,TRUE,FALSE,-0.7400000000000002,0.6116331605776099,-0.14379523264792984,-0.27216207207032017,0.6921620720703203,0.42000000000000015
2011-07-01,5.88,5.96,7.03967446592064,5,6.16,6.42229936695938,4.81,-0.28000000000000025,-1.1600000000000001,1.42229936695938,1.6122993669593804,0.8799999999999999,0.4388592330406104,0.07990177904677002,0.28225462380826405,0.5954638422729568,0.5611407669593895,56.114076695938955,0.07990177904677002,0.4045361577270432,0.7177453761917358,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.492483875530818,3.96319746157764e-8,TRUE,TRUE,TRUE,FALSE,-1.1600000000000001,0.6241892093379392,-0.22442982678159784,-0.7602406174436588,0.4802406174436584,-0.28000000000000036
2011-08-01,5.95,6.33,7.6258261311642,5,5.88,7.03967446592064,4.89,0.07000000000000028,-0.8799999999999999,2.0396744659206396,2.14967446592064,0.9500000000000002,0.43915978833869984,0.07894529541551323,0.28442985257541886,0.5938897241019808,0.5608402116613002,56.084021166130015,0.07894529541551323,0.4061102758980192,0.7155701474245811,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.562836721647155,2.6542421340443776e-8,TRUE,TRUE,TRUE,FALSE,-0.8799999999999999,0.8957430067335588,-0.2992316922714191,-0.2834886855378602,0.3534886855378607,0.0700000000000005
2011-09-01,6.43,6.69,7.24931562404949,5,5.95,7.6258261311642,5.35,0.47999999999999954,-0.9500000000000002,2.6258261311642004,2.2758261311642007,1.4299999999999997,0.442902482248627,0.07791890022937377,0.2901842440840847,0.5956207204131693,0.5570975177513731,55.709751775137306,0.07791890022937377,0.40437927958683073,0.7098157559159154,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.684146990586786,1.3146717044034326e-8,TRUE,TRUE,TRUE,FALSE,-0.9500000000000002,1.1629849114459332,-0.31679182840929787,-0.10380691696336486,0.5838069169633643,0.4799999999999994
2011-10-01,6.51,6.69,6.65,5,6.43,7.24931562404949,5.89,0.08000000000000007,-1.4299999999999997,2.2493156240494896,1.35931562404949,1.5099999999999998,0.44500372894369644,0.0774570976305894,0.29319060724073853,0.5968168506466544,0.5549962710563036,55.49962710563035,0.0774570976305894,0.40318314935334565,0.7068093927592615,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.745164001187095,9.183193669870448e-9,TRUE,TRUE,TRUE,FALSE,-1.4299999999999997,1.0009538402733404,-0.1892148420440535,-0.6182610017707127,0.698261001770713,0.0800000000000003
2011-11-01,6.06,6.85,6.05484387510006,5,6.51,6.65,5.96,-0.4500000000000002,-1.5099999999999998,1.6500000000000004,0.6900000000000004,1.0599999999999996,0.4427219354009537,0.07728383070969541,0.29124841062266016,0.5941954601792473,0.5572780645990463,55.72780645990463,0.07728383070969541,0.4058045398207527,0.7087515893773398,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.728519553643364,1.0131087689755896e-8,TRUE,TRUE,TRUE,FALSE,-1.5099999999999998,0.7304911934115738,-0.09604703918686337,-0.8755558457752894,0.4255558457752892,-0.45000000000000023
2011-12-01,5.62,5.94,6.2,5,6.06,6.05484387510006,5.95,-0.4399999999999995,-1.0599999999999996,1.05484387510006,0.10484387510005977,0.6200000000000001,0.44050906235871634,0.07713378188119088,0.2893296278802141,0.5916884968372186,0.5594909376412837,55.949093764128364,0.07713378188119088,0.4083115031627814,0.7106703721197859,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.7109745122731335,1.1233107030689661e-8,TRUE,TRUE,TRUE,FALSE,-1.0599999999999996,0.4646682863551623,-0.014594121420634846,-0.6099258350654722,0.1699258350654725,-0.4399999999999996
2012-01-01,5.95,5.97,5.44,4.5,5.62,6.2,5.71,0.33000000000000007,-1.12,1.7000000000000002,0.4900000000000002,1.4500000000000002,0.4426157418232007,0.07664711622209175,0.29239015450904515,0.5928413291373562,0.5573842581767994,55.73842581767994,0.07664711622209175,0.40715867086264385,0.707609845490955,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.774721393831474,7.708051870985974e-9,TRUE,TRUE,TRUE,FALSE,-1.12,0.7524467610994412,-0.0682073176834247,-0.4357605565839836,0.7657605565839836,0.32999999999999996
2012-02-01,6.11,6,5.17,4.5,5.95,5.44,5.99,0.16000000000000014,-1.4500000000000002,0.9400000000000004,-0.5499999999999998,1.6100000000000003,0.44255670762361154,0.07667731479854563,0.29227193218722203,0.5928414830600011,0.5574432923763885,55.744329237638844,0.07667731479854563,0.40715851693999894,0.707728067812778,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.771677174485585,7.848637459823536e-9,TRUE,TRUE,TRUE,FALSE,-1.4500000000000002,0.41600330516619505,0.07655923413445624,-0.9574374606993489,1.1174374606993491,0.16000000000000025
2012-03-01,5.47,5.59,4.55,4.5,6.11,5.17,5.5,-0.6400000000000006,-1.6100000000000003,0.6699999999999999,-0.33000000000000007,0.9699999999999998,0.43855590319472526,0.07670710076465685,0.28821274833751304,0.5888990580519375,0.5614440968052747,56.144409680527474,0.07670710076465685,0.4111009419480625,0.711787251662487,-0.1391986075171932,0.04681964631139974,-0.23096342805644027,-0.047433786977946146,0.002948264994008289,-5.717279089197332,1.0824325760586792e-8,TRUE,TRUE,TRUE,FALSE,-1.6100000000000003,0.2938324551404659,0.04593554048067377,-1.2702320043788606,0.6302320043788602,-0.6400000000000005
