fecha,raiz_1_real,raiz_1_imaginaria,raiz_2_real,raiz_2_imaginaria,radio_espectral,estable
2010-03-01,0.2501529319035525,0,-0.19288002650959768,0,0.2501529319035525,TRUE
2010-04-01,0.25238167058357563,0,-0.19510876518962078,0,0.25238167058357563,TRUE
2010-05-01,0.2538281082241412,0,-0.1965552028301858,0,0.2538281082241412,TRUE
2010-06-01,0.25529872115671426,0,-0.1980258157627594,0,0.25529872115671426,TRUE
2010-07-01,0.256813140317777,0,-0.19954023492382145,0,0.256813140317777,TRUE
2010-08-01,0.2579319594390965,0,-0.20065905404514106,0,0.2579319594390965,TRUE
2010-09-01,0.25906652968454813,0,-0.20179362429059258,0,0.25906652968454813,TRUE
2010-10-01,0.2601898593726606,0,-0.20291695397870496,0,0.2601898593726606,TRUE
2010-11-01,0.26116772610822864,0,-0.20389482071427328,0,0.26116772610822864,TRUE
2010-12-01,0.2622756138114227,0,-0.2050027084174673,0,0.2622756138114227,TRUE
2011-01-01,0.26324544710979525,0,-0.2059725417158399,0,0.26324544710979525,TRUE
2011-02-01,0.26414879788629037,0,-0.2068758924923349,0,0.26414879788629037,TRUE
2011-03-01,0.26503513354461555,0,-0.20776222815066014,0,0.26503513354461555,TRUE
2011-04-01,0.26600160316799987,0,-0.20872869777404437,0,0.26600160316799987,TRUE
2011-05-01,0.2669007829496167,0,-0.2096278775556614,0,0.2669007829496167,TRUE
2011-06-01,0.2672326893346221,0,-0.2099597839406667,0,0.2672326893346221,TRUE
2011-07-01,0.26765644744254163,0,-0.2103835420485862,0,0.26765644744254163,TRUE
2011-08-01,0.26807382218476417,0,-0.21080091679080867,0,0.26807382218476417,TRUE
2011-09-01,0.26837310403247683,0,-0.2111001986385214,0,0.26837310403247683,TRUE
2011-10-01,0.26889665420220693,0,-0.21162374880825144,0,0.26889665420220693,TRUE
2011-11-01,0.26928534272057664,0,-0.21201243732662123,0,0.26928534272057664,TRUE
2011-12-01,0.2698449393004626,0,-0.21257203390650706,0,0.2698449393004626,TRUE
2012-01-01,0.27065989337427504,0,-0.21338698798031958,0,0.27065989337427504,TRUE
2012-02-01,0.2715017385716695,0,-0.21422883317771405,0,0.2715017385716695,TRUE
2012-03-01,0.27195857334672874,0,-0.2146856679527734,0,0.27195857334672874,TRUE
2012-04-01,0.27256958168262957,0,-0.2152966762886741,0,0.27256958168262957,TRUE
2012-05-01,0.2731304409842753,0,-0.2158575355903199,0,0.2731304409842753,TRUE
2012-06-01,0.2737399941639834,0,-0.21646708877002796,0,0.2737399941639834,TRUE
2012-07-01,0.2744034430701406,0,-0.2171305376761851,0,0.2744034430701406,TRUE
2012-08-01,0.2751306605920859,0,-0.21785775519813055,0,0.2751306605920859,TRUE
2012-09-01,0.27602012495879985,0,-0.21874721956484441,0,0.27602012495879985,TRUE
2012-10-01,0.27681321363932454,0,-0.2195403082453692,0,0.27681321363932454,TRUE
2012-11-01,0.2773722365215875,0,-0.22009933112763214,0,0.2773722365215875,TRUE
2012-12-01,0.2779258074894495,0,-0.22065290209549418,0,0.2779258074894495,TRUE
2013-01-01,0.27842932721671637,0,-0.22115642182276107,0,0.27842932721671637,TRUE
2013-02-01,0.27888023400252626,0,-0.22160732860857094,0,0.27888023400252626,TRUE
2013-03-01,0.2791845993970752,0,-0.22191169400311977,0,0.2791845993970752,TRUE
2013-04-01,0.27946412237593943,0,-0.22219121698198405,0,0.27946412237593943,TRUE
2013-05-01,0.27978713023785273,0,-0.22251422484389743,0,0.27978713023785273,TRUE
2013-06-01,0.2801042237204699,0,-0.22283131832651445,0,0.2801042237204699,TRUE
2013-07-01,0.2804704882376628,0,-0.22319758284370728,0,0.2804704882376628,TRUE
2013-08-01,0.2806106889516347,0,-0.22333778355767916,0,0.2806106889516347,TRUE
2013-09-01,0.2807511195222827,0,-0.22347821412832738,0,0.2807511195222827,TRUE
2013-10-01,0.280851319944959,0,-0.22357841455100352,0,0.280851319944959,TRUE
2013-11-01,0.2809832972139138,0,-0.22371039181995822,0,0.2809832972139138,TRUE
2013-12-01,0.28111786623149954,0,-0.2238449608375441,0,0.28111786623149954,TRUE
2014-01-01,0.28145326713080476,0,-0.22418036173684946,0,0.28145326713080476,TRUE
2014-02-01,0.28180449282567205,0,-0.22453158743171656,0,0.28180449282567205,TRUE
2014-03-01,0.28222561679422103,0,-0.22495271140026557,0,0.28222561679422103,TRUE
2014-04-01,0.28269173390542796,0,-0.22541882851147252,0,0.28269173390542796,TRUE
2014-05-01,0.2831193096247851,0,-0.2258464042308296,0,0.2831193096247851,TRUE
2014-06-01,0.2835388769651113,0,-0.22626597157115577,0,0.2835388769651113,TRUE
2014-07-01,0.2839578254599944,0,-0.22668492006603902,0,0.2839578254599944,TRUE
2014-08-01,0.2843669484792657,0,-0.2270940430853103,0,0.2843669484792657,TRUE
2014-09-01,0.2846623212332404,0,-0.22738941583928507,0,0.2846623212332404,TRUE
2014-10-01,0.2849360735640964,0,-0.2276631681701411,0,0.2849360735640964,TRUE
2014-11-01,0.2851795740756269,0,-0.22790666868167156,0,0.2851795740756269,TRUE
2014-12-01,0.28541722743033476,0,-0.22814432203637938,0,0.28541722743033476,TRUE
2015-01-01,0.2856261779847934,0,-0.228353272590838,0,0.2856261779847934,TRUE
2015-02-01,0.2859331108997975,0,-0.22866020550584218,0,0.2859331108997975,TRUE
2015-03-01,0.28609326039718613,0,-0.22882035500323078,0,0.28609326039718613,TRUE
