modelo,H_d_inflacion,H_d_expectativa,Q_a0,Q_a,Q_b,Q_c0,Q_c,Q_d,convergencia,intento_seleccionado,log_verosimilitud
M0_D,0.30849149439319434,0.05268118008952787,0,0,0,0,0,0,0,1,-162.07245017177746
M3_D,0.30849151468769676,0.05017539181869021,0,0,0,1.000000000000001e-12,2.882777366094653e-4,0,0,9,-160.0300722419076
