modelo,intento,convergencia,log_verosimilitud
M0_D,1,0,-162.07245017177746
M0_D,2,0,-162.0724501717779
M0_D,3,0,-198.36014767568486
M3_D,1,0,-162.07244942956027
M3_D,2,0,-162.07237591830108
M3_D,3,0,-160.0304909050557
M3_D,4,0,-160.030072652344
M3_D,5,0,-160.0300741415717
M3_D,6,0,-160.03007312966844
M3_D,7,0,-160.03007224256535
M3_D,8,0,-160.03007265687057
M3_D,9,0,-160.0300722419076
M3_D,10,0,-160.0300728247364
M3_D,11,0,-160.03007466987756
M3_D,12,0,-160.0300724711655
