fecha,residuo_d_inflacion,residuo_d_expectativa
2010-03-01,NA,NA
2010-04-01,NA,NA
2010-05-01,NA,NA
2010-06-01,1.73632038089458,2.61561517303772
2010-07-01,-1.53111322312722,-7.15968694379495
2010-08-01,-0.5357777579123,1.38121360916043
2010-09-01,-0.230052751306922,2.6285019643491
2010-10-01,1.54600494107725,2.24090413517161
2010-11-01,0.497410148592508,-0.849760258949706
2010-12-01,-0.51934353704221,-1.83777379487986
2011-01-01,-1.30078671495705,-2.17386182320145
2011-02-01,0.505856073275092,0.323544026932307
2011-03-01,-0.9409715167046,0.328292842452968
2011-04-01,1.20795762380092,1.19998623151473
2011-05-01,0.566884376250387,-3.51784623999069
2011-06-01,-0.530512941291817,0.329216376282397
2011-07-01,0.672752296853752,-0.936030206302916
2011-08-01,0.530180794813411,-1.0047147400272
2011-09-01,-1.18735891130167,1.28368319172903
2011-10-01,-1.32556474348705,1.19010343436569
2011-11-01,-1.04443751312525,-1.28928185818605
2011-12-01,0.231265737210528,-1.53196869105866
2012-01-01,-1.69967880120022,0.75980419233502
2012-02-01,-0.240576275418557,2.04003106558208
2012-03-01,-1.05982111926599,-2.45861812132789
2012-04-01,-0.31965780059232,0.553728967468287
2012-05-01,-0.542984843109651,-0.753847384380318
2012-06-01,-0.609808521989717,-0.498680974516962
2012-07-01,-0.837306200711426,-0.466279332691181
2012-08-01,0.128648720385679,-0.794784312323613
2012-09-01,1.06513086572503,2.61823055656549
2012-10-01,-0.155653815593889,-2.02235945159957
2012-11-01,-0.560813160032337,-0.34574757147644
2012-12-01,0.75922450135412,0.897176839352325
2013-01-01,0.508750512552377,-0.798689146296981
2013-02-01,0.256733071506869,-1.60569202834005
2013-03-01,0.00194310303916625,-0.360877117271329
2013-04-01,-0.512770704435529,1.10736016185175
2013-05-01,0.384742125718729,0.132048142456516
2013-06-01,0.781037229744843,1.41401367102331
2013-07-01,-0.416565916986522,-1.94241817789301
2013-08-01,-0.647362825220841,-0.0400929979562322
2013-09-01,-0.20437429817999,0.551197528164102
2013-10-01,-0.00624959913457424,-0.621153608008792
2013-11-01,0.831847700394882,-0.184649002323245
