fecha,inflacion,expectativa,d_inflacion,d_expectativa,d_inflacion_lag1,d_expectativa_lag1
2010-03-01,3.93,6.26,1.4500000000000002,2.01,1.05,0.48
2010-04-01,3.75,5.81,-0.18000000000000016,-0.4500000000000002,1.4500000000000002,2.01
2010-05-01,3.51,5.7,-0.2400000000000002,-0.10999999999999943,-0.18000000000000016,-0.4500000000000002
2010-06-01,4.07,5.45,0.5600000000000005,-0.25,-0.2400000000000002,-0.10999999999999943
2010-07-01,4.12,5.11,0.04999999999999982,-0.33999999999999986,0.5600000000000005,-0.25
2010-08-01,4.1,5.57,-0.020000000000000462,0.45999999999999996,0.04999999999999982,-0.33999999999999986
2010-09-01,3.76,5.68,-0.33999999999999986,0.10999999999999943,-0.020000000000000462,0.45999999999999996
2010-10-01,4.51,5.89,0.75,0.20999999999999996,-0.33999999999999986,0.10999999999999943
2010-11-01,5.25,6.22,0.7400000000000002,0.33000000000000007,0.75,0.20999999999999996
2010-12-01,5.39,6.2,0.13999999999999968,-0.019999999999999574,0.7400000000000002,0.33000000000000007
2011-01-01,4.9,5.85,-0.4899999999999993,-0.35000000000000053,0.13999999999999968,-0.019999999999999574
2011-02-01,5.24,5.81,0.33999999999999986,-0.040000000000000036,-0.4899999999999993,-0.35000000000000053
2011-03-01,4.99,6.13,-0.25,0.3200000000000003,0.33999999999999986,-0.040000000000000036
2011-04-01,5.76114812916453,6.19,0.7711481291645299,0.0600000000000005,-0.25,0.3200000000000003
2011-05-01,6.3930220625962,5.74,0.6318739334316703,-0.4500000000000002,0.7711481291645299,0.0600000000000005
2011-06-01,6.42229936695938,6.16,0.029277304363179546,0.41999999999999993,0.6318739334316703,-0.4500000000000002
2011-07-01,7.03967446592064,5.88,0.6173750989612596,-0.28000000000000025,0.029277304363179546,0.41999999999999993
2011-08-01,7.6258261311642,5.95,0.5861516652435608,0.07000000000000028,0.6173750989612596,-0.28000000000000025
2011-09-01,7.24931562404949,6.43,-0.3765105071147108,0.47999999999999954,0.5861516652435608,0.07000000000000028
2011-10-01,6.65,6.51,-0.5993156240494892,0.08000000000000007,-0.3765105071147108,0.47999999999999954
2011-11-01,6.05484387510006,6.06,-0.5951561248999404,-0.4500000000000002,-0.5993156240494892,0.08000000000000007
2011-12-01,6.2,5.62,0.14515612489994023,-0.4399999999999995,-0.5951561248999404,-0.4500000000000002
2012-01-01,5.44,5.95,-0.7599999999999998,0.33000000000000007,0.14515612489994023,-0.4399999999999995
2012-02-01,5.17,6.11,-0.27000000000000046,0.16000000000000014,-0.7599999999999998,0.33000000000000007
2012-03-01,4.55,5.47,-0.6200000000000001,-0.6400000000000006,-0.27000000000000046,0.16000000000000014
2012-04-01,4.27,5.54,-0.28000000000000025,0.07000000000000028,-0.6200000000000001,-0.6400000000000006
2012-05-01,3.9,5.28,-0.36999999999999966,-0.2599999999999998,-0.28000000000000025,0.07000000000000028
2012-06-01,3.47,5.11,-0.4299999999999997,-0.16999999999999993,-0.36999999999999966,-0.2599999999999998
2012-07-01,2.86,4.9,-0.6100000000000003,-0.20999999999999996,-0.4299999999999997,-0.16999999999999993
2012-08-01,2.71,4.55,-0.1499999999999999,-0.35000000000000053,-0.6100000000000003,-0.20999999999999996
2012-09-01,3.28,5.17,0.5699999999999998,0.6200000000000001,-0.1499999999999999,-0.35000000000000053
2012-10-01,3.35,4.76,0.07000000000000028,-0.41000000000000014,0.5699999999999998,0.6200000000000001
2012-11-01,3.11,4.82,-0.2400000000000002,0.0600000000000005,0.07000000000000028,-0.41000000000000014
2012-12-01,3.45,4.93,0.3400000000000003,0.10999999999999943,-0.2400000000000002,0.0600000000000005
2013-01-01,3.86,4.83,0.4099999999999997,-0.09999999999999964,0.3400000000000003,0.10999999999999943
2013-02-01,4.18,4.61,0.31999999999999984,-0.21999999999999975,0.4099999999999997,-0.09999999999999964
2013-03-01,4.34,4.66,0.16000000000000014,0.04999999999999982,0.31999999999999984,-0.21999999999999975
2013-04-01,4.13,4.93,-0.20999999999999996,0.2699999999999996,0.16000000000000014,0.04999999999999982
2013-05-01,4.27,4.83,0.13999999999999968,-0.09999999999999964,-0.20999999999999996,0.2699999999999996
2013-06-01,4.79,5.21,0.5200000000000005,0.3799999999999999,0.13999999999999968,-0.09999999999999964
2013-07-01,4.74,4.81,-0.04999999999999982,-0.40000000000000036,0.5200000000000005,0.3799999999999999
2013-08-01,4.42,4.89,-0.3200000000000003,0.08000000000000007,-0.04999999999999982,-0.40000000000000036
2013-09-01,4.21,4.91,-0.20999999999999996,0.020000000000000462,-0.3200000000000003,0.08000000000000007
2013-10-01,4.15,4.71,-0.05999999999999961,-0.20000000000000018,-0.20999999999999996,0.020000000000000462
2013-11-01,4.63,4.7,0.47999999999999954,-0.009999999999999787,-0.05999999999999961,-0.20000000000000018
2013-12-01,4.39,5.19,-0.2400000000000002,0.4900000000000002,0.47999999999999954,-0.009999999999999787
2014-01-01,4.14,4.94,-0.25,-0.25,-0.2400000000000002,0.4900000000000002
2014-02-01,3.5,4.68,-0.6399999999999997,-0.2600000000000007,-0.25,-0.25
2014-03-01,3.25,4.54,-0.25,-0.13999999999999968,-0.6399999999999997,-0.2600000000000007
2014-04-01,3.27,4.66,0.020000000000000018,0.1200000000000001,-0.25,-0.13999999999999968
2014-05-01,3.22,4.28,-0.04999999999999982,-0.3799999999999999,0.020000000000000018,0.1200000000000001
2014-06-01,3.13,4.36,-0.0900000000000003,0.08000000000000007,-0.04999999999999982,-0.3799999999999999
2014-07-01,3.41,4.41,0.28000000000000025,0.04999999999999982,-0.0900000000000003,0.08000000000000007
2014-08-01,3.7,4.06,0.29000000000000004,-0.35000000000000053,0.28000000000000025,0.04999999999999982
2014-09-01,3.45,4.13,-0.25,0.07000000000000028,0.29000000000000004,-0.35000000000000053
2014-10-01,3.64,4.17,0.18999999999999995,0.040000000000000036,-0.25,0.07000000000000028
