fecha,d_inflacion,d_expectativa,d_inflacion_lag1,d_expectativa_lag1,a0_t,a_t,b_t,c0_t,c_t,d_t,c0_se,c_se,c0_li_95,c0_ls_95,c_li_95,c_ls_95,c_significativo_5pct,radio_espectral,estable
2010-03-01,1.4500000000000002,2.01,1.05,0.48,-0.0034061360326833327,0.3180348981952372,-0.09375859955604168,-0.007737512256242602,0.3699064390995097,-0.2607619928012824,0.016167002629645617,0.08306991688519383,-0.039424255148312354,0.023949230635827146,0.20709239380579414,0.5327204843932253,TRUE,0.2501529319035525,TRUE
2010-04-01,-0.18000000000000016,-0.4500000000000002,1.4500000000000002,2.01,-0.0034061360326834104,0.3180348981952372,-0.0937585995560417,-0.007737512291209915,0.3593221090034615,-0.2607619928012823,0.016167002598925354,0.08175528206799465,-0.03942425512306905,0.023949230540649225,0.1990847006042787,0.5195595174026443,TRUE,0.25238167058357563,TRUE
2010-05-01,-0.2400000000000002,-0.10999999999999943,-0.18000000000000016,-0.4500000000000002,-0.003406136032683394,0.31803489819523695,-0.09375859955604111,-0.007737512317424752,0.3523962462557433,-0.2607619928012816,0.016167002568428582,0.08091796020940777,-0.03942425508951132,0.023949230454661814,0.19379995854285892,0.5109925339686276,TRUE,0.2538281082241412,TRUE
2010-06-01,0.5600000000000005,-0.25,-0.2400000000000002,-0.10999999999999943,-0.003406136032683144,0.31803489819523645,-0.09375859955604082,-0.007737512340527695,0.345308872645262,-0.26076199280128165,0.01616700253825584,0.08004238494321264,-0.03942425505347677,0.023949230372421377,0.18842868091987416,0.5021890643706498,TRUE,0.25529872115671426,TRUE
2010-07-01,0.04999999999999982,-0.33999999999999986,0.5600000000000005,-0.25,-0.0034061360326831207,0.3180348981952363,-0.09375859955604071,-0.007737512359881554,0.33796216702521337,-0.26076199280128076,0.016167002508430783,0.07914778250394397,-0.03942425501437459,0.023949230294611486,0.1828353638612738,0.49308897018915293,TRUE,0.256813140317777,TRUE
2010-08-01,-0.020000000000000462,0.45999999999999996,0.04999999999999982,-0.33999999999999986,-0.0034061360326831432,0.3180348981952361,-0.0937585995560406,-0.007737512367542593,0.3325031622944592,-0.26076199280128065,0.016167002478849918,0.07836783403802074,-0.03942425496405821,0.02394923022897302,0.17890503003352642,0.48610129455539197,TRUE,0.2579319594390965,TRUE
2010-09-01,-0.33999999999999986,0.10999999999999943,-0.020000000000000462,0.45999999999999996,-0.003406136032683066,0.31803489819523617,-0.09375859955604063,-0.00773751238242733,0.32694003559629603,-0.26076199280128054,0.01616700244957073,0.07754449761434395,-0.03942425492155679,0.023949230156702132,0.17495561307292978,0.4789244581196623,TRUE,0.25906652968454813,TRUE
2010-10-01,0.75,0.20999999999999996,-0.33999999999999986,0.10999999999999943,-0.0034061360326831133,0.31803489819523617,-0.09375859955604054,-0.007737512402179585,0.3214049725186282,-0.26076199280128054,0.01616700242063598,0.07667457941629865,-0.03942425488459797,0.023949230080238804,0.17112555833292672,0.47168438670432966,TRUE,0.2601898593726606,TRUE
2010-11-01,0.7400000000000002,0.33000000000000007,0.75,0.20999999999999996,-0.003406136032683096,0.31803489819523606,-0.09375859955604056,-0.007737512429020966,0.31656474481372787,-0.2607619928012807,0.016167002392065893,0.07581319180341557,-0.039424254855443014,0.02394922999740108,0.16797361932600616,0.46515587030144956,TRUE,0.26116772610822864,TRUE
2010-12-01,0.13999999999999968,-0.019999999999999574,0.7400000000000002,0.33000000000000007,-0.0034061360326830764,0.3180348981952361,-0.09375859955604057,-0.007737512458952984,0.31105629551468567,-0.26076199280128065,0.016167002363745776,0.07511838280271962,-0.03942425482986862,0.02394922991196265,0.16382697064446228,0.45828562038490905,TRUE,0.2622756138114227,TRUE
2011-01-01,-0.4899999999999993,-0.35000000000000053,0.13999999999999968,-0.019999999999999574,-0.003406136032683069,0.318034898195236,-0.09375859955604054,-0.007737512485768025,0.30621276483822263,-0.26076199280128065,0.016167002335684542,0.0745698997456224,-0.039424254801684655,0.023949229830148605,0.16005844700604022,0.45236708267040504,TRUE,0.26324544710979525,TRUE
2011-02-01,0.33999999999999986,-0.040000000000000036,-0.4899999999999993,-0.35000000000000053,-0.0034061360326830587,0.3180348981952361,-0.09375859955604054,-0.0077375125048034276,0.30168321257115144,-0.2607619928012806,0.01616700230793061,0.07397739600618318,-0.03942425476632335,0.023949229756716494,0.1566901807289752,0.44667624441332765,TRUE,0.26414879788629037,TRUE
2011-03-01,-0.25,0.3200000000000003,0.33999999999999986,-0.040000000000000036,-0.003406136032683056,0.31803489819523606,-0.0937585995560406,-0.007737512524323054,0.2972220583739473,-0.2607619928012806,0.01616700228053052,0.07341449996489798,-0.03942425473213978,0.023949229683493674,0.15333228249973022,0.44111183424816436,TRUE,0.26503513354461555,TRUE
2011-04-01,0.7711481291645299,0.0600000000000005,-0.25,0.3200000000000003,-0.0034061360326830595,0.3180348981952361,-0.0937585995560406,-0.007737512548152598,0.2923384705879131,-0.2607619928012807,0.01616700225341975,0.07284661735547378,-0.0394242547028332,0.023949229606528,0.1495617241756141,0.43511521700021216,TRUE,0.26600160316799987,TRUE
2011-05-01,0.6318739334316703,-0.4500000000000002,0.7711481291645299,0.0600000000000005,-0.0034061360326830517,0.31803489819523606,-0.09375859955604061,-0.007737512576451764,0.28777700727006417,-0.26076199280128065,0.01616700222666689,0.07226132106325028,-0.03942425467869772,0.023949229525794195,0.14614742051080803,0.4294065940293203,TRUE,0.2669007829496167,TRUE
2011-06-01,0.029277304363179546,0.41999999999999993,0.6318739334316703,-0.4500000000000002,-0.0034061360326830357,0.31803489819523606,-0.09375859955604061,-0.007737512591825554,0.28608891606928283,-0.26076199280128065,0.016167002200174564,0.0718567839250502,-0.03942425464214751,0.023949229458496396,0.14525220753130777,0.4269256246072579,TRUE,0.2672326893346221,TRUE
