subperiodo,fecha_inicial,fecha_final,observaciones,c_promedio,c_mediana,c_minimo,c_maximo,c0_promedio,d_promedio
2010-2014,2010-03-01,2014-12-01,58,0.2558613430731622,0.24713526359253346,0.1900102397913607,0.3699064390995097,-0.0077375127016422055,-0.2607619928012808
2015-2019,2015-01-01,2019-12-01,60,0.1407394660208994,0.13550292082734128,0.1051344905446083,0.18886525009065824,-0.007737512613591634,-0.2607619928012807
2020-2022,2020-01-01,2022-12-01,36,0.11081778719521578,0.11016307722967243,0.10696149998965368,0.1165677710287419,-0.00773751260885596,-0.26076199280128065
2023-2026,2023-01-01,2026-06-01,42,0.11118703165091874,0.11367197190979918,0.10006187503723951,0.1176844765711301,-0.007737512666377902,-0.26076199280128065
