"anio","inflacion_promedio","exp12_promedio","exp24_promedio","gap_inf_abs_prom","gap_exp12_abs_prom","gap_exp24_abs_prom","pct_inf_dentro_banda","pct_exp12_dentro_banda","pct_exp24_dentro_banda"
2010,3.85833333333333,5.13833333333333,5.4925,0.715,1.25333333333333,1.53083333333333,66.6666666666667,33.3333333333333,16.6666666666667
2011,6.21051080457954,6.21666666666667,6.0275,2.21051080457954,2.21666666666667,2.0275,16.6666666666667,0,0
2012,3.79666666666667,5.12,5.21583333333333,0.775,1.12,1.21583333333333,66.6666666666667,58.3333333333333,41.6666666666667
2013,4.3425,4.7525,4.85666666666667,0.365833333333333,0.7525,0.856666666666667,100,91.6666666666667,83.3333333333333
2014,3.42,4.30833333333333,4.38333333333333,0.603333333333333,0.308333333333333,0.383333333333333,91.6666666666667,100,100
2015,2.39,3.34,3.64166666666667,1.61,0.66,0.388333333333333,8.33333333333333,91.6666666666667,100
2016,4.4475,4.2575,4.29916666666667,0.4475,0.3325,0.334166666666667,100,100,100
2017,4.42,4.39333333333333,4.46166666666667,0.466666666666667,0.393333333333333,0.461666666666667,83.3333333333333,100,100
2018,3.76,4.38416666666667,4.45333333333333,0.57,0.384166666666667,0.453333333333333,83.3333333333333,100,100
2019,3.70833333333333,4.28,4.31333333333333,0.823333333333333,0.298333333333333,0.313333333333333,75,100,100
2020,3.21,3.89666666666667,4.01166666666667,1.58666666666667,0.31,0.12,25,100,100
2021,4.2825,4.34916666666667,4.19416666666667,0.959166666666667,0.349166666666667,0.2125,41.6666666666667,100,100
2022,6.865,4.90416666666667,4.31416666666667,3.22333333333333,0.965833333333333,0.370833333333333,16.6666666666667,58.3333333333333,100
2023,6.27166666666667,4.85,4.33916666666667,2.27166666666667,0.85,0.339166666666667,58.3333333333333,58.3333333333333,100
2024,2.88166666666667,4.01583333333333,4.03083333333333,1.11833333333333,0.150833333333333,0.109166666666667,66.6666666666667,100,100
2025,1.57916666666667,3.32583333333333,3.56666666666667,2.42083333333333,0.674166666666667,0.433333333333333,0,100,100
2026,2.23166666666667,3.515,3.67166666666667,1.76833333333333,0.485,0.328333333333333,16.6666666666667,100,100
