codigo_modelo,descripcion,p_inflacion,numero_pulsos,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,comparable_misma_muestra,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
M3AD,M3 aumentado permitiendo además d_t variante,4,0,194,17,-99.00801283956339,232.01602567912678,235.4932984063995,287.5696143832034,TRUE,0,0.7377113462671766,16.390154490387488,2.758093834863195e-4
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,4,0,194,16,-101.15852463711784,234.31704927423567,237.3904956019193,286.6027798192489,TRUE,2.3010235951088873,0.23346701898493952,15.42331992643301,4.4725426998853686e-4
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,1,0,194,10,-109.25043915109131,238.50087830218263,239.70306409453235,271.1794598928159,TRUE,6.484852623055843,0.028821634609276243,0,0.9992769363395536
M0A,Sistema aumentado con 4 rezagos en inflación; todos los coeficientes constantes,4,0,194,14,-124.40318372451117,276.80636744902233,279.15273616410616,322.55638167590894,TRUE,44.79034176989555,1.386076902420808e-10,51.37692178309305,6.971545241919339e-12
