fecha,radio_espectral,sistema_estable
2010-05-01,0.8092044442285428,TRUE
2010-06-01,0.8089643903542924,TRUE
2010-07-01,0.8088447699893205,TRUE
2010-08-01,0.8097706064416951,TRUE
2010-09-01,0.8105186721394366,TRUE
2010-10-01,0.8112627583514325,TRUE
2010-11-01,0.8115739309509568,TRUE
2010-12-01,0.8110586266955027,TRUE
2011-01-01,0.8102566151578757,TRUE
2011-02-01,0.8102088024742846,TRUE
2011-03-01,0.8103850166598527,TRUE
2011-04-01,0.8099534871346419,TRUE
2011-05-01,0.8087992824099772,TRUE
2011-06-01,0.8086995078166695,TRUE
2011-07-01,0.8079818414557888,TRUE
2011-08-01,0.808063977994252,TRUE
2011-09-01,0.8088105320150624,TRUE
2011-10-01,0.8087098960929497,TRUE
2011-11-01,0.8076877699098094,TRUE
2011-12-01,0.8070960287021908,TRUE
2012-01-01,0.8075664705111358,TRUE
2012-02-01,0.807534669314597,TRUE
2012-03-01,0.8063599643239778,TRUE
2012-04-01,0.80595664903023,TRUE
2012-05-01,0.8051371269402984,TRUE
2012-06-01,0.8044270512070507,TRUE
2012-07-01,0.8038044496188262,TRUE
2012-08-01,0.8033903242639402,TRUE
2012-09-01,0.8034727436379339,TRUE
2012-10-01,0.8053817796734712,TRUE
2012-11-01,0.8108959136445054,TRUE
2012-12-01,0.8138424250122962,TRUE
2013-01-01,0.8177976696433761,TRUE
2013-02-01,0.8208438980070891,TRUE
2013-03-01,0.8214253407386689,TRUE
2013-04-01,0.8205219866647326,TRUE
2013-05-01,0.8205991565425699,TRUE
2013-06-01,0.8200145769543341,TRUE
2013-07-01,0.8230065607864807,TRUE
2013-08-01,0.8232439483434228,TRUE
2013-09-01,0.8233511576041448,TRUE
2013-10-01,0.8238750186607067,TRUE
2013-11-01,0.8232925306252472,TRUE
2013-12-01,0.8220013541182872,TRUE
2014-01-01,0.8242954224344903,TRUE
2014-02-01,0.8264748505373563,TRUE
2014-03-01,0.8277943858501886,TRUE
2014-04-01,0.8288740871699916,TRUE
2014-05-01,0.8308608624147537,TRUE
2014-06-01,0.8319112235482491,TRUE
2014-07-01,0.8331510878696959,TRUE
2014-08-01,0.8348395251045608,TRUE
2014-09-01,0.8355705886061608,TRUE
2014-10-01,0.8360231965047495,TRUE
2014-11-01,0.8365110723222995,TRUE
2014-12-01,0.8369055709536168,TRUE
2015-01-01,0.8375956102591579,TRUE
2015-02-01,0.8377610197711002,TRUE
2015-03-01,0.8384044862469195,TRUE
2015-04-01,0.8395173224417036,TRUE
2015-05-01,0.8404967052485278,TRUE
2015-06-01,0.8410435753639363,TRUE
2015-07-01,0.8416659976569019,TRUE
2015-08-01,0.8421881901727257,TRUE
2015-09-01,0.8422612683825689,TRUE
2015-10-01,0.8423121897408504,TRUE
2015-11-01,0.8421126883512231,TRUE
2015-12-01,0.8417021425894112,TRUE
2016-01-01,0.841431305853422,TRUE
2016-02-01,0.8412223460989837,TRUE
2016-03-01,0.8412452138610456,TRUE
2016-04-01,0.8407565949719973,TRUE
2016-05-01,0.8404751230659847,TRUE
2016-06-01,0.8400172667001784,TRUE
2016-07-01,0.8400292386157552,TRUE
2016-08-01,0.8401911845378145,TRUE
2016-09-01,0.8404663828600778,TRUE
2016-10-01,0.8405436409472924,TRUE
2016-11-01,0.8405320718215596,TRUE
2016-12-01,0.8409396670872753,TRUE
2017-01-01,0.841810571299761,TRUE
2017-02-01,0.8423187273694098,TRUE
2017-03-01,0.8431193131801636,TRUE
2017-04-01,0.8435439794387044,TRUE
2017-05-01,0.8444784903914871,TRUE
2017-06-01,0.8446400849301445,TRUE
2017-07-01,0.8446650124740137,TRUE
2017-08-01,0.8449219991427838,TRUE
2017-09-01,0.8448106906663795,TRUE
2017-10-01,0.8453437940255815,TRUE
2017-11-01,0.8456620513279447,TRUE
2017-12-01,0.8463208493061001,TRUE
2018-01-01,0.8468271935979887,TRUE
2018-02-01,0.8473484411192196,TRUE
2018-03-01,0.8476709804303546,TRUE
2018-04-01,0.8482968559634182,TRUE
2018-05-01,0.8487590053658817,TRUE
2018-06-01,0.8493176958212375,TRUE
2018-07-01,0.8497985081573909,TRUE
2018-08-01,0.8501778769839765,TRUE
2018-09-01,0.8506986141597723,TRUE
2018-10-01,0.8512351006694923,TRUE
2018-11-01,0.8514674205012587,TRUE
2018-12-01,0.8518585397988645,TRUE
2019-01-01,0.8523844565502585,TRUE
2019-02-01,0.8527823679600487,TRUE
2019-03-01,0.8531239030755521,TRUE
2019-04-01,0.8534346306247829,TRUE
2019-05-01,0.8536164594487965,TRUE
2019-06-01,0.8537339588500198,TRUE
2019-07-01,0.8536805546562178,TRUE
2019-08-01,0.8539525381252754,TRUE
2019-09-01,0.8542976585159179,TRUE
2019-10-01,0.8546619085808971,TRUE
2019-11-01,0.8550996476452064,TRUE
2019-12-01,0.855666563539316,TRUE
2020-01-01,0.8561092571630233,TRUE
2020-02-01,0.8564577023166369,TRUE
2020-03-01,0.8566904024777044,TRUE
2020-04-01,0.8570010131007851,TRUE
2020-05-01,0.8573380750307815,TRUE
2020-06-01,0.8577071799264924,TRUE
2020-07-01,0.8579800883418904,TRUE
2020-08-01,0.8582779682763391,TRUE
2020-09-01,0.8585411812924624,TRUE
2020-10-01,0.8586600897531295,TRUE
2020-11-01,0.8587530855974981,TRUE
2020-12-01,0.8589061392578701,TRUE
2021-01-01,0.8589926809706433,TRUE
2021-02-01,0.8588539302699556,TRUE
2021-03-01,0.859044524397928,TRUE
2021-04-01,0.8590955401092844,TRUE
2021-05-01,0.8592019658036932,TRUE
2021-06-01,0.8595057481313403,TRUE
2021-07-01,0.8596273666160241,TRUE
2021-08-01,0.8597124962927297,TRUE
2021-09-01,0.8598528723239803,TRUE
2021-10-01,0.8601590839676085,TRUE
2021-11-01,0.860147923290055,TRUE
2021-12-01,0.8602928249388816,TRUE
2022-01-01,0.8604653107747442,TRUE
2022-02-01,0.8607682438529902,TRUE
2022-03-01,0.8610185430405347,TRUE
2022-04-01,0.8611402252266531,TRUE
2022-05-01,0.8612053362972515,TRUE
2022-06-01,0.8611861537848875,TRUE
2022-07-01,0.8610930760464524,TRUE
2022-08-01,0.8613261661501073,TRUE
2022-09-01,0.8615024960880183,TRUE
2022-10-01,0.8616485892993221,TRUE
2022-11-01,0.8618763103823672,TRUE
2022-12-01,0.862430468100716,TRUE
2023-01-01,0.8631056257896565,TRUE
2023-02-01,0.8638002884418494,TRUE
2023-03-01,0.8641866221579263,TRUE
2023-04-01,0.8642082874012731,TRUE
2023-05-01,0.8641154730715416,TRUE
2023-06-01,0.8637178207807872,TRUE
2023-07-01,0.8632309571795883,TRUE
2023-08-01,0.8628083576491878,TRUE
2023-09-01,0.8623904030375356,TRUE
2023-10-01,0.8619143373949733,TRUE
2023-11-01,0.861599996989082,TRUE
2023-12-01,0.861495497919596,TRUE
2024-01-01,0.8614303105391652,TRUE
2024-02-01,0.8614272350092882,TRUE
2024-03-01,0.8615406024894453,TRUE
2024-04-01,0.8616611225126843,TRUE
2024-05-01,0.8617206191849511,TRUE
2024-06-01,0.8617284176422969,TRUE
2024-07-01,0.8616970187160581,TRUE
2024-08-01,0.8617111376542501,TRUE
2024-09-01,0.8616695820673934,TRUE
2024-10-01,0.861617912055364,TRUE
2024-11-01,0.8616346577423704,TRUE
2024-12-01,0.8615962947270996,TRUE
2025-01-01,0.8616965412889551,TRUE
2025-02-01,0.861771005948147,TRUE
2025-03-01,0.8618682958842122,TRUE
2025-04-01,0.8619649176431705,TRUE
2025-05-01,0.8620475171610917,TRUE
2025-06-01,0.8621098133623161,TRUE
2025-07-01,0.862148424058781,TRUE
2025-08-01,0.8621760181537781,TRUE
2025-09-01,0.862201051155717,TRUE
2025-10-01,0.8622023227212766,TRUE
2025-11-01,0.862142681974539,TRUE
2025-12-01,0.8620044474305967,TRUE
2026-01-01,0.8620041460049569,TRUE
2026-02-01,0.862006404919192,TRUE
2026-03-01,0.8620308014784388,TRUE
2026-04-01,0.8620582437265252,TRUE
2026-05-01,0.8621155718413376,TRUE
2026-06-01,0.8621436838309188,TRUE
