fecha,inflacion,expectativa,meta_inflacion,a0,a_pi1,a_pi2,a_pi3,a_pi4,b_e1,b_e2,b_e3,b_e4,c0,c,d,lambda_t,lambda_se,pi_estrella_t,pi_estrella_se,denominador_1_menos_d,denominador_ancla,codigo_modelo,lambda_li_95,lambda_ls_95,pi_estrella_li_95,pi_estrella_ls_95,lambda_fuera_0_1,lambda_significativamente_menor_1,lambda_no_distinta_de_1,brecha_ancla_meta,ancla_dentro_banda_meta
2010-05-01,3.51,5.7,5,0.18306591092528215,1.3143607926097736,-0.5345842542725016,0.2161224094406541,-0.07279013170335713,0.1645128990980332,-0.09845112933290001,0.2569322504121839,-0.29461057930139156,3.2917763148152663,0.17752943910762642,0.2821032566228414,0.7527089504926776,0.0496219439775745,6.091738506024315,0.21467569421194813,0.7178967433771586,0.5403673042695322,M3A,0.6554517274537673,0.8499661735315879,5.670981877012763,6.512495135035867,FALSE,TRUE,FALSE,1.0917385060243152,FALSE
2010-06-01,4.07,5.45,5,0.18306591092528218,1.314360792609774,-0.5345842542725014,0.21612240944065408,-0.07279013170335713,0.16451289909803324,-0.0984511293329,0.2569322504121839,-0.2946105793013916,3.2764130651165093,0.1769655325270834,0.28210325662283253,0.7534944486659838,0.04907831813486444,6.056986543570968,0.19688241060686051,0.7178967433771675,0.5409312108500841,M3A,0.6573027126998505,0.8496861846321171,5.671104109592095,6.442868977549841,FALSE,TRUE,FALSE,1.056986543570968,FALSE
2010-07-01,4.12,5.11,5,0.18306591092528215,1.3143607926097736,-0.5345842542725016,0.21612240944065417,-0.07279013170335714,0.1645128990980333,-0.0984511293329,0.25693225041218387,-0.29461057930139156,3.2692981185614256,0.176685002905632,0.28210325662303326,0.7538852146417178,0.04844933237962732,6.040700661286899,0.18352882947697033,0.7178967433769667,0.5412117404713348,M3A,0.658926268102638,0.8488441611807975,5.680990765387245,6.400410557186554,FALSE,TRUE,FALSE,1.0407006612868992,FALSE
2010-08-01,4.1,5.57,5,0.1830659109252822,1.3143607926097736,-0.5345842542725016,0.21612240944065425,-0.07279013170335716,0.16451289909803332,-0.0984511293329,0.2569322504121839,-0.29461057930139145,3.3239324468114617,0.17886438248324038,0.2821032566227899,0.7508494304601431,0.04785726987745231,6.1664803228118155,0.18283264103526245,0.7178967433772101,0.5390323608939698,M3A,0.657050905101923,0.8446479558183632,5.8081349311843615,6.524825714439269,FALSE,TRUE,FALSE,1.1664803228118155,FALSE
2010-09-01,3.76,5.68,5,0.18306591092528182,1.3143607926097707,-0.5345842542725018,0.21612240944065364,-0.07279013170335857,0.16451289909803146,-0.0984511293328977,0.2569322504121847,-0.2946105793013896,3.3685295525138685,0.18063899647978382,0.2821032566228645,0.7483774677260403,0.047239240415655664,6.269857572025777,0.18184587033292696,0.7178967433771355,0.5372577468973516,M3A,0.6557902578543263,0.8409646775977543,5.9134462154359,6.626268928615654,FALSE,TRUE,FALSE,1.269857572025777,FALSE
2010-10-01,4.51,5.89,5,0.1830659109252807,1.3143607926097685,-0.5345842542724919,0.2161224094406539,-0.07279013170335753,0.1645128990980278,-0.09845112933289683,0.2569322504121856,-0.2946105793013911,3.4131956398766223,0.1824163787580631,0.28210325662281477,0.7459016488918366,0.04658137750093522,6.3740817878623215,0.18039554288829862,0.7178967433771852,0.5354803646191222,M3A,0.6546038266397393,0.837199471143934,6.020513020829705,6.727650554894938,FALSE,TRUE,FALSE,1.3740817878623215,FALSE
2010-11-01,5.25,6.22,5,0.18306591092528068,1.3143607926097653,-0.5345842542724926,0.21612240944065597,-0.07279013170335694,0.16451289909803152,-0.09845112933289672,0.25693225041218326,-0.29461057930139034,3.4298620296745774,0.18316329426726366,0.28210325662281655,0.7448612269703117,0.045758449354264354,6.414152762247598,0.1701731332841049,0.7178967433771835,0.5347334491099198,M3A,0.6551763142475534,0.8345461396930699,6.080619549874418,6.747685974620778,FALSE,TRUE,FALSE,1.414152762247598,FALSE
2010-12-01,5.39,6.2,5,0.18306591092528088,1.3143607926097676,-0.5345842542724908,0.2161224094406581,-0.07279013170335746,0.1645128990980304,-0.09845112933289805,0.2569322504121827,-0.2946105793013914,3.4016149153348407,0.18192755871201235,0.2821032566228321,0.7465825546774609,0.04489183688257999,6.346661361622843,0.15427124574711235,0.7178967433771679,0.5359691846651555,M3A,0.6585961711877573,0.8345689381671646,6.044295276108375,6.6490274471373105,FALSE,TRUE,FALSE,1.346661361622843,FALSE
2011-01-01,4.9,5.85,5,0.18306591092535648,1.3143607926096792,-0.5345842542724822,0.21612240944048475,-0.07279013170328502,0.16451289909824443,-0.09845112933302597,0.2569322504122495,-0.2946105793014009,3.3602147474436506,0.1800159289913267,0.28210325662283253,0.7492453745583434,0.04417128226842242,6.247136275496993,0.1426890538685514,0.7178967433771675,0.5378808143858408,M3A,0.6626712521612828,0.835819496955404,5.9674708689265366,6.526801682067449,FALSE,TRUE,FALSE,1.2471362754969926,FALSE
2011-02-01,5.24,5.81,5,0.18306591092540622,1.3143607926096854,-0.5345842542724852,0.2161224094404858,-0.07279013170328653,0.16451289909824277,-0.0984511293330297,0.25693225041225126,-0.2946105793014034,3.3528973880943718,0.17990241212557828,0.28210325662283264,0.7494034987827469,0.043605765125742775,6.232216946030261,0.1387446595202333,0.7178967433771674,0.5379943312515891,M3A,0.6639377696179785,0.8348692279475154,5.960282410323332,6.504151481737191,FALSE,TRUE,FALSE,1.2322169460302614,FALSE
