codigo_modelo,fecha,lambda_t,lambda_li_95,lambda_ls_95,pi_estrella_t,c0,c,d
M3B,2010-05-01,0.7527089375165723,0.6554517220781941,0.8499661529549505,6.091738546558888,3.2917758275057496,0.17752942402112443,0.2821033553001068
M3B,2010-06-01,0.7534944348499055,0.6573027061680096,0.8496861635318015,6.056986613388731,3.2764125924530045,0.1769655181211033,0.28210335530010866
M3B,2010-07-01,0.7538852000166432,0.6589262602796824,0.848844139753604,6.040700763076244,3.2692976608521196,0.17668498911898775,0.2821033553003076
M3B,2010-08-01,0.7508494175186571,0.6570508994956972,0.844647935541617,6.1664803852907335,3.323931966313197,0.1788643671883725,0.2821033553001371
M3B,2010-09-01,0.7483774563530345,0.6557902532641094,0.8409646594419596,6.269857593993303,3.3685290501092746,0.18063897981499152,0.28210335530017616
M3B,2010-10-01,0.7459016392652877,0.6546038234606303,0.8371994550699452,6.374081761185793,3.4131951123858912,0.18241636059516816,0.2821033553002046
M3B,2010-11-01,0.7448612182321765,0.6551763113316118,0.8345461251327413,6.414152710996375,3.429861490585975,0.18316327536391405,0.2821033553002037
M3B,2010-12-01,0.7465825450534709,0.6585961667313809,0.8345689233755609,6.346661332448476,3.4016143882853336,0.18192754061447355,0.28210335530020947
M3B,2011-01-01,0.7492453633974527,0.6626712457836249,0.8358194810112806,6.247136283833346,3.360214240000197,0.18001591225988395,0.28210335530020947
M3B,2011-02-01,0.7494034878965974,0.6639377633736807,0.8348692124195141,6.232216947968898,3.3528968795644802,0.17990239521250323,0.28210335530020936
M3B,2011-03-01,0.7488203742259252,0.6646124742006181,0.8330282742512323,6.244097385274427,3.356674611518525,0.18032101056015737,0.28210335530020947
M3B,2011-04-01,0.750246674953875,0.6673941282964648,0.8330992216112851,6.187020114497683,3.332326377250093,0.1792970740532295,0.2821033553002088
M3B,2011-05-01,0.75403368378206,0.6728615340994939,0.8352058334646262,6.046867275829622,3.2732796212748925,0.17657839312202706,0.28210335530020814
M3B,2011-06-01,0.7543591502612734,0.6748047853029439,0.833913515219603,6.016600637968796,3.258301524307797,0.17634474182863732,0.28210335530020925
M3B,2011-07-01,0.7566913157760625,0.6786086686036188,0.8347739629485063,5.9281042900388,3.2203013098114157,0.17467048803068586,0.28210335530020836
M3B,2011-08-01,0.7564251893619112,0.6796918009758423,0.8331585777479801,5.91485599467021,3.2119744485466897,0.17486153929047107,0.28210335530020825
M3B,2011-09-01,0.753996970977173,0.6782463038031441,0.8297476381512019,5.960137151496722,3.2261739366404223,0.17660474912147295,0.28210335530020825
M3B,2011-10-01,0.7543252807224445,0.6788819309601783,0.8297686304847107,5.9348061988654015,3.2138612863734646,0.17636905665692035,0.28210335530020797
M3B,2011-11-01,0.7576424601190677,0.6820079893471086,0.8332769308910267,5.830587346797917,3.1713088166069396,0.17398766469821722,0.2821033553002086
M3B,2011-12-01,0.759548499066734,0.6834524450804726,0.8356445530529955,5.766460690119582,3.144320225035683,0.1726193257330204,0.28210335530020836
M3B,2012-01-01,0.7580340319356191,0.6814485295170905,0.8346195343541478,5.804526179206136,3.1587656128109667,0.173706556604956,0.28210335530020836
M3B,2012-02-01,0.7581366182593918,0.6808607032068374,0.8354125333119462,5.795134556753766,3.154081575629233,0.1736329102273275,0.28210335530020836
M3B,2012-03-01,0.761904769759791,0.683982745916133,0.8398267936034491,5.667555675073205,3.099976567414626,0.17092776690847045,0.28210335530020814
M3B,2012-04-01,0.7631889914662012,0.6845016105320314,0.841876372400371,5.623584144068795,3.0811101069185645,0.170005828454388,0.28210335530020797
M3B,2012-05-01,0.7657835837419589,0.6864492374254451,0.8451179300584727,5.5317901843234045,3.041120823335357,0.1681431793652577,0.28210335530020747
M3B,2012-06-01,0.7680155893358218,0.6880799715624117,0.8479512071092319,5.454480619786855,3.0073596056769643,0.1665408300384723,0.28210335530020747
M3B,2012-07-01,0.7699604055900033,0.6895012964554678,0.8504195147245389,5.389395998893329,2.978999372581711,0.16514465297503775,0.2821033553002076
M3B,2012-08-01,0.7712477020824163,0.6903925727576375,0.8521028314071951,5.354279909459464,2.9645370196706575,0.16422050714240058,0.2821033553002077
M3B,2012-09-01,0.7709919051696105,0.6899690036474653,0.8520148066917557,5.401423383562478,2.989647341913639,0.1644041428878285,0.2821033553002077
M3B,2012-10-01,0.7732117611340524,0.6923238858752488,0.854099636392856,5.31044681903841,2.947755367830915,0.1628105157392387,0.282103355300208
M3B,2012-11-01,0.7742347366598925,0.6935216402984051,0.8549478330213799,5.276212356396229,2.9326270937589776,0.16207612504162813,0.28210335530020797
M3B,2012-12-01,0.7752686033332093,0.694800765026076,0.8557364416403427,5.24156616476682,2.9172603692845875,0.16133391562578703,0.2821033553002079
M3B,2013-01-01,0.7772547623754704,0.697215872585059,0.8572936521658818,5.160383742675387,2.8794352277220496,0.15990805871350766,0.28210335530020786
M3B,2013-02-01,0.7792975813340327,0.6997791186754222,0.8588160439926432,5.077092758620436,2.840405532749251,0.15844152583742668,0.28210335530020786
M3B,2013-03-01,0.7797419810483764,0.7007157096936222,0.8587682524031307,5.058732659056623,2.831747784044783,0.15812249277359378,0.28210335530020786
M3B,2013-04-01,0.7790592499451151,0.7004451960350949,0.8576733038551353,5.083047678842611,2.8428673475938213,0.15861262314185728,0.28210335530020786
M3B,2013-05-01,0.77911588802274645,0.7008428159597808,0.8573889600857121,5.080218827372828,2.8414917793173355,0.15857196285596345,0.28210335530020786
M3B,2013-06-01,0.7786945842656978,0.7007899130954269,0.8565992554359687,5.095690017149124,2.848603993158745,0.15887441540954814,0.28210335530020786
M3B,2013-07-01,0.7810433119668574,0.7035788523806997,0.858507771553015,5.008193501289868,2.808136029908729,0.15718827167357216,0.282103355300208
M3B,2013-08-01,0.7812506665499535,0.7039535896856975,0.8585477434142094,4.993172498429446,2.800456907294834,0.1570394125141044,0.2821033553002079
M3B,2013-09-01,0.781345357361889,0.7040566614060443,0.8586340533177338,4.981985200634545,2.794521096884886,0.15697143429793195,0.28210335530020797
M3B,2013-10-01,0.7818174746020117,0.7045223774203201,0.8591125717837033,4.957242276332978,2.782322331843618,0.15663250291534295,0.28210335530020797
M3B,2013-11-01,0.7812934964358401,0.7040221832635237,0.8585648096081565,4.969757255688539,2.7874771063303623,0.15700866508273348,0.28210335530020797
M3B,2013-12-01,0.7802001533280605,0.7030121873897459,0.857388119266375,5.003890636697699,2.8026945189098513,0.1577935724313141,0.282103355300208
M3B,2014-01-01,0.7822077906917987,0.7049699158971282,0.8594456654864692,4.930667843914552,2.7687886615665267,0.15635229630411254,0.282103355300208
M3B,2014-02-01,0.7843994695949389,0.7069487625755804,0.8618501766142974,4.851219822230251,2.7318079780799787,0.15477889737328887,0.28210335530020797
M3B,2014-03-01,0.7858688297759358,0.708097922497412,0.8636397370544595,4.799283068110722,2.707623987812243,0.15372404862949568,0.282103355300208
M3B,2014-04-01,0.7871546608364418,0.709169328683366,0.8651399929895176,4.755452958020574,2.6872859699773426,0.15280095482550762,0.282103355300208
M3B,2014-05-01,0.789725863634482,0.7116879957544342,0.8677637315145299,4.652931461154352,2.6379401640956326,0.15095509696395187,0.28210335530020786
M3B,2014-06-01,0.7911970651498954,0.7131708282698892,0.8692233020299016,4.600840565809558,2.613266943952157,0.1498989263323594,0.2821033553002078
M3B,2014-07-01,0.7930375918504844,0.7151270551460278,0.870948128554941,4.532048216805097,2.580181277982655,0.14857761838952613,0.2821033553002079
M3B,2014-08-01,0.7957322813996698,0.718057710021907,0.8734068527774326,4.423745321421867,2.5270801523424753,0.14664310980365838,0.2821033553002078
M3B,2014-09-01,0.7969689200746598,0.7195058849461823,0.8744319552031373,4.378882970617203,2.505339855135613,0.14575533104817703,0.2821033553002079
M3B,2014-10-01,0.7977563252032781,0.7204035036746322,0.875109146731924,4.352149465788268,2.4925046760289895,0.14519005554832254,0.2821033553002079
M3B,2014-11-01,0.798624069566755,0.7213647657113734,0.8758833734221366,4.322054532143185,2.4779615364161764,0.14456710478132534,0.28210335530020797
M3B,2014-12-01,0.7993403313672895,0.7220391579245603,0.8766415048100188,4.298157390019097,2.466470719799494,0.144052902837995,0.28210335530020797
M3B,2015-01-01,0.8006250818601267,0.723213817351851,0.8780363463684024,4.249805396562426,2.4426439032509326,0.14313058476991072,0.28210335530020797
M3B,2015-02-01,0.8009391594811452,0.7234089929077607,0.8784693260545298,4.248672242406935,2.4429505752239797,0.14290510949960628,0.28210335530020797
M3B,2015-03-01,0.8021837850568355,0.7246964003639801,0.879671169749691,4.191528834035747,2.4138387826288925,0.14201159697491067,0.2821033553002079
M3B,2015-04-01,0.8044237110313707,0.7270724050361776,0.8817750170265637,4.077640042258367,2.3548089196386934,0.140403561633416,0.2821033553002078
M3B,2015-05-01,0.8064893211479279,0.729324545572772,0.8836540967230838,3.974327999318148,2.3010404388605354,0.13892066706148154,0.28210335530020786
M3B,2015-06-01,0.8076822058189272,0.7307027256502916,0.8846616859875629,3.918515409145472,2.2720819807238986,0.13806429915865728,0.28210335530020786
M3B,2015-07-01,0.8090751055484338,0.7323078022606389,0.8858424088362287,3.8520077889300532,2.237370557465252,0.13706434111644136,0.28210335530020786
M3B,2015-08-01,0.8102731443213121,0.7337573799036157,0.8867889087390086,3.7969194248194325,2.2086390649920853,0.13620427310117172,0.2821033553002079
M3B,2015-09-01,0.810442974499159,0.7342136441231887,0.8866723048751294,3.802611113744093,2.212413493325816,0.13608235258632662,0.28210335530020786
M3B,2015-10-01,0.810561630472977,0.7347546607376078,0.8863686002083463,3.811831764101519,2.2181029017050755,0.1359971698608491,0.28210335530020786
M3B,2015-11-01,0.810098245363299,0.7348587587646174,0.8853377319619806,3.862840069010259,2.2464995850635066,0.13632983247629085,0.2821033553002078
M3B,2015-12-01,0.8091571611258604,0.734620574629326,0.8836937476223949,3.943264706210215,2.2906078105118675,0.13700543369272783,0.2821033553002079
M3B,2016-01-01,0.8085454516768673,0.7348692655369089,0.8822216378168257,4.0056561058043325,2.325091365688829,0.13744457785369116,0.2821033553002079
M3B,2016-02-01,0.8080784069545826,0.7353498864288579,0.8808069274803072,4.0614559980437415,2.3561187635410783,0.13777986769274417,0.2821033553002079
M3B,2016-03-01,0.808129311366005,0.7360379797368433,0.8802206429951667,4.09973160123678,2.3784729041302897,0.13774332358658356,0.28210335530020786
M3B,2016-04-01,0.8070526461467628,0.7353897119530933,0.8787155803404322,4.177212583706266,2.4201950423467338,0.13851625793494257,0.28210335530020775
M3B,2016-05-01,0.806442833939786,0.7351367918712142,0.8777488760083578,4.238553723385837,2.4538793324708568,0.1389540400722281,0.28210335530020775
M3B,2016-06-01,0.8054669272654723,0.7345360905420975,0.8763977639888472,4.313295590802527,2.494128688428969,0.13965464019925805,0.2821033553002078
M3B,2016-07-01,0.8054921941623482,0.7349356734751576,0.8760487148495387,4.353639331040995,2.517536104406538,0.13963650117876888,0.2821033553002077
M3B,2016-08-01,0.8058353014739128,0.7356289024331488,0.8760417005146768,4.383151116756713,2.535681232293567,0.13939018559102467,0.2821033553002077
M3B,2016-09-01,0.806424019808476,0.7364984188301391,0.8763496207868129,4.4045586454649275,2.549927163820854,0.13896754667396857,0.2821033553002077
M3B,2016-10-01,0.8065905845195985,0.7368281057574304,0.8763530632817667,4.439532354802886,2.570705324440986,0.13884797042672828,0.2821033553002077
M3B,2016-11-01,0.8065656064031814,0.7369516285670027,0.8761795842393602,4.480874921443325,2.594564333113612,0.1388659021326951,0.2821033553002077
M3B,2016-12-01,0.8074533466195885,0.73790032997306,0.8770063632661169,4.492846668202198,2.6043596594221925,0.13822859640997137,0.28210335530020775
M3B,2017-01-01,0.8094040874070167,0.7398196544917842,0.8789885203222493,4.4701444043452305,2.597460007957583,0.13682816614399754,0.2821033553002077
M3B,2017-02-01,0.8105768877524344,0.7409704831573537,0.8801832923475151,4.475000086070065,2.60404921533438,0.13598621671111943,0.28210335530020775
M3B,2017-03-01,0.8124775115844618,0.7430362655228238,0.8819187576460998,4.451932768932068,2.596700549165199,0.13462176523927055,0.2821033553002077
M3B,2017-04-01,0.8135124514369789,0.7443171905202998,0.8827077123536581,4.46114023612982,2.6053855707778135,0.1338787853916824,0.2821033553002077
M3B,2017-05-01,0.8158567774043151,0.747046961813472,0.8846665929951582,4.422157596314593,2.5900614322797395,0.13219580164564923,0.2821033553002077
M3B,2017-06-01,0.816271632962094,0.7478602697234086,0.8846829962007795,4.452805229732456,2.6093379266609826,0.13189797823268457,0.2821033553002077
M3B,2017-07-01,0.8163358807019407,0.7485010097929354,0.884170751610946,4.496512534619646,2.63515774275245,0.13185185499581908,0.2821033553002077
M3B,2017-08-01,0.8170021707164066,0.7498261962600976,0.8841781451727155,4.519600007889465,2.6508498845358193,0.13137352763003715,0.2821033553002076
M3B,2017-09-01,0.8167126978889732,0.7498573151920784,0.8835680805858679,4.570870249792266,2.6799711868996274,0.1315813392015833,0.28210335530020764
M3B,2017-10-01,0.8181114577846169,0.7515699619284982,0.8846529536407356,4.567971817955924,2.6828587895362546,0.13057717416576003,0.28210335530020764
M3B,2017-11-01,0.8189615026832875,0.7527846604054664,0.8851383449611085,4.583842109175364,2.6949769844611566,0.1299669297851603,0.28210335530020764
M3B,2017-12-01,0.8207573309885321,0.7551350375958876,0.8863796243811766,4.5663483760615176,2.690578922549959,0.12867771067036826,0.28210335530020764
