fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,shock_inf,dummy_sep2012,ajustado_tvp,residuo_tvp,residuo_estandarizado
2013-12-01,5.09,5.19,4.39,0.4900000000000002,-0.009999999999999787,-1.2300000000000004,0,-0.03514562110209371,0.525145621102094,3.350570291904521
2025-12-01,3.48,3.72,1.65,0.4200000000000004,-0.07000000000000028,-2.6700000000000004,0,0.039094764393781505,0.38090523560621886,2.8002783456693336
2013-04-01,4.85,4.93,4.13,0.2699999999999996,0.04999999999999982,-2.0600000000000005,0,-0.07985398603403915,0.3498539860340387,2.633913283523262
2013-06-01,4.87,5.21,4.79,0.3799999999999999,-0.09999999999999964,-1.37,0,-0.0035367048037670268,0.3835367048037669,2.492844841190967
2012-12-01,4.65,4.93,3.45,0.10999999999999943,0.0600000000000005,-2.75,0,-0.15585311577168276,0.2658531157716822,2.4706757892935864
2019-01-01,4.03,4.07,4.1,-0.3099999999999996,-0.08999999999999986,-0.3000000000000007,0,0.031392687013533954,-0.34139268701353354,-2.417360264523905
2015-12-01,3.17,3.65,3.07,0.2799999999999998,0.0900000000000003,-2.1200000000000006,0,-0.04505175529028779,0.3250517552902876,2.359833435970934
2017-05-01,4.2,4.17,3.93,-0.33999999999999986,0.22999999999999954,0.3600000000000003,0,-0.05001352125098147,-0.2899864787490184,-2.193131496519391
2014-08-01,4.09,4.06,3.7,-0.35000000000000053,0.04999999999999982,-0.8499999999999996,0,-0.04245971658493079,-0.3075402834150697,-2.1626900861801253
2017-01-01,4.42,4.4,3.83,-0.2599999999999998,0.0600000000000005,-0.06000000000000005,0,-0.008227593643677254,-0.25177240635632253,-2.136104816122648
2012-11-01,4.48,4.82,3.11,0.0600000000000005,-0.41000000000000014,-3.11,0,-0.047334434845998585,0.10733443484599908,1.9060224071323881
2016-02-01,3.94,4.09,4.27,0.29000000000000004,0.1499999999999999,-0.41000000000000014,0,-0.04119316759433876,0.3311931675943388,1.7782151326439322
2014-02-01,4.56,4.68,3.5,-0.2600000000000007,-0.25,-2.6100000000000003,0,-0.03429847163587611,-0.22570152836412455,-1.7670409856046376
2024-12-01,3.89,3.95,1.7,0.29000000000000004,-0.2999999999999998,-3.01,0,0.05242153042825404,0.237578469571746,1.7377158505421904
2013-07-01,4.88,4.81,4.74,-0.40000000000000036,0.3799999999999999,-1.1399999999999997,0,-0.1527567612849553,-0.24724323871504506,-1.7167034515564605
