modelo,lambda_promedio,anclaje_promedio,gamma_sorpresa,alpha0,alpha1,Q_lambda,Q_nu,H,convergencia,log_verosimilitud
Constante SSM,0.2529107148386992,0.7470892851613008,-0.11473417608594125,0.02460584268554866,0.8644721768657324,0,0.030025508088980964,0,0,57.769318575619174
TVP anclaje con sorpresa,0.3114268614129127,0.6885731385870874,-0.1391986075171932,0.035391724804119624,0.824405467956865,1.6239567086667907e-4,0.027876248894567794,0,0,60.657218138355795
