modelo,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Constante SSM,186,5,57.769318575619174,-105.53863715123835,-105.20530381790502,-89.40990378267233,3.7757991254732417,0.1314841455007049,0.5500524517600525,0.4316735824757198
TVP anclaje con sorpresa,186,6,60.657218138355795,-109.31443627671159,-108.84516253369483,-89.95995623443238,0,0.868515854499295,0,0.5683264175242801
