modelo,rho_A,mu_A,delta_sorpresa_sd,delta_sorpresa_por_pp,se_delta,p_valor_delta_bilateral,p_valor_delta_menor_cero,phi_u,alpha0_u,Q_A,Q_nu,media_largo_plazo_A,vida_media_meses,convergencia,log_verosimilitud,z_delta
Anclaje constante SSM,1,0,0,0,NA,NA,NA,0.8847120925906891,0.025892777742034617,0,0.030629506780891665,NA,NA,0,57.531545770942365,NA
TVP base sin sorpresa,3.336733798141457e-4,0.866034579356301,0,0,NA,NA,NA,0.8751396325122301,0.026725530949123735,1.000000000000001e-12,0.029976849638577517,0.8663236484961077,0.08658551571341849,0,64.02429088742323,NA
TVP con sorpresa en transición,0.9508451868931094,0.04262142171436849,0.004163441567675498,0.0021700990287929814,0.0025355936151493052,0.1005902614106632,0.9497048692946684,0.850606538688945,0.038262171158531304,1.8068106871295554e-11,0.028892000837326008,0.8670854189127967,13.751823515112832,0,64.52533482022211,1.6419987583185087
