fecha,modelo,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,fuera_rango_0_1,y_observada,y_ajustada_estado,residuo_estado_u
2011-02-01,TVP base sin sorpresa,-3.1347157203775122,-313.47157203775123,1.9765976485822365,-7.008775923525253,0.7393444827702287,TRUE,FALSE,TRUE,0.9099999999999993,0.9100000000000026,1.2234715720377527
2011-03-01,TVP base sin sorpresa,0.8649886081685546,86.49886081685545,6.595387746539596e-4,0.8636959359238252,0.866281280413284,TRUE,TRUE,FALSE,0.8899999999999997,0.8899999999999997,1.097597265960453
2011-04-01,TVP base sin sorpresa,0.8663232030288898,86.63232030288897,1.0239292158443492e-6,0.866321196164504,0.8663252098932755,TRUE,TRUE,FALSE,1.2000000000000002,1.2000000000000002,1.1913367679697116
2011-05-01,TVP base sin sorpresa,0.8663236483670363,86.63236483670363,1.000000058348013e-6,0.8663216884029374,0.8663256083311353,TRUE,TRUE,FALSE,-0.021148129164529905,-0.021148129164529905,0.6382524950410301
2011-06-01,TVP base sin sorpresa,0.8663236484703264,86.63236484703263,1.0000000556118416e-6,0.8663216885062328,0.86632560843442,TRUE,TRUE,FALSE,-0.23302206259620029,-0.23302206259620062,0.9737858930717992
2011-07-01,TVP base sin sorpresa,0.8663236485070237,86.63236485070237,1.0000000556094316e-6,0.8663216885429301,0.8663256084711173,TRUE,TRUE,FALSE,-0.5422993669593801,-0.5422993669593803,0.6898722098940999
2011-08-01,TVP base sin sorpresa,0.8663236485202749,86.6323648520275,1.0000000555465114e-6,0.8663216885561815,0.8663256084843682,TRUE,TRUE,FALSE,-1.0896744659206394,-1.0896744659206394,0.6773437591893722
2011-09-01,TVP base sin sorpresa,0.8663236484741247,86.63236484741248,1.0000000554659935e-6,0.8663216885100314,0.8663256084382179,TRUE,TRUE,FALSE,-1.1958261311642007,-1.1958261311642007,1.078989143044665
2011-10-01,TVP base sin sorpresa,0.8663236484620888,86.63236484620887,1.0000000555200414e-6,0.8663216884979954,0.8663256084261821,TRUE,TRUE,FALSE,-0.7393156240494898,-0.7393156240494898,1.209319693919844
2011-11-01,TVP base sin sorpresa,0.8663236484960258,86.63236484960258,1.0000000555888322e-6,0.8663216885319324,0.8663256084601193,TRUE,TRUE,FALSE,-0.5900000000000007,-0.5900000000000009,0.8394340200184421
