fecha,modelo,parametro_anclaje,anclaje_porcentaje,anclaje_se,anclaje_li_95,anclaje_ls_95,anclaje_significativamente_menor_uno,anclaje_significativamente_mayor_cero,fuera_rango_0_1,y_observada,y_ajustada_estado,residuo_estado_u,sorpresa_inflacion_raw,sorpresa_transicion,efecto_sorpresa_sobre_A_siguiente,componente_persistencia,componente_intercepto,A_siguiente_condicional_sin_innovacion,contribucion_meta_observacion,contribucion_inflacion_observacion,cambio_exp24_reconstruido
2011-02-01,TVP con sorpresa en transición,0.5476800686184643,54.76800686184643,0.10917365604322521,0.3337036347131793,0.7616565025237493,TRUE,TRUE,FALSE,0.9099999999999993,0.9099999999999993,0.855231993138153,1.5600000000000005,1.0551316458043283,0.004392978953511601,0.5207589572031547,0.04262142171436849,0.5677733578710348,-0.46552805832569444,-0.4297039348124586,-0.040000000000000036
2011-03-01,TVP con sorpresa en transición,0.5677733578856105,56.77733578856105,0.10380724529911062,0.36431489576503884,0.7712318200061821,TRUE,TRUE,FALSE,0.8899999999999997,0.8899999999999997,1.0262656058925463,1.27,0.9039757551498264,0.0037636502351616357,0.5398645645916715,0.04262142171436849,0.5862496365412017,-0.45989641988734425,-0.24636918600520177,0.3200000000000003
2011-04-01,TVP con sorpresa en transición,0.5862496365596682,58.62496365596682,0.09870461947615355,0.3927921372786765,0.77970713584066,TRUE,TRUE,FALSE,1.2000000000000002,1.2000000000000004,1.1941375036344037,-0.39999999999999947,0.03352631586355847,1.3958485707735779e-4,0.5574326452405952,0.04262142171436849,0.600193651812041,-0.662462089312425,-0.47167541432197807,0.06000000000000072
2011-05-01,TVP con sorpresa en transición,0.6001936518261424,60.01936518261424,0.09385281226823466,0.4162455199326035,0.7841417837196812,TRUE,TRUE,FALSE,-0.021148129164529905,-0.021148129164530072,0.43568814605936557,0.7211481291645301,0.6178992262756023,0.002572587323310371,0.5706912450426862,0.04262142171436849,0.615885254080365,-0.7142304456731097,-0.17145770038625624,-0.4500000000000004
2011-06-01,TVP con sorpresa en transición,0.6158852536936629,61.58852536936629,0.08923949474158992,0.44097905800159515,0.7907914493857306,TRUE,TRUE,FALSE,-0.23302206259620029,-0.23302206259620029,0.6249196838267301,1.0330220625962,0.7804564062059018,0.0032493846433562855,0.5856115291530609,0.04262142171436849,0.6314823355107857,-0.45575508773331064,0.25083540390658043,0.41999999999999993
2011-07-01,TVP con sorpresa en transición,0.6314823354687882,63.14823354687882,0.0848529440182076,0.4651736212109079,0.7977910497266685,TRUE,TRUE,FALSE,-0.5422993669593801,-0.54229936695938,0.35585755902390825,1.6122993669593804,1.0823914988850583,0.004506473758956639,0.6004419392885171,0.04262142171436849,0.6475698347618422,-0.7325195091437944,0.09666195011988596,-0.28000000000000014
2011-08-01,TVP con sorpresa en transición,0.6475698346048885,64.75698346048885,0.08068201333859323,0.48943599426106554,0.8057036749487114,TRUE,TRUE,FALSE,-1.0896744659206394,-1.0896744659206394,0.23115719062340345,2.14967446592064,1.3624860219851969,0.005672630939310001,0.6157386604112252,0.04262142171436849,0.6640327130649036,-0.5698614544523017,0.4087042638288987,0.0700000000000004
2011-09-01,TVP con sorpresa en transición,0.6640327123954728,66.40327123954728,0.076716103986064,0.5136719115485577,0.8143935132423878,TRUE,TRUE,FALSE,-1.1958261311642007,-1.1958261311642007,0.5478083169916739,2.2758261311642007,1.4282397023901587,0.00594639254553567,0.6313923085208116,0.04262142171436849,0.6799601227807157,-0.6308310767756993,0.5630227597840249,0.47999999999999954
2011-10-01,TVP con sorpresa en transición,0.6799601221971117,67.99601221971116,0.07294513827998571,0.5369902783210456,0.8229299660731777,TRUE,TRUE,FALSE,-0.7393156240494898,-0.7393156240494899,0.7901293025390735,1.35931562404949,0.9505294886069411,0.003957473984167473,0.6465368094703742,0.04262142171436849,0.6931157051689101,-0.9723429747418695,0.26221367220279596,0.07999999999999996
2011-11-01,TVP con sorpresa en transición,0.693115705175281,69.3115705175281,0.06935953371173884,0.5571735171157812,0.8290578932347807,TRUE,TRUE,FALSE,-0.5900000000000007,-0.5900000000000005,0.5536409135392133,0.6900000000000004,0.6016639738408233,0.002504992798461707,0.6590457322259393,0.04262142171436849,0.7041721467387695,-1.0466047148146742,0.04296380127546084,-0.4500000000000002
