fecha_inicio,fecha_fin,theta1,se_theta1,p_theta1,theta2,se_theta2,p_theta2,anclaje,se_anclaje,wald_anclaje_perfecto,p_anclaje_perfecto,r2_ajustado,rmse,n,theta1_ic_inf,theta1_ic_sup,theta2_ic_inf,theta2_ic_sup,anclaje_ic_inf,anclaje_ic_sup,restricciones_validas
2010-02-01,2013-01-01,-0.1974327995726259,0.09270051091632582,0.04050952224892976,0.9036675767485193,0.06347444762530395,6.901597310928983e-16,0.29376522282410666,0.09753646505181167,205.54513214224949,2.3251001505275394e-45,0.7366088353435379,0.4616764163127904,36,-0.3791258009686245,-0.015739798176627295,0.7792576594029236,1.028077494094115,0.1025937513225558,0.48493669432565756,FALSE
2010-03-01,2013-02-01,-0.1958968613987257,0.10851228602134719,0.07989030051929129,0.9065124612964667,0.06343950279117853,6.194424723921151e-16,0.2893844001022591,0.11662002703916724,204.42070494928868,4.079509293931565e-45,0.7346948455255535,0.46191856814072474,36,-0.40858094200056616,0.016787219203114795,0.7821710358257568,1.0308538867671766,0.06080914710549129,0.5179596530990269,FALSE
2010-04-01,2013-03-01,-0.114226802455321,0.05903441030884321,0.061354882013433136,0.9178094991086219,0.07214160419790248,1.7541210646964033e-14,0.19641730334669916,0.06581193682701605,190.20861852658848,4.9742004416869704e-42,0.8377905378884791,0.354334379079531,36,-0.2299342466606537,0.0014806417500116825,0.776411954880733,1.0592070433365106,0.0674259071657477,0.3254086995276506,FALSE
2010-05-01,2013-04-01,-0.10318912181979358,0.05737612533740113,0.08098655923477958,0.9152300831042826,0.07395841799332388,3.821739579102302e-14,0.187959038715511,0.0653387942256081,184.5181270998266,8.558502753175734e-41,0.8364843733159976,0.3570147725429925,36,-0.2156463274810998,0.009268083841512634,0.7702715838373677,1.0601885823711974,0.059895002033319156,0.31602307539770286,FALSE
2010-06-01,2013-05-01,-0.08556828564696431,0.05461870424358524,0.1264580850587953,0.9063790497272697,0.07364251604753103,4.4493864241013226e-14,0.1791892359196947,0.06326544614480846,189.66717627179997,6.520726328755682e-42,0.8479406444733683,0.3454314700336985,36,-0.1926209459643914,0.021484374670462755,0.7620397182741089,1.0507183811804306,0.05518896147587013,0.30318951036351927,FALSE
2010-07-01,2013-06-01,-0.08810626025020782,0.057748251364560195,0.13633513333467295,0.919918853603127,0.07956141987983749,2.499080096538768e-13,0.16818740664708087,0.06537774876494055,175.8288691788221,6.595476513795431e-39,0.8424684934084091,0.3589301750733284,36,-0.2012928329247458,0.02508031242433016,0.7639784706386454,1.0758592365676085,0.040047019067797396,0.29632779422636435,FALSE
2010-08-01,2013-07-01,-0.08251662290202595,0.05668341411262418,0.15463537038019723,0.9197267043518533,0.07978426064356203,2.7126335698278965e-13,0.16278991855017266,0.06427585080671129,180.12160259190395,7.71064948872373e-40,0.8468632577181214,0.3575248834388129,36,-0.19361611456276934,0.028582868758717447,0.7633495534904717,1.076103855213235,0.03680925096901855,0.2887705861313268,FALSE
2010-09-01,2013-08-01,-0.06684416968519033,0.052339055966765774,0.2102067991926579,0.9158992029080408,0.08024854589012205,3.5582523738011656e-13,0.15094496677714941,0.06363023355092794,181.96244461258453,3.071547214993148e-40,0.8604716587431951,0.3437662114508382,36,-0.16942871938005125,0.035740380009670586,0.7586120529634016,1.0731863528526802,0.026229709017330655,0.27566022453696815,FALSE
2010-10-01,2013-09-01,-0.05691235146261517,0.052254628117947136,0.2837540606673892,0.9108924838153453,0.08011118120445374,3.9413393446411453e-13,0.14601986764726982,0.06331357739316731,184.97837483634896,6.799175770272035e-41,0.8642167348799913,0.3410366152668055,36,-0.15933142257379157,0.04550671964856122,0.753874568654616,1.0679103989760745,0.02192525595666188,0.27011447933787774,FALSE
2010-11-01,2013-10-01,-0.05590112506771361,0.0587786911476752,0.3482941481473327,0.9090618912733966,0.08503253917395323,2.0519511358478224e-12,0.14683923379431685,0.06221261695013626,189.33808840882034,7.686993166050596e-42,0.8629524900722747,0.3411061409247276,36,-0.17110735971715701,0.059305109581729784,0.7423981144924483,1.075725668054345,0.024902504572049775,0.2687759630165839,FALSE
2010-12-01,2013-11-01,-0.04373998908951381,0.06085907407402417,0.47723054965530276,0.8938045248394813,0.08405816703367974,2.3662497675010877e-12,0.14993546425003257,0.06103920598674018,195.91503465766954,2.8680767119146942e-43,0.862152816062545,0.3367814541392238,36,-0.16302377427460119,0.07554379609557355,0.7290505174534689,1.0585585322254936,0.03029862051602182,0.2695723079840433,FALSE
2011-01-01,2013-12-01,-0.035041763453896806,0.06166295172032909,0.573579886202429,0.8900293911673623,0.08573531746743032,4.437532741595315e-12,0.14501237228653452,0.06246748974845756,188.76799480289208,1.0222350047730033e-41,0.8543498210046263,0.34605027096787755,36,-0.15590114882574183,0.0858176219179482,0.7219881689311989,1.0580706134035258,0.022576092379557697,0.2674486521935113,FALSE
2011-02-01,2014-01-01,-0.03424209601689875,0.0618632421979589,0.5835342495433524,0.8845225022510096,0.0825037484224014,1.9042965202797285e-12,0.14971959376588917,0.060423879387347716,201.34731096871573,1.8966489289522697e-44,0.8569219661661572,0.3438614908907828,36,-0.1554940507248982,0.08700985869110067,0.7228151553431028,1.0462298491589164,0.03128879016668765,0.2681503973650907,FALSE
2011-03-01,2014-02-01,-0.036652458514408605,0.06275543893941726,0.5630403964817219,0.8888091562828753,0.08563873545660582,4.4659400986430376e-12,0.1478433022315333,0.061214097036225296,195.28552871604424,3.9290381120566005e-43,0.8561607071403883,0.3437133922290597,36,-0.15965311883566644,0.08634820180684924,0.7209572347879278,1.0566610777778227,0.027863672040531723,0.26782293242253485,FALSE
2011-04-01,2014-03-01,-0.03524392632839375,0.061909750842388436,0.5729087816648877,0.8786731957997934,0.08106307807743841,1.4232589028637077e-12,0.15657073052860027,0.059320614720102464,206.5323270585608,1.419302644340851e-45,0.8684135814609497,0.3235335062390877,36,-0.1565870379794751,0.08609918532268758,0.7197895627680141,1.0375568288315726,0.040302325677199435,0.2728391353800011,FALSE
2011-05-01,2014-04-01,-0.04079716043119854,0.06179828839881236,0.5135948471714633,0.8818562626613565,0.08432783611647743,3.664743419257239e-12,0.158940897769842,0.06081933403957869,193.2260223881853,1.1002778201159765e-42,0.86251134997185,0.3253189167207938,36,-0.16192180569287076,0.08032748483047367,0.7165737038730607,1.0471388214496522,0.039735003052267764,0.27814679248741625,FALSE
2011-06-01,2014-05-01,-0.03328729060353838,0.05901159256224239,0.5764016607824938,0.8793980684816873,0.08356431973099784,3.1069107121567073e-12,0.15388922212185108,0.06356652491201262,179.502408849769,1.0508655961925088e-39,0.8599774918172716,0.3256674237933299,36,-0.14895001202553348,0.0823754308184567,0.7156120018089316,1.043184135154443,0.029298833294306353,0.2784796109493958,FALSE
2011-07-01,2014-06-01,-0.047920541339482495,0.05641165425475759,0.4015566144770606,0.8789957157442373,0.08039921258519413,1.1322580369475475e-12,0.16892482559524524,0.06269535130744905,180.01841707913403,8.118904085254024e-40,0.8581354011267003,0.3208253363348695,36,-0.15848738367880738,0.06264630099984238,0.7214132590772568,1.0365781724112177,0.046041937032645114,0.29180771415784534,FALSE
2011-08-01,2014-07-01,-0.04788146022582561,0.055353298205462635,0.39309277713474755,0.8918649845089205,0.08369983826679016,2.2388118591436348e-12,0.15601647571690502,0.07236909390181416,143.77812441035883,6.011418660129393e-32,0.8569358483167889,0.318627749551875,36,-0.15637392470853237,0.06061100425688115,0.7278133015060118,1.0559166675118292,0.014173051669349263,0.2978598997644608,FALSE
2011-09-01,2014-08-01,-0.05343015349252513,0.05355367588931789,0.3254759821838159,0.8873765106790237,0.08102222542682785,1.080012313353005e-12,0.16605364281350155,0.07138779292963592,146.64292914799876,1.4351342542586655e-32,0.8522619792677096,0.31836519705184574,36,-0.1583953582355882,0.05153505125053793,0.7285729488424411,1.0461800725156063,0.02613356867141514,0.30597371695558795,FALSE
2011-10-01,2014-09-01,-0.0853730086394341,0.046635573413416676,0.07593102880415058,0.8837460712561186,0.07680132652033203,2.849213857808074e-13,0.2016269373833156,0.07292934257586992,140.30729755124986,3.4092390271238408e-31,0.8480024122305938,0.31014812762809263,36,-0.17677873252973078,0.006032715250862575,0.7332154712762678,1.0342766712359694,0.05868542593461057,0.34456844883202065,FALSE
2011-11-01,2014-10-01,-0.09797102453228963,0.05035019050868408,0.05998418411223493,0.8736551488542172,0.0807765604856665,1.5083796795252152e-12,0.22431587567807232,0.0938801121219877,119.59975065792845,1.0696559865490235e-26,0.8345169311542824,0.3081442145378041,36,-0.19665739792931042,7.153488647311523e-4,0.715333090302311,1.0319772074061235,0.04031085591897643,0.4083208954371682,FALSE
2011-12-01,2014-11-01,-0.08499406150097578,0.05329096669472691,0.11998818585037624,0.8891022170143952,0.08308065626513844,1.9973252524352836e-12,0.1958918444865807,0.09772567836839996,116.38407624032719,5.339725769790321e-26,0.8295342826083737,0.3047974754027728,36,-0.18944435622264053,0.019456233220688957,0.7262641307347238,1.0519403032940664,0.004349514884516792,0.3874341740886446,FALSE
2012-01-01,2014-12-01,-0.05698464745788259,0.05536568491054077,0.31063297646747945,0.9716131232485822,0.07588586203858827,1.4649278178350142e-14,0.08537152420930039,0.08101422021666431,170.22202064631213,1.0883231504590727e-37,0.8808281176513101,0.25275113413039824,36,-0.1655013898825425,0.051532094966777325,0.8228768336529492,1.1203494128442153,-0.07341634741536165,0.24415939583396243,FALSE
2012-02-01,2015-01-01,-0.049610197693275265,0.06188975630317391,0.4283571863621166,0.9547640588352015,0.07934259609478654,8.332235453786992e-14,0.09484613885807369,0.09894759583655807,144.95677415366217,3.334543868597616e-32,0.861185990259086,0.2584565879434931,36,-0.17091412004749612,0.07169372466094559,0.7992525704894199,1.110275547180983,-0.09909114898158011,0.2887834266977275,FALSE
2012-03-01,2015-02-01,-0.07587373204739141,0.05117655760158049,0.14739451883098642,0.9278770146322972,0.09666028294808204,3.288868537193961e-11,0.14799671741509424,0.1176372329113894,103.4651017604272,3.410661492829154e-23,0.8411474180431826,0.25624355346943706,36,-0.17617978494648917,0.02443232085170635,0.7384228600540564,1.117331169210538,-0.08257225909122898,0.3785656939214175,FALSE
2012-04-01,2015-03-01,-0.07724346125959886,0.04720819231635891,0.11101646612559762,0.966833911778411,0.092737856937168,3.970642379894669e-12,0.11040954948118786,0.10746216681108214,114.94502007959967,1.096493416826198e-25,0.8399842916687033,0.24948442948388264,36,-0.1697715181996623,0.0152845956804646,0.7850677121815618,1.1486001113752604,-0.10021629746853314,0.32103539643090884,FALSE
2012-05-01,2015-04-01,-0.0699475517706953,0.04306299849565669,0.11354630551029588,0.9696114208579878,0.09966653446082797,2.3490525995044152e-11,0.10033613091270754,0.11041214030311562,98.98512640334535,3.2037078565484143e-22,0.826681682696386,0.25029233607102724,36,-0.1543510288221824,0.014455925280791815,0.7742650133147649,1.1649578284012105,-0.11607166408139907,0.31674392590681416,FALSE
