subperiodo,fecha_inicial,fecha_final,observaciones,lambda_promedio,c0_promedio,c_promedio,d_promedio,pi_estrella_promedio,meta_promedio,brecha_ancla_meta_promedio
2010-2014,2010-02-01,2014-12-01,59,0.7739177839455145,3.161355221167598,0.16910392075715133,0.2520246673608441,5.473579090704276,4.491525423728813,0.9820536669754626
2015-2019,2015-01-01,2019-12-01,60,0.8222558774602302,2.6709622666796973,0.1329482191813393,0.25202466736084356,4.341052897012317,4,0.34105289701231684
2020-2022,2020-01-01,2022-12-01,36,0.8680569232883957,2.6793724635471654,0.09869016669279597,0.25202466736084367,4.1273190206272385,4,0.12731902062723827
2023-2026,2023-01-01,2026-06-01,42,0.8813932421917299,2.6302111389283342,0.0887149291248927,0.2520246673608436,3.989819769606586,4,-0.010180230393414072
