codigo_modelo,modelo,descripcion,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
M4,M4: TVP-VAR irrestricto,Los seis coeficientes variantes,197,14,-132.77923043296315,293.5584608659263,295.8661531736186,339.5233130682581,0,0.999902956391517,0,0.9487429035146315
M3,M3: Demertzis restringido candidato,c0_t y c_t variantes; d e inflación constantes,197,10,-146.332745073468,312.665490146936,313.84828584586074,345.4975274343159,19.107029281009716,7.094457008755864e-5,5.974214366057765,0.04784806440748263
M2,M2: TVP completa en expectativas,"c0_t, c_t y d_t variantes; inflación constante",197,11,-146.3327454720716,314.6654909441432,316.0925179711702,350.78073196026105,21.107030078216894,2.609903839478684e-5,11.257418892002931,0.0034090320778119437
M1,M1: TVP solo inflación,"a0_t, a_t y b_t variantes; expectativas constantes",197,11,-170.89296825614062,363.78593651228124,365.21296353930825,399.9011775283991,70.22747564635495,5.626719647103241e-16,60.377864460140984,7.349568777086092e-14
M0,M0: VAR(1) constante SSM,Todos los coeficientes constantes,197,8,-184.44648780437643,384.89297560875286,385.65893305556136,411.15860543865676,91.33451474282657,1.468655622978231e-20,71.63529237039864,2.6408421766112117e-16
