codigo_modelo,fecha,lambda_t,lambda_li_95,lambda_ls_95,pi_estrella_t,c0_t,c_t,d_t
M0,2010-02-01,0.7729020305064076,0.5544904053029815,0.9913136557098337,4.570967577379781,0.3092681710159985,0.019879977481070742,0.9124607871862471
M0,2010-03-01,0.7729020305064074,0.5544904053029772,0.9913136557098375,4.57096757737979,0.30926817101599857,0.019879977481070742,0.9124607871862472
M0,2010-04-01,0.7729020305063645,0.5544904053035522,0.9913136557091768,4.570967577379964,0.3092681710159984,0.01987997748107482,0.9124607871862458
M0,2010-05-01,0.772902030506266,0.5544904052967445,0.9913136557157876,4.570967577380575,0.3092681710160176,0.019879977481084544,0.9124607871862409
M0,2010-06-01,0.7729020305063594,0.5544904053194746,0.9913136556932443,4.570967577380011,0.3092681710159917,0.01987997748107476,0.912460787186248
M0,2010-07-01,0.7729020305063861,0.5544904053000314,0.9913136557127408,4.570967577379571,0.30926817101599774,0.019879977481074042,0.9124607871862409
M0,2010-08-01,0.7729020305063576,0.5544904052300662,0.9913136557826491,4.570967577380156,0.30926817101598814,0.01987997748107411,0.9124607871862516
M0,2010-09-01,0.7729020305063539,0.554490405228437,0.9913136557842708,4.57096757738033,0.3092681710159953,0.019879977481074243,0.9124607871862525
M0,2010-10-01,0.7729020305063515,0.5544904052282743,0.9913136557844288,4.570967577380336,0.30926817101599796,0.019879977481074642,0.9124607871862516
M0,2010-11-01,0.7729020305063656,0.5544904052279356,0.9913136557847957,4.570967577380199,0.30926817101599435,0.019879977481073414,0.9124607871862516
M0,2010-12-01,0.77290203050639,0.5544904052275592,0.9913136557852207,4.5709675773799745,0.30926817101598886,0.019879977481071284,0.9124607871862516
M0,2011-01-01,0.7729020305063823,0.5544904052266607,0.9913136557861039,4.570967577380074,0.3092681710159925,0.019879977481071946,0.9124607871862516
M0,2011-02-01,0.7729020305063725,0.5544904052264513,0.9913136557862937,4.570967577380228,0.30926817101599896,0.01987997748107281,0.9124607871862516
