modelo_restringido,modelo_irrestricto,descripcion,logLik_restringido,logLik_irrestricto,estadistico_LR,numero_varianzas_en_frontera,p_valor_chi_cuadrado_referencial,p_valor_mixto_una_varianza,advertencia
M0,M1,¿La TVP exclusivamente en inflación mejora al modelo constante?,-184.44648780437643,-170.89296825614062,27.107039096471624,3,5.5908620764914724e-6,NA,"Las varianzas Q son cero bajo H0 y se encuentran en la frontera. Los p-valores son referenciales; deben evaluarse junto con AIC, BIC, magnitud de Q y, para M3 vs M0, el bootstrap paramétrico opcional."
M0,M3,Prueba central: ¿c0_t y c_t variantes mejoran al modelo constante?,-184.44648780437643,-146.332745073468,76.22748546181685,2,2.8016368901452965e-17,NA,"Las varianzas Q son cero bajo H0 y se encuentran en la frontera. Los p-valores son referenciales; deben evaluarse junto con AIC, BIC, magnitud de Q y, para M3 vs M0, el bootstrap paramétrico opcional."
M3,M2,¿Es necesario permitir que d_t varíe adicionalmente?,-146.332745073468,-146.3327454720716,0,1,1,0.5,"Las varianzas Q son cero bajo H0 y se encuentran en la frontera. Los p-valores son referenciales; deben evaluarse junto con AIC, BIC, magnitud de Q y, para M3 vs M0, el bootstrap paramétrico opcional."
M2,M4,¿La TVP en inflación añade información después de hacer TVP la ecuación de expectativas?,-146.3327454720716,-132.77923043296315,27.107030078216894,3,5.590886418465684e-6,NA,"Las varianzas Q son cero bajo H0 y se encuentran en la frontera. Los p-valores son referenciales; deben evaluarse junto con AIC, BIC, magnitud de Q y, para M3 vs M0, el bootstrap paramétrico opcional."
M3,M4,¿El TVP irrestricto mejora al candidato restringido?,-146.332745073468,-132.77923043296315,27.107029281009716,4,1.8912601349350504e-5,NA,"Las varianzas Q son cero bajo H0 y se encuentran en la frontera. Los p-valores son referenciales; deben evaluarse junto con AIC, BIC, magnitud de Q y, para M3 vs M0, el bootstrap paramétrico opcional."
M0,M4,Prueba global referencial: TVP-VAR irrestricto frente a constante,-184.44648780437643,-132.77923043296315,103.33451474282657,6,5.0513001945559185e-20,NA,"Las varianzas Q son cero bajo H0 y se encuentran en la frontera. Los p-valores son referenciales; deben evaluarse junto con AIC, BIC, magnitud de Q y, para M3 vs M0, el bootstrap paramétrico opcional."
