subperiodo,fecha_inicial,fecha_final,observaciones,promedio_beta_rolling_36,promedio_beta_lp_rolling_36,promedio_rho_rolling_36,promedio_gamma_tc_rolling_36,promedio_beta_tvp_base,promedio_beta_tvp_pulso,desviacion_beta_rolling_36,desviacion_beta_lp_rolling_36,desviacion_beta_tvp_base,desviacion_beta_tvp_pulso
2014-2016,2013-01-01,2016-12-01,48,0.21546288658147897,0.3525514371730549,0.3036922617532839,0.022532899891323552,0.1054023439614009,0.11199823362547616,0.05824372837050335,0.13184591073365556,0.004937649266586399,0.007655375587007034
2017-2019,2017-01-01,2019-12-01,36,0.15509428351022395,0.3212240575343749,0.4911086203933527,-0.005437895976779746,0.07372720961378648,0.07488441067509914,0.043581569186643215,0.11031727636897347,0.011622841257619414,0.01292566661702706
2020-2022,2020-01-01,2022-12-01,36,0.07374460204510755,0.14997856661260145,0.491711960762685,0.015574648549017842,0.04195208891080742,0.042019348232220186,0.022194129708328937,0.051492880590298364,0.011383702203342127,0.01164781448870362
2023-2026,2023-01-01,2026-06-01,42,0.052944849160451744,0.12658729564253832,0.5704043679449885,-0.019632303757686983,0.01862857927960697,0.017904036020585056,0.020505610998151496,0.03520144961966675,0.004571677702659146,0.005387865019443034
