fecha_inicio,fecha_fin,ventana,n_obs,alpha,alpha_se_hac,alpha_p_value,rho,rho_se_hac,rho_p_value,rho_estable,beta_corto_plazo,beta_se_hac,beta_t_hac,beta_p_value,beta_ic_inf,beta_ic_sup,gamma_tc,gamma_se_hac,gamma_p_value,beta_largo_plazo,beta_largo_plazo_se,beta_largo_plazo_ic_inf,beta_largo_plazo_ic_sup,r_squared,adj_r_squared
2010-02-01,2013-01-01,36,36,0.7337886216195287,NA,NA,0.07033757023025015,NA,NA,NA,0.16380994549327252,0.039826958792838936,4.113041780200557,2.546615059258208e-4,0.0857505406455474,0.24186935034099766,-0.03780692362796777,0.02251989291467376,0.10292710207428317,0.17620368452863416,0.04173332755406194,0.0944078655676597,0.25799950348960865,0.5008458314450884,0.45405012814306545
2010-03-01,2013-02-01,36,36,0.8945291733236612,NA,NA,-0.08006827657924802,NA,NA,NA,0.18314556446143224,0.044277143603580905,4.136345517252842,2.3841083983908566e-4,0.09636395766010565,0.26992717126275884,-0.020875091692980942,0.025387388092681516,0.41701272413840784,0.16956850639246998,0.04017714411067406,0.0908227509338733,0.24831426185106664,0.3696556904378177,0.3105609114163631
2010-04-01,2013-03-01,36,36,0.5933793567496363,NA,NA,0.21397932637473696,NA,NA,NA,0.1492920047033967,0.036740962564119656,4.063366724343572,2.930138808791883e-4,0.07728104132038781,0.2213029680864056,-0.03635152679575279,0.016708379064953077,0.037078266293936464,0.18993394157794374,0.041491962597201816,0.1086111892395452,0.2712566939163423,0.5583741580437361,0.5169717353603365
2010-05-01,2013-04-01,36,36,0.6288395775392751,NA,NA,0.18047290448181624,NA,NA,NA,0.16267680439244425,0.03976408539745225,4.091048562199981,2.7099273770703485e-4,0.08474062913526278,0.24061297964962572,-0.032878516379521015,0.016434155313809522,0.05397781644058386,0.19850082478308342,0.04057375454497271,0.11897772715736861,0.27802392240879825,0.5555810106750545,0.5139167304258409
2010-06-01,2013-05-01,36,36,0.6347155433827489,NA,NA,0.1735302083368899,NA,NA,NA,0.16777607281554646,0.04384660559381653,3.8264324123463527,5.688548848200328e-4,0.08183830500733362,0.2537138406237593,-0.0316799627867372,0.016386597161427246,0.06208985880702442,0.20300327308748897,0.04304541069081399,0.11863581843375817,0.28737072774121974,0.5555652427478588,0.5138994842554705
2010-07-01,2013-06-01,36,36,0.649894453939,NA,NA,0.17847745172419355,NA,NA,NA,0.16858493188445411,0.047628296568665525,3.539596081111276,0.001251030982188791,0.07523518596487706,0.2619346778040312,-0.027515110058785933,0.017058507302236257,0.11656786305051811,0.20521035270215832,0.045127224732117804,0.11676261750496225,0.2936580878993544,0.5279820152719101,0.48373032920365167
2010-08-01,2013-07-01,36,36,0.6914050148545149,NA,NA,0.1294748456128461,NA,NA,NA,0.1584775538311353,0.044828135246422554,3.5352252097923786,0.0012659594495184536,0.07061602325405653,0.24633908440821406,-0.03467059106241277,0.015332843961413522,0.0306795501281032,0.18204821886244382,0.038990477381348754,0.10562828745497668,0.258468150269911,0.5219523756359387,0.4771354108518079
2010-09-01,2013-08-01,36,36,0.7027645514416433,NA,NA,0.11549815496851337,NA,NA,NA,0.1582717573226821,0.04325307763316225,3.6592022113435623,9.026486959192001e-4,0.07349728294116913,0.24304623170419504,-0.03614251096280629,0.015602480085081022,0.02709262594045891,0.17893886622367408,0.03858412298285971,0.1033153748022049,0.25456235764514323,0.5128628591050471,0.46719375214614534
2010-10-01,2013-09-01,36,36,0.707527296779611,NA,NA,0.112481819667843,NA,NA,NA,0.157061824471224,0.04527158664782043,3.469324494700157,0.001513003132311463,0.06833114511851157,0.24579250382393641,-0.03683675325718672,0.01695399804224287,0.037314597092026634,0.1769674446696326,0.04184361321634317,0.0949554697825758,0.2589794195566894,0.5086293408048559,0.4625633415053111
2010-11-01,2013-10-01,36,36,0.7059453188727609,NA,NA,0.10572730942954817,NA,NA,NA,0.17078394279317474,0.04324851470201058,3.9488972967026577,4.0422423310140364e-4,0.08601841159238299,0.2555494739939665,-0.03228573030766904,0.01509695264276546,0.04020432364066028,0.19097524121443601,0.03787083063045872,0.11674977711412063,0.2652007053147514,0.5174007204992325,0.4721570380460355
