fecha,rho_rolling_36,beta_rolling_36,beta_rolling_36_li_95,beta_rolling_36_ls_95,beta_lp_rolling_36,beta_lp_rolling_36_li_95,beta_lp_rolling_36_ls_95,gamma_tc_rolling_36,beta_tvp_base,beta_tvp_base_li_95,beta_tvp_base_ls_95,rho_rolling_30,beta_rolling_30,beta_lp_rolling_30,gamma_tc_rolling_30,beta_tvp_pulso,beta_tvp_pulso_li_95,beta_tvp_pulso_ls_95,z_beta_rolling_36,z_beta_lp_rolling_36,z_beta_tvp_base,indice_anclaje_rolling_36,indice_anclaje_lp_rolling_36,indice_anclaje_tvp_base,d_beta_rolling_36,d_beta_lp_rolling_36,d_beta_tvp_base,z_beta_rolling_30,d_beta_rolling_30,z_beta_tvp_pulso,indice_anclaje_tvp_pulso,d_beta_tvp_pulso
2013-01-01,0.07033757023025015,0.16380994549327252,0.0857505406455474,0.24186935034099766,0.17620368452863416,0.0944078655676597,0.25799950348960865,-0.03780692362796777,0.11194167804040646,0.05975103653316618,0.16413231954764673,0.1538652087238562,0.15116043983603772,0.17864817921983442,-0.036643585439473304,0.1253575229923591,0.07292566569216233,0.1777893802925559,0.4498191073242774,-0.4769194432319195,1.4232280214504267,0.5169461532106294,0.819977012835959,0,NA,NA,NA,0.15854301181799982,NA,1.607622504747062,0,NA
2013-02-01,-0.08006827657924802,0.18314556446143224,0.09636395766010565,0.26992717126275884,0.16956850639246998,0.0908227509338733,0.24831426185106664,-0.020875091692980942,0.11176061126871624,0.05928096866316626,0.1642402538742662,0.13797508805933809,0.15049933380024924,0.1745881490378656,-0.04045657962823576,0.12475142013515844,0.07194745557137822,0.17755538469893864,0.6955845345846162,-0.5250210982950931,1.418092033065957,0.45504470316531687,0.8332409165137593,0.0017606587405597507,0.019335618968159718,-0.006635178136164183,-1.8106677169021923e-4,0.15074351787123455,-6.611060357884779e-4,1.5917923563165186,0.005104897243361384,-6.061028572006688e-4
2013-03-01,0.21397932637473696,0.1492920047033967,0.07728104132038781,0.2213029680864056,0.18993394157794374,0.1086111892395452,0.2712566939163423,-0.03635152679575279,0.11145754679600972,0.05874165727326196,0.16417343631875747,0.14433017734842077,0.14440297758256918,0.1687601616416578,-0.043698829975237684,0.1239996929600616,0.07088989074857367,0.17710949517154956,0.26528878910484893,-0.3773820871939691,1.4094955600795762,0.5634241888010689,0.792529851171847,0.004707599848764787,-0.03385355975803553,0.020365435185473763,-3.030644727065185e-4,0.07882087484104204,-0.006096356217680066,1.5721588030017941,0.011436314325992347,-7.517271750968474e-4
2013-04-01,0.18047290448181624,0.16267680439244425,0.08474062913526278,0.24061297964962572,0.19850082478308342,0.11897772715736861,0.27802392240879825,-0.032878516379521015,0.11115154216540632,0.05825619069997716,0.16404689363083547,0.12794790375620577,0.1662270696357908,0.19061598538869828,-0.03397803142672274,0.12324534599205124,0.06990113109216808,0.17658956089193437,0.435416314879417,-0.3152765562732348,1.400815689036965,0.5205738145419123,0.7754044159054434,0.007683130491379919,0.013384799689047544,0.00856688320513968,-3.0600463060340144e-4,0.33629375309080406,0.02182409205322161,1.5524568261345564,0.017789796596839214,-7.543469680103554e-4
2013-05-01,0.1735302083368899,0.16777607281554646,0.08183830500733362,0.2537138406237593,0.20300327308748897,0.11863581843375817,0.28737072774121974,-0.0316799627867372,0.1110708278070415,0.05804055496452813,0.16410110064955483,0.11063357624553503,0.19209529679783213,0.2159911726675051,-0.02142978220750101,0.12277385090085952,0.06925093155826209,0.17629677024345694,0.5002305773440722,-0.2826361039999384,1.3985262131538314,0.504248911259525,0.766403897848752,0.008467981511901979,0.00509926842310221,0.0045024483044055486,-8.071435836481955e-5,0.6414778994180403,0.025868227162041346,1.540142353121989,0.021760960835199183,-4.7149509119172317e-4
2013-06-01,0.17847745172419355,0.16858493188445411,0.07523518596487706,0.2619346778040312,0.20521035270215832,0.11676261750496225,0.2936580878993544,-0.027515110058785933,0.11101979352793576,0.05788748925148541,0.1641520978043861,0.0704625355032202,0.2142294743386755,0.2304688971892619,-0.010413066537518379,0.1223389101052291,0.06867882298936563,0.17599899722109258,0.5105115823116835,-0.2666359032301726,1.3970786175389642,0.5016594131250129,0.7619918849656835,0.008964229104637678,8.088590689076525e-4,0.002207079614669344,-5.1034279105743874e-5,0.9026090559964841,0.022134177540843375,1.528782602426987,0.02542424676474231,-4.3494079563041743e-4
2013-07-01,0.1294748456128461,0.1584775538311353,0.07061602325405653,0.24633908440821406,0.18204821886244382,0.10562828745497668,0.258468150269911,-0.03467059106241277,0.11092924697157693,0.05774755329520112,0.16411094064795273,0.06521470909459587,0.20563707118903324,0.21998321239079352,-0.016953123649341862,0.12185470895288689,0.06812345926726562,0.17558595863850815,0.3820417314190801,-0.4345495522115842,1.394510249762969,0.5340173820468712,0.8082936278756175,0.009844686542480052,-0.010107378053318822,-0.023162133839714494,-9.054655635883091e-5,0.8012389387597333,-0.00859240314964227,1.5161362734734845,0.02950242771779099,-4.8420115234221184e-4
2013-08-01,0.11549815496851337,0.1582717573226821,0.07349728294116913,0.24304623170419504,0.17893886622367408,0.1033153748022049,0.25456235764514323,-0.03614251096280629,0.11078278887490092,0.05760559199000894,0.1639599857597929,0.07063938549131771,0.19838339058256735,0.2134622314368735,-0.021179670620120848,0.1212992355831079,0.06756426691181949,0.1750342042543963,0.3794259544474727,-0.4570907719091664,1.3903559420657707,0.5346762232408611,0.8145093093621734,0.011268817130501652,-2.057965084532043e-4,-0.0031093526387697412,-1.4645809667600262e-4,0.7156625940899647,-0.00725368060646589,1.5016284621534264,0.034180898443439856,-5.55473369778986e-4
2013-09-01,0.112481819667843,0.157061824471224,0.06833114511851157,0.24579250382393641,0.1769674446696326,0.0949554697825758,0.2589794195566894,-0.03683675325718672,0.11062854330749965,0.05750413775898828,0.16375294885601102,0.07577753672205517,0.2140924901014369,0.23164605774903363,-0.007173004772420362,0.12074863896131977,0.06706889347776387,0.17442838444487563,0.3640471002879764,-0.4713825720131844,1.3859807414967549,0.5385497272691546,0.8184502352973226,0.012768671598014203,-0.0012099328514580954,-0.0019714215540414803,-1.5424556740127604e-4,0.9009929646717839,0.015709099518869563,1.4872480213673236,0.03881829479189447,-5.505966217881353e-4
2013-10-01,0.10572730942954817,0.17078394279317474,0.08601841159238299,0.2555494739939665,0.19097524121443601,0.11674977711412063,0.2652007053147514,-0.03228573030766904,0.11057200324316135,0.05753040754798935,0.16361359893833338,-0.004125974608840719,0.27614991800749666,0.2750152122248122,0.026907922124446284,0.12032479353891969,0.06673736754975125,0.1739122195280881,0.5384621152851468,-0.3698331962819135,1.38437697338962,0.4946194541695007,0.7904482645445216,0.013318456395853051,0.01372211832195075,0.014007796544803414,-5.6540064338292395e-5,1.633124433911608,0.06205742790605975,1.4761780587883844,0.0423881300149368,-4.238454224000793e-4
