metodo,observaciones,fecha_inicial,valor_inicial,fecha_final,valor_final,cambio_absoluto,reduccion_porcentual,promedio,desviacion_estandar,minimo,fecha_minimo,maximo,fecha_maximo,pendiente_anual,direccion_tendencia
Rolling 36m: beta corto plazo,162,2013-01-01,0.16380994549327252,2026-06-01,0.12617505667898668,-0.03763488881428584,22.97472763387951,0.12842038333729566,0.07867509756641863,0.012922605765592976,2025-11-01,0.3252839309688928,2014-08-01,-0.01713846114782885,Descendente
Rolling 36m: beta largo plazo,162,2013-01-01,0.17620368452863416,2026-06-01,0.2593610832509685,0.08315739872233435,-47.193904568335384,0.24199030784311354,0.13794074502114234,0.0861484023542756,2022-05-01,0.5863916412485296,2016-01-01,-0.022518838174102294,Descendente
Rolling 36m: rho,162,2013-01-01,0.07033757023025015,2026-06-01,0.513515847877245,0.44317827764699486,-630.0733394631775,0.45627007987323764,0.20454813463045318,-0.08006827657924802,2013-02-01,0.8869862005318697,2025-11-01,0.02982669665652457,Ascendente
Rolling 36m: gamma tipo de cambio,162,2013-01-01,-0.03780692362796777,2026-06-01,-0.03240559391958131,0.005401329708386457,14.286615228303868,0.003839169935563264,0.03036779486681468,-0.040390769613708265,2026-05-01,0.10233323128827353,2015-04-01,-0.002649937130059217,Descendente
Rolling 30m: beta corto plazo,162,2013-01-01,0.15116043983603772,2026-06-01,0.11450123444443706,-0.036659205391600655,24.251851497233368,0.13772190872615284,0.08476268336135627,0.017767143987668634,2025-07-01,0.34273164146942336,2014-06-01,-0.017657595688395457,Descendente
TVP-AR(1) base,162,2013-01-01,0.11194167804040646,2026-06-01,0.01764392607185677,-0.09429775196854968,84.23828695377604,0.06176646658503777,0.03525451347159017,0.00910132203101314,2023-03-01,0.11194167804040646,2013-01-01,-0.008796164729405741,Descendente
TVP-AR(1) con pulso,162,2013-01-01,0.1253575229923591,2026-06-01,0.01681263362435841,-0.1085448893680007,86.58825316340753,0.06380506202191928,0.03828788212947062,0.00662783494841891,2023-03-01,0.1253575229923591,2013-01-01,-0.009559516370102241,Descendente
