modelo,observaciones_validas,RMSE_un_paso,MAE_un_paso,MedAE_un_paso,correlacion_observado_predicho,perdida_logaritmica_media
Sensibilidad constante,186,0.2648145475118389,0.1529527305235831,0.1025380062512276,0.0746416440441845,-0.2366915988651251
Sensibilidad variante,186,0.2602828597847303,0.1475986116029515,0.09811853505014248,0.05194980655639803,-0.26489024896973
