modelo,H,Q_beta,Q_beta_sobre_H,desviacion_estandar_observacion,desviacion_estandar_innovacion_beta,razon_Q_sobre_limite_inferior,Q_beta_en_limite_numerico
Sensibilidad constante,0.031628843426126034,0,0,0.1778449983163036,0,NA,FALSE
Sensibilidad variante,0.02878510594465188,4.393196240432943e-5,0.0015262046451662186,0.1696617397784541,0.006628119069866611,43931962.404329434,FALSE
