fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,beta_constante,beta_constante_li_95,beta_constante_ls_95,diferencia_tvp_menos_constante,residuo_estandarizado_constante,residuo_estandarizado_tvp
2011-01-01,5.99,5.85,4.9,-0.35000000000000053,-0.019999999999999574,5.71,-0.8099999999999996,0.11958744213283007,0.03503335725738173,0.050923323650836974,0.18825156061482318,-0.11958744213283007,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,NA,NA
2011-02-01,5.5,5.81,5.24,-0.040000000000000036,-0.35000000000000053,5.99,-0.75,0.11924695603675298,0.03443141941530834,0.05176261404615548,0.18673129802735047,-0.11924695603675298,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,NA,NA
2011-03-01,6.24,6.13,4.99,0.3200000000000003,-0.040000000000000036,5.5,-0.5099999999999998,0.11881849300399878,0.033840869646337965,0.05249160729166168,0.1851453787163359,-0.11881849300399878,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,NA,NA
2011-04-01,6.07,6.19,5.761148129164525,0.0600000000000005,0.3200000000000003,6.24,-0.4788518708354754,0.11866401766871314,0.033248073314549834,0.05349899141684822,0.18382904392057806,-0.11866401766871314,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.3512472127110219,-0.3681478569839011
2011-05-01,5.96,5.74,6.393022062596202,-0.4500000000000002,0.0600000000000005,6.07,0.3230220625962019,0.11865694185369624,0.03265211580893961,0.05465997084914369,0.18265391285824878,-0.11865694185369624,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-3.1553705752805,-3.3061483451781557
2011-06-01,6.38,6.16,6.422299366959379,0.41999999999999993,-0.4500000000000002,5.96,0.4622993669593791,0.1188891697707225,0.03204856144345062,0.056075143585240295,0.1817031959562047,-0.1188891697707225,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,2.472302094578551,2.59126719560789
2011-07-01,5.96,5.88,7.039674465920641,-0.28000000000000025,0.41999999999999993,6.38,0.6596744659206415,0.11897518599083681,0.031444773897943396,0.057344561648862605,0.18060581033281103,-0.11897518599083681,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.2964980124777796,-0.3091114032410415
2011-08-01,6.33,5.95,7.625826131164203,0.07000000000000028,-0.28000000000000025,5.96,1.665826131164203,0.11930494998128899,0.03084710065947526,0.05884574366123574,0.17976415630134224,-0.11930494998128899,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.21308762433695938,-0.22142419455898263
2011-09-01,6.69,6.43,7.249315624049487,0.47999999999999954,0.07000000000000028,6.33,0.9193156240494869,0.12022702502572581,0.030377419649591907,0.06068837656926634,0.17976567348218528,-0.12022702502572581,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,2.7893517292395904,2.9226607806830884
2011-10-01,6.69,6.51,6.65,0.08000000000000007,0.47999999999999954,6.69,-0.040000000000000036,0.12062218146308885,0.02993483410175669,0.061950984740464336,0.17929337818571336,-0.12062218146308885,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,1.2690117377228658,1.3303253165901083
2011-11-01,6.85,6.06,6.054843875100062,-0.4500000000000002,0.08000000000000007,6.69,-0.6351561248999387,0.12103077569205271,0.02947484053572355,0.0632611497919733,0.17880040159213212,-0.12103077569205271,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-2.0865319737627,-2.183849463675473
2011-12-01,5.94,5.62,6.200000000000003,-0.4399999999999995,-0.4500000000000002,6.85,-0.6499999999999968,0.12108661342811375,0.029011269076035687,0.06422557089328321,0.1779476559629443,-0.12108661342811375,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-2.2072954729217713,-2.304372068869106
2012-01-01,5.97,5.95,5.44,0.33000000000000007,-0.4399999999999995,5.94,-0.5,0.12062748240657581,0.028539651165531296,0.06469079399079791,0.1765641708223537,-0.12062748240657581,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,2.091947085752823,2.198720434129043
2012-02-01,6,6.11,5.17,0.16000000000000014,0.33000000000000007,5.97,-0.7999999999999998,0.1203481799896149,0.028052403735943015,0.06536647898738975,0.17532988099184005,-0.1203481799896149,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,1.8317509255905373,1.9242686338577364
2012-03-01,5.59,5.47,4.55,-0.6400000000000006,0.16000000000000014,6,-1.4500000000000002,0.1204892513043481,0.027567963746232577,0.06645703523462634,0.17452146737406984,-0.1204892513043481,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-2.269052586564195,-2.3652330800587715
2012-04-01,5.84,5.54,4.27,0.07000000000000028,-0.6400000000000006,5.59,-1.3200000000000003,0.11967685174813789,0.02714114279228173,0.06648118937600683,0.17287251412026894,-0.11967685174813789,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.9213291312945666,0.9802952265698274
2012-05-01,5.26,5.28,3.9,-0.2599999999999998,0.07000000000000028,5.84,-1.94,0.11888516480069894,0.026741926240417026,0.06647195249225496,0.17129837710914292,-0.11888516480069894,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.2986271506143973,0.32528706150143605
2012-06-01,4.89,5.11,3.47,-0.16999999999999993,-0.2599999999999998,5.26,-1.7899999999999996,0.11802452700939345,0.026456934345066914,0.06616988855172151,0.16987916546706539,-0.11802452700939345,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.1971414473068264,0.21154318286266835
2012-07-01,4.71,4.9,2.86,-0.20999999999999996,-0.16999999999999993,4.89,-2.03,0.11700908449864203,0.026254039980308737,0.06555211168856225,0.16846605730872183,-0.11700908449864203,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,0.23203655964870298,0.24511318085222703
2012-08-01,4.44,4.55,2.71,-0.35000000000000053,-0.20999999999999996,4.71,-2,0.11586340609254556,0.026167334761052565,0.06457637238947952,0.1671504397956116,-0.11586340609254556,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,-0.6004308412385285,-0.6246891235444958
2012-09-01,4.91,5.17,3.28,0.6200000000000001,-0.35000000000000053,4.44,-1.1600000000000006,0.11410588968208216,0.02618999800660185,0.06277443683396673,0.1654373425301976,-0.11410588968208216,0.04013623889524371,0.021377784952703996,0.058894692837783424,NA,3.8566356183745194,4.0357568886706465
