parametro,estimacion
lambda,0.09852783847813956
psi,-0.03256595434810663
peso_meta,0.9014721615218604
peso_inflacion,0.1310937928262462
peso_expectativa_12m,-0.03256595434810663
suma_pesos,0.9999999999999999
