componente,estimacion,error_estandar_hac,limite_inferior_95,limite_superior_95,p_valor_anclaje_igual_uno,estadistico_Wald_lambda_psi_cero,p_valor_Wald_lambda_psi_cero
lambda: desanclaje total,0.6475629231295045,0.04711694469455763,0.555215408466606,0.739910437792403,NA,202.49545170169569,1.0682462027499315e-44
psi: canal de expectativa a 12 meses,0.6818391402779352,0.05091208529164691,0.5820532867284759,0.7816249938273946,NA,NA,NA
peso meta: 1-lambda,0.3524370768704955,0.04711694469455763,0.26008956220759705,0.444784591533394,5.553327858862759e-43,NA,NA
peso inflación: lambda-psi,-0.034276217148430765,0.02952079368750541,-0.09213590957097872,0.0235834752741172,NA,NA,NA
peso expectativa 12m: psi,0.6818391402779352,0.05091208529164691,0.5820532867284759,0.7816249938273946,NA,NA,NA
