fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,dummy_sep2012,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,beta_constante,beta_constante_li_95,beta_constante_ls_95,diferencia_tvp_menos_constante,residuo_estandarizado_constante,residuo_estandarizado_tvp
2011-01-01,5.99,5.85,4.9,-0.35000000000000053,-0.019999999999999574,5.71,-0.8099999999999996,0,0.13220825281169252,0.03569385936871105,0.062249573979781286,0.20216693164360375,-0.13220825281169252,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09131325533359397,NA,NA
2011-02-01,5.5,5.81,5.24,-0.040000000000000036,-0.35000000000000053,5.99,-0.75,0,0.1318045542806739,0.03502381287400334,0.06315914244635708,0.20044996611499072,-0.1318045542806739,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09090955680257534,NA,NA
2011-03-01,6.24,6.13,4.99,0.3200000000000003,-0.040000000000000036,5.5,-0.5099999999999998,0,0.13132018595426367,0.034369497151769145,0.06395720937004419,0.19868316253848317,-0.13132018595426367,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09042518847616512,NA,NA
2011-04-01,6.07,6.19,5.761148129164525,0.0600000000000005,0.3200000000000003,6.24,-0.4788518708354754,0,0.13118257525297017,0.0337129571682374,0.06510639339088344,0.19725875711505692,-0.13118257525297017,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09028757777487162,NA,NA
2011-05-01,5.96,5.74,6.393022062596202,-0.4500000000000002,0.0600000000000005,6.07,0.3230220625962019,0,0.13122517769107356,0.03305251616198172,0.06644343641516136,0.19600691896698574,-0.13122517769107356,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09033018021297501,NA,NA
2011-06-01,6.38,6.16,6.422299366959379,0.41999999999999993,-0.4500000000000002,5.96,0.4622993669593791,0,0.13156690406584853,0.03238235774783602,0.06809864914559836,0.1950351589860987,-0.13156690406584853,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09067190658774998,NA,NA
2011-07-01,5.96,5.88,7.039674465920641,-0.28000000000000025,0.41999999999999993,6.38,0.6596744659206415,0,0.13172129968948226,0.03171091002115906,0.06956905813102024,0.1938735412479443,-0.13172129968948226,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09082630221138371,NA,NA
2011-08-01,6.33,5.95,7.625826131164203,0.07000000000000028,-0.28000000000000025,5.96,1.665826131164203,0,0.13220155580273008,0.031046969202918284,0.07135061433588602,0.19305249726957413,-0.13220155580273008,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09130655832463153,NA,NA
2011-09-01,6.69,6.43,7.249315624049487,0.47999999999999954,0.07000000000000028,6.33,0.9193156240494869,0,0.1334553128997522,0.03053961410189776,0.07359876915828106,0.19331185664122336,-0.1334553128997522,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09256031542165366,NA,NA
2011-10-01,6.69,6.51,6.65,0.08000000000000007,0.47999999999999954,6.69,-0.040000000000000036,0,0.13408067923582953,0.030064862009217794,0.07515463249759614,0.19300672597406293,-0.13408067923582953,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.09318568175773098,NA,NA
