parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor,significativo_5pct
alpha,-0.0050765000072846515,0.013154640933350406,-0.030859122466207804,0.020706122451638498,-0.38590943173632475,0.6995637451862204,FALSE
rho,-0.25324988824982475,0.06795498203529379,-0.38643920560906697,-0.12006057089058256,-3.726730265608698,1.939798565773629e-4,TRUE
gamma_sep2012,0.5838772361944407,0.17513240379417103,0.24062403223193962,0.9271304401569417,3.333918929592594,8.563161226713361e-4,TRUE
beta,0.040894997478098556,0.009319572779589995,0.022628970478802326,0.05916102447739478,4.388076411362892,1.1435760098145618e-5,TRUE
