fecha_inicio,fecha_fin,ventana,n_obs,alpha,alpha_se_hac,alpha_p_value,rho,rho_se_hac,rho_p_value,rho_estable,beta_corto_plazo,beta_se_hac,beta_t_hac,beta_p_value,beta_ic_inf,beta_ic_sup,gamma_tc,gamma_se_hac,gamma_p_value,beta_largo_plazo,beta_largo_plazo_se,beta_largo_plazo_ic_inf,beta_largo_plazo_ic_sup,r_squared,adj_r_squared
2010-02-01,2012-07-01,30,30,0.7338855044935946,NA,NA,0.10333868515693809,NA,NA,NA,0.14985888382885393,0.03828232327230656,3.9145712960754886,5.839527511292967e-4,0.07482690897061355,0.2248908586870943,-0.03115611935050738,0.02159136289962685,0.16096393991325406,0.16712986425101095,0.04361731534261046,0.08164149707716814,0.25261823142485373,0.46096772528474306,0.39877169358682873
2010-03-01,2012-08-01,30,30,0.94976522194981,NA,NA,-0.08104146997422328,NA,NA,NA,0.18102750144356886,0.045586877651197746,3.9710440980116686,5.041519172701671e-4,0.0916788630795874,0.2703761398075503,-0.005211782774825511,0.03233904747377691,0.8732126063131834,0.16745657449004742,0.04436827553052977,0.08049635239405932,0.2544167965860355,0.3126425068554448,0.23333202687722687
2010-04-01,2012-09-01,30,30,0.6112258940397258,NA,NA,0.2160861702060836,NA,NA,NA,0.1502499428662852,0.038610930095904245,3.8913836701961078,6.202090754783094e-4,0.07457391046871925,0.22592597526385116,-0.030167850601544866,0.018434715966464895,0.11379069044450711,0.19166640153010758,0.0441578713712856,0.1051185640084355,0.27821423905177967,0.5138857978328136,0.4577956975827536
2010-05-01,2012-10-01,30,30,0.6043051687305917,NA,NA,0.19299001391253165,NA,NA,NA,0.15904118072593348,0.04290646815201406,3.7066947613227863,9.99786397101383e-4,0.0749460484441711,0.24313631300769586,-0.0378414563749873,0.019508609184855318,0.06333356500977587,0.19707461303793047,0.04484134872860014,0.10918718451167328,0.2849620415641877,0.5425649468272332,0.4897839791534524
2010-06-01,2012-11-01,30,30,0.5852540888997009,NA,NA,0.20224014314425579,NA,NA,NA,0.16265425419410287,0.046521786739958354,3.4963028205104676,0.0017122162633473618,0.07147322768733147,0.25383528070087424,-0.03938156725728943,0.020125380309943347,0.061189095844128585,0.20388874270407792,0.048192938380535205,0.10943231916907085,0.29834516623908497,0.5666431500720512,0.5166404366188264
2010-07-01,2012-12-01,30,30,0.5850546152265255,NA,NA,0.20704924214108897,NA,NA,NA,0.15716034066324253,0.04844008964543802,3.2444271225258463,0.00322632890318181,0.06221950955029243,0.2521011717761926,-0.03966315403949598,0.01978047269650109,0.055459343810713456,0.19819684779367588,0.048516113840672274,0.10310701199611301,0.2932866835912388,0.56964649834544,0.5199903250776061
2010-08-01,2013-01-01,30,30,0.6646237087097561,NA,NA,0.1538652087238562,NA,NA,NA,0.15116043983603772,0.04592310918378783,3.291598555121387,0.0028682128049833146,0.061152799777713,0.24116807989436245,-0.036643585439473304,0.018964735182726056,0.06430034385426983,0.17864817921983442,0.0420235164199722,0.09628360053296134,0.2610127579067075,0.5471889055632967,0.49494147158983093
2010-09-01,2013-02-01,30,30,0.6697848328096895,NA,NA,0.13797508805933809,NA,NA,NA,0.15049933380024924,0.045049370826429715,3.3407643889213605,0.0025358941817377723,0.06220418945425761,0.23879447814624088,-0.04045657962823576,0.018194425340531305,0.03507671022484406,0.1745881490378656,0.04203601311507958,0.09219907727865627,0.2569772207970749,0.5420980218718177,0.4892631782416428
2010-10-01,2013-03-01,30,30,0.6587357393000941,NA,NA,0.14433017734842077,NA,NA,NA,0.14440297758256918,0.04574663025128974,3.1565817370449487,0.0040112205002488,0.054741229875970784,0.23406472528916755,-0.043698829975237684,0.019405546106542795,0.03300177267632781,0.1687601616416578,0.04518448711708795,0.08020019423225137,0.2573201290510642,0.5417886441459223,0.4889181030858364
2010-11-01,2013-04-01,30,30,0.6816442825158492,NA,NA,0.12794790375620577,NA,NA,NA,0.1662270696357908,0.043247447940606906,3.843627255510561,7.019957292601862e-4,0.08146362924893034,0.2509905100226512,-0.03397803142672274,0.016128659279324716,0.0449479011405091,0.19061598538869828,0.03993068156712408,0.1123532876389977,0.26887868313839886,0.546375959073412,0.4940347235818826
