fecha,direccion_rolling_36,direccion_rolling_lp_36,direccion_tvp_base,coincide_rolling36_tvp,coincide_rolling_lp_tvp
2018-05-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2018-06-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2018-07-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2018-08-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2018-09-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2018-10-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2018-11-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2018-12-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2019-01-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2019-02-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2019-03-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2019-04-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2019-05-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2019-06-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2019-07-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2019-08-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2019-09-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2019-10-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2019-11-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2019-12-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2020-01-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2020-02-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2020-03-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2020-04-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2020-05-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2020-06-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2020-07-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2020-08-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2020-09-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2020-10-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2020-11-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2020-12-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-01-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-02-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2021-03-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-04-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-05-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2021-06-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-07-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-08-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2021-09-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2021-10-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2021-11-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2021-12-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2022-01-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2022-02-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2022-03-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
