serie_1,serie_2,correlacion_pearson,correlacion_spearman
Rolling 36m: beta corto plazo,TVP-AR(1) base,0.9194219082971437,0.8241758241758242
Rolling 36m: beta largo plazo,TVP-AR(1) base,0.751724865190646,0.7362637362637363
