definicion_sorpresa,observaciones,correlacion_pearson,diferencia_absoluta_media,diferencia_absoluta_maxima
Sorpresa exacta,185,0.9948819566020607,0.00829311933598167,0.015007142048218153
Sorpresa disponible,185,0.9061884521587036,0.005962851633889981,0.028148364509185005
