definicion_sorpresa,pulso,observaciones,fecha_inicial,fecha_final,beta_constante,beta_t_promedio,beta_t_inicial,beta_t_final,cambio_total_beta,reduccion_porcentual,beta_t_minimo,fecha_beta_minimo,beta_t_maximo,fecha_beta_maximo,porcentaje_beta_positivo,porcentaje_beta_significativo_positivo,porcentaje_intervalo_incluye_cero,H,Q_beta,Q_beta_sobre_H
Sorpresa exacta,FALSE,185,2011-02-01,2026-06-01,0.03894135547883564,0.039046125275986804,0.039290925157937334,0.03874053953982039,-5.50385618116947e-4,1.4007957712997787,0.03865674352069098,2023-04-01,0.03933473640836109,2015-05-01,100,100,0,0.029851089268287535,9.986946428494969e-8,3.3455886111012552e-6
Sorpresa exacta,TRUE,185,2011-02-01,2026-06-01,0.04214518028789667,0.045557595957644005,0.05379779298482369,0.03781504791162425,-0.01598274507319944,29.70892333391475,0.03233461791102876,2023-03-01,0.05434187845657924,2015-05-01,100,100,0,0.027365787111481493,4.931223368495076e-6,1.8019665754200612e-4
Sorpresa disponible,FALSE,185,2011-02-01,2026-06-01,0.04080251192367236,0.05401590145170838,0.06846665962061933,0.06990027008322472,0.0014336104626053864,-2.093881124841146,0.007203534964691745,2023-04-01,0.08439884357501909,2015-08-01,100,67.56756756756756,32.432432432432435,0.027477776578491982,9.77728316580818e-5,0.003558251206344429
Sorpresa disponible,TRUE,185,2011-02-01,2026-06-01,0.045233304863563396,0.05470922471142012,0.07267521558843429,0.06262534552455418,-0.010049870063880112,13.82846955803111,0.013926841361090018,2023-04-01,0.07633526145717327,2015-08-01,100,84.86486486486487,15.135135135135137,0.02607490042417283,5.550554518254072e-5,0.002128696343211501
