definicion_sorpresa,variable,R2_auxiliar,VIF,numero_condicion_matriz
Sorpresa exacta,gap_correccion_meta,0.8492329395010044,6.632748537315033,7.008559369127872
Sorpresa exacta,gap_expectativa_corta_meta,0.8840489280912417,8.624327343751494,7.008559369127872
Sorpresa exacta,d_exp24_lag1,0.10009650685645384,1.111230268155529,7.008559369127872
Sorpresa exacta,sorpresa_h12_exacta,0.5021214955514686,2.0085221415767625,7.008559369127872
Sorpresa disponible,gap_correccion_meta,0.8555140714481955,6.921089202409466,7.561730172369438
Sorpresa disponible,gap_expectativa_corta_meta,0.8982483374312017,9.827849243483964,7.561730172369438
Sorpresa disponible,d_exp24_lag1,0.09328596450658762,1.1028835562866561,7.561730172369438
Sorpresa disponible,sorpresa_h12_disponible,0.5847438015638087,2.4081518921713605,7.561730172369438
