definicion_sorpresa,pulso,modelo,observaciones_validas,RMSE_un_paso,MAE_un_paso,MedAE_un_paso,correlacion_observado_predicho,perdida_logaritmica_media
Sorpresa exacta,FALSE,Sorpresa exacta sin pulso - beta constante,185,0.24526720613118155,0.15772390977834888,0.10440954904878139,0.03884042228682356,-0.23645745292116732
Sorpresa exacta,FALSE,Sorpresa exacta sin pulso - beta TVP,185,0.24525792952960992,0.15773240600326052,0.10468648956844828,0.039026589935486966,-0.23645125256840127
Sorpresa exacta,TRUE,Sorpresa exacta con pulso - beta constante,185,0.23882342081320043,0.1531353111595456,0.10148085096938167,0.11854491386740668,-0.27027329766717256
Sorpresa exacta,TRUE,Sorpresa exacta con pulso - beta TVP,185,0.2381705226800501,0.15281784552412792,0.10876759887719077,0.12096589739700048,-0.27253135874199164
Sorpresa disponible,FALSE,Sorpresa disponible sin pulso - beta constante,185,0.2114442644322599,0.15096722941412688,0.10680082839157456,0.25931425999211954,-0.24101112475761433
Sorpresa disponible,FALSE,Sorpresa disponible sin pulso - beta TVP,185,0.20882473472749905,0.15045847862929132,0.10710860534024991,0.30753657454236855,-0.2446089326118769
Sorpresa disponible,TRUE,Sorpresa disponible con pulso - beta constante,185,0.20324054162179303,0.14629880506586793,0.09673748857428101,0.33472141881365863,-0.27690187097899227
Sorpresa disponible,TRUE,Sorpresa disponible con pulso - beta TVP,185,0.20107678764121772,0.1446262586084373,0.10202054536397231,0.3574997430631581,-0.2809968047693388
