parametro,estimacion,error_estandar,limite_inferior_95,limite_superior_95,estadistico_z,p_valor,significativo_5pct
alpha,-0.0025913025292954627,0.013491588187952739,-0.029034329471928834,0.02385172441333791,-0.19206801254201905,0.8476889306877189,FALSE
rho,-0.28166298397120865,0.06925661508482266,-0.41740345522861444,-0.14592251271380285,-4.066947014754322,4.7633067872198336e-5,TRUE
beta,0.04013623889524371,0.009570815632585094,0.021377784952703996,0.058894692837783424,4.193606943863242,2.745535474885792e-5,TRUE
