fecha,observado,predicho_constante,error_constante,varianza_prediccion_constante,predicho_tvp,error_tvp,varianza_prediccion_tvp
2011-01-01,-0.35000000000000053,-0.0294683963550188,-0.32053160364498173,0.031628843426126034,-0.0294683963550188,-0.32053160364498173,0.02878510594465188
2011-02-01,-0.040000000000000036,-0.24651607002123258,0.20651607002123254,0.06167414237701967,-0.24651607002123258,0.20651607002123254,0.056153755034357114
2011-03-01,0.3200000000000003,-0.2511925755623301,0.5711925755623304,0.0476498476232343,-0.2511925755623301,0.5711925755623304,0.043383634327005524
2011-04-01,0.0600000000000005,0.19408724905374514,-0.13408724905374464,0.1457300750086196,0.19408724905374514,-0.13408724905374464,0.13265707225152565
2011-05-01,-0.4500000000000002,1.9863008714706654,-2.4363008714706655,0.5961576187727234,1.9863668771496954,-2.4363668771496956,0.5430511036167679
2011-06-01,0.41999999999999993,-0.4652047299724609,0.8852047299724608,0.1281989234190766,-0.4651910259757974,0.8851910259757974,0.11669429126080637
2011-07-01,-0.28000000000000025,-0.19191738838281122,-0.08808261161718903,0.0882544865562366,-0.19235687891482567,-0.08764312108517458,0.08039066414759631
2011-08-01,0.07000000000000028,0.1350105731820039,-0.06501057318200362,0.09307896277829393,0.13454949332209865,-0.06454949332209836,0.08498367901139998
2011-09-01,0.47999999999999954,-0.08474110959590198,0.5647411095959015,0.04099135208216799,-0.08483379576909256,0.5648337957690921,0.03734947696794346
2011-10-01,0.08000000000000007,-0.19578450400441116,0.27578450400441124,0.047228966471153516,-0.1958458895986368,0.2758458895986369,0.042994937490811826
2011-11-01,-0.4500000000000002,-0.042764541831225356,-0.4072354581687748,0.038092640846944435,-0.04274899239493568,-0.4072510076050645,0.03477594482406435
2011-12-01,-0.4399999999999995,0.033138701927657166,-0.47313870192765667,0.04594687754223956,0.032011301325297115,-0.4720113013252966,0.04195653252770281
2012-01-01,0.33000000000000007,-0.09082812372946225,0.4208281237294623,0.04046766267792963,-0.09227005586266845,0.4222700558626685,0.03688421511004304
2012-02-01,0.16000000000000014,-0.20962507273288028,0.3696250727328804,0.04071833458389442,-0.2112633976194267,0.37126339761942684,0.037224842424605005
2012-03-01,-0.6400000000000006,-0.1734987378678356,-0.466501262132165,0.04226846963494129,-0.17337788182004377,-0.4666221181799568,0.03892088911122948
2012-04-01,0.07000000000000028,-0.1311656173904429,0.2011656173904432,0.047673594968227886,-0.13497431551188735,0.20497431551188763,0.04372049937624144
2012-05-01,-0.2599999999999998,-0.3217225068039283,0.06172250680392849,0.042719733192223136,-0.3246838365371275,0.06468383653712773,0.03954193913622754
2012-06-01,-0.16999999999999993,-0.20896342885287308,0.038963428852873155,0.039062358007052045,-0.21012395528022035,0.04012395528022042,0.035975712718460735
2012-07-01,-0.20999999999999996,-0.25567729579601794,0.04567729579601798,0.038751447911635054,-0.25639509269714733,0.046395092697147367,0.035827026240539406
2012-08-01,-0.35000000000000053,-0.23391547360521275,-0.11608452639478778,0.037378570151627086,-0.23389478892859866,-0.11610521107140187,0.034544231512959385
2012-09-01,0.6200000000000001,-0.0998954385256785,0.7198954385256786,0.034843488338488424,-0.10045503674702982,0.7204550367470299,0.03186865761257246
2012-10-01,-0.41000000000000014,-0.3926270352412375,-0.017372964758762655,0.04372195059682206,-0.38855087677079564,-0.021449123229204503,0.04031264154459389
2012-11-01,0.0600000000000005,-0.06933082290464249,0.12933082290464298,0.03587724645144268,-0.06580418042002639,0.1258041804200269,0.03314409453952555
2012-12-01,0.10999999999999943,-0.1433685587222363,0.25336855872223574,0.03339234573327178,-0.14041568481587052,0.25041568481586995,0.030581138546251215
2013-01-01,-0.09999999999999964,-0.11743799711850651,0.017437997118506868,0.03331420737391156,-0.11428561776689077,0.01428561776689112,0.030438474132582986
2013-02-01,-0.21999999999999975,0.004354686603630503,-0.22435468660363025,0.033126567670813976,0.005492935253613301,-0.22549293525361305,0.03017638695995633
2013-03-01,0.04999999999999982,0.06510351015411692,-0.015103510154117095,0.033831155861022845,0.0648734225266495,-0.01487342252664968,0.030809785119491367
2013-04-01,0.2699999999999996,-0.06703244686696563,0.3370324468669652,0.032993344336813946,-0.06576217162371434,0.3357621716237139,0.030083989295497972
2013-05-01,-0.09999999999999964,-0.13458931473416552,0.03458931473416588,0.03401065612669521,-0.13223832288598034,0.03223832288598069,0.031051430857346032
