modelo,log_verosimilitud,parametros_contados,AIC,AICc,BIC,H,Q_beta,RMSE_un_paso,MAE_un_paso,perdida_logaritmica_media,delta_AIC,peso_Akaike,delta_BIC,peso_BIC_aproximado
Sensibilidad constante,49.858001686911,4,-91.716003373822,-91.49500889868388,-78.8130166789692,0.031628843426126034,0,0.2648145475118389,0.1529527305235831,-0.2366915988651251,9.270325982810945,0.00961125251345175,6.044579309097742,0.04642899850466377
Sensibilidad variante,55.493164678316475,5,-100.98632935663295,-100.65299602329962,-84.85759598806695,0.02878510594465188,4.393196240432943e-5,0.2602828597847303,0.1475986116029515,-0.26489024896973,0,0.9903887474865483,0,0.9535710014953364
