ecuacion,parametro,estimacion,error_estandar_HAC,estadistico_t,p_valor,lag_Newey_West,coeficiente_estimable
Inflación,inflacion.l1,1.3143607926097174,0.07491032701473276,17.545789011857064,3.2022450604021175e-41,4,TRUE
Inflación,expectativa.l1,0.1645128990981545,0.19201611540875255,0.8567661039697068,0.392682601551973,4,TRUE
Inflación,inflacion.l2,-0.5345842542725279,0.10873100124367152,-4.916576212468588,1.935382941034582e-6,4,TRUE
Inflación,expectativa.l2,-0.09845112933301832,0.1588615133136361,-0.6197292678349906,0.5361985748511044,4,TRUE
Inflación,inflacion.l3,0.21612240944054253,0.10677596998824077,2.024073482679147,0.04440086713724693,4,TRUE
Inflación,expectativa.l3,0.2569322504122039,0.14143184280098056,1.816650658888414,0.07088907587683091,4,TRUE
Inflación,inflacion.l4,-0.07279013170330202,0.07216129459505695,-1.0087143268669705,0.3144291617162401,4,TRUE
Inflación,expectativa.l4,-0.2946105793013603,0.12728779962386183,-2.314523309947543,0.02173714522186067,4,TRUE
Inflación,const,0.18306591092573032,0.2673735045551883,0.6846823182060804,0.4944012919947548,4,TRUE
Expectativa 24m,inflacion.l1,0.1092797158283046,0.019967536158361564,5.472869309543874,1.4260560450778492e-7,3,TRUE
Expectativa 24m,expectativa.l1,0.6099389577858362,0.09820755278716777,6.210713335945517,3.3956996331364534e-9,3,TRUE
Expectativa 24m,inflacion.l2,-0.041092860288122104,0.04048127801948141,-1.0151077806473001,0.3113801977784089,3,TRUE
Expectativa 24m,expectativa.l2,0.17370251371554216,0.08080078631840025,2.149762664821815,0.032872566492840226,3,TRUE
Expectativa 24m,inflacion.l3,-0.026232946017041826,0.03701339565637119,-0.7087419446890519,0.4793767655775011,3,TRUE
Expectativa 24m,expectativa.l3,0.13095877988829188,0.06825096841711717,1.9187827356226606,0.05655121135688162,3,TRUE
Expectativa 24m,inflacion.l4,-0.025755821172690357,0.02037476500134599,-1.2641039624746047,0.20778310698419916,3,TRUE
Expectativa 24m,expectativa.l4,0.03396122987691652,0.04936755476353182,0.6879261093564215,0.49236094274798914,3,TRUE
Expectativa 24m,const,0.14750315313611256,0.10233132149576118,1.4414272285364995,0.15115456847980932,3,TRUE
