subperiodo,fecha_inicial,fecha_final,observaciones,lambda_promedio,c_promedio,d_promedio,pi_estrella_promedio,meta_promedio,brecha_ancla_meta_promedio
2011-2014,2010-02-01,2014-12-01,59,0.7738729108570184,0.16914683631521601,0.25198331186034134,5.473650858738572,4.491525423728813,0.982125435009758
2015-2019,2015-01-01,2019-12-01,60,0.8222429354118769,0.13296525076990817,0.2519833117464134,4.341058406805843,4,0.34105840680584315
2020-2022,2020-01-01,2022-12-01,36,0.8680692541904627,0.09868639954151151,0.25198331188030926,4.127330560345119,4,0.12733056034511947
2023-2026,2023-01-01,2026-06-01,42,0.8814053545715717,0.08871077390102275,0.2519833118881614,3.989823383850757,4,-0.010176616149242998
