variable,medida,observaciones,media,desviacion_estandar,autocorrelacion_lag1,autocorrelacion_lag4,autocorrelacion_lag12
infl_interanual_base,Inflación interanual de la base,198,4.033919846742195,1.770643997712906,0.9452170308715379,0.7002221735848503,-0.0398497472051321
infl_interanual_ipc,Inflación interanual calculada desde IPC,186,3.950472996495367,1.7228197762531374,0.9479290939060463,0.7047360367325181,-0.03346132929325852
infl_mensual_sa,Inflación mensual desestacionalizada,197,0.32704528496994567,0.3833827725324007,0.2334652982285461,0.07980737871311824,-0.05365287846908662
infl_mensual_sa_anualizada,Inflación mensual desestacionalizada anualizada,197,3.924543419639347,4.600593270388808,0.2334652982285461,0.07980737871311824,-0.05365287846908669
infl_3m_sa_anualizada,Inflación de tres meses desestacionalizada anualizada,195,3.9451823234980705,2.976811836449354,0.7346124686520782,0.17230421965278422,-0.15146780755414557
infl_subyacente,Inflación subyacente interanual,198,3.4196969696969695,0.7513263460473633,0.9795556250643582,0.8356171176108435,0.23865233663082996
